Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-10-04,FAGBEARING,EQ,843.7,851.0,872.0,850.0,858.1,860.3,863.42,5217,450444975000.0,,4001,0.7669
2010-10-05,FAGBEARING,EQ,860.3,863.0,869.85,845.0,849.95,856.2,860.44,7547,649374330000.0,,6430,0.8520000000000001
2010-10-06,FAGBEARING,EQ,856.2,860.0,865.0,850.05,860.0,860.8,859.83,17230,1481478615000.0,,16645,0.966
2010-10-07,FAGBEARING,EQ,860.8,870.0,870.0,856.0,856.0,859.45,863.69,2925,252630079999.99997,,2382,0.8144
2010-10-08,FAGBEARING,EQ,859.45,868.0,868.0,851.0,859.95,857.3,860.66,2850,245287029999.99997,,2536,0.8898
2010-10-11,FAGBEARING,EQ,857.3,900.0,940.0,885.0,887.0,888.6,899.54,19267,1733150489999.9998,,9924,0.5151
2010-10-12,FAGBEARING,EQ,888.6,882.0,899.0,882.0,889.75,887.8,889.79,9110,810597070000.0,,8228,0.9032
2010-10-13,FAGBEARING,EQ,887.8,885.0,903.2,880.0,889.0,888.4,887.93,16773,1489328875000.0,,15936,0.9501000000000001
2010-10-14,FAGBEARING,EQ,888.4,882.05,899.8,882.05,887.0,887.55,889.58,1760,156565910000.0,,1365,0.7756000000000001
2010-10-15,FAGBEARING,EQ,887.55,889.6,899.9,880.1,885.0,883.95,887.76,7874,699025670000.0,,6517,0.8277
2010-10-18,FAGBEARING,EQ,883.95,874.0,890.0,865.0,865.0,867.6,871.54,3175,276713545000.0,,2636,0.8301999999999999
2010-10-19,FAGBEARING,EQ,867.6,875.05,883.45,865.0,871.0,869.3,870.81,3386,294855655000.0,,2894,0.8547
2010-10-20,FAGBEARING,EQ,869.3,867.0,867.0,857.0,861.45,861.45,860.94,2489,214287129999.99997,,1926,0.7737999999999999
2010-10-21,FAGBEARING,EQ,861.45,877.8,877.8,862.1,868.0,867.35,866.36,1165,100931210000.0,,1037,0.8901000000000001
2010-10-22,FAGBEARING,EQ,867.35,870.0,899.0,862.5,880.0,876.9,881.03,30116,2653324485000.0,,14062,0.4669
2010-10-25,FAGBEARING,EQ,876.9,884.0,934.0,880.0,915.1,915.5,907.93,27580,2504075220000.0,,22109,0.8016
2010-10-26,FAGBEARING,EQ,915.5,915.0,957.0,915.0,931.05,939.95,940.66,12916,1214960160000.0,,7445,0.5764
2010-10-27,FAGBEARING,EQ,939.95,940.0,980.0,927.0,931.0,935.3,961.47,41736,4012789895000.0005,,13131,0.3146
2010-10-28,FAGBEARING,EQ,935.3,954.0,954.0,926.35,933.75,927.85,932.83,4789,446732265000.00006,,3289,0.6868000000000001
2010-10-29,FAGBEARING,EQ,927.85,936.0,936.0,900.0,909.0,910.6,916.88,2573,235913635000.0,,1618,0.6288
2010-11-01,FAGBEARING,EQ,910.6,919.0,928.0,900.0,901.0,902.15,909.34,2214,201328200000.0,,1250,0.5646
2010-11-02,FAGBEARING,EQ,902.15,909.95,909.95,872.0,885.0,885.95,891.61,4099,365471090000.0,,2256,0.5504
2010-11-03,FAGBEARING,EQ,885.95,920.0,920.0,890.75,899.9,898.35,903.69,1663,150283970000.0,,960,0.5773
2010-11-04,FAGBEARING,EQ,898.35,902.0,907.0,891.1,897.0,895.6,898.52,1687,151580915000.0,,1228,0.7279000000000001
2010-11-05,FAGBEARING,EQ,895.6,915.95,915.95,900.15,906.0,905.9,906.41,453,41060425000.0,,377,0.8322
2010-11-08,FAGBEARING,EQ,905.9,900.0,905.0,890.0,897.0,895.25,897.03,2650,237712545000.00003,,1872,0.7064
2010-11-09,FAGBEARING,EQ,895.25,899.6,905.95,883.7,902.0,903.15,901.94,1693,152698070000.0,,1360,0.8033
2010-11-10,FAGBEARING,EQ,903.15,894.0,910.0,892.0,906.95,901.15,904.6,7949,719066025000.0,,7377,0.9279999999999999
2010-11-11,FAGBEARING,EQ,901.15,910.0,928.0,905.1,923.75,921.35,919.54,5557,510988265000.00006,,3616,0.6507
2010-11-12,FAGBEARING,EQ,921.35,939.0,939.0,905.0,905.0,906.25,910.3,1704,155115770000.0,,1184,0.6948000000000001
2010-11-15,FAGBEARING,EQ,906.25,917.8,917.8,893.0,896.0,895.2,897.27,3725,334233415000.0,,3058,0.8209000000000001
2010-11-16,FAGBEARING,EQ,895.2,892.05,899.0,888.0,895.05,895.15,891.59,1424,126962010000.00002,,1342,0.9424
2010-11-18,FAGBEARING,EQ,895.15,900.0,912.0,888.0,909.5,904.45,899.98,29805,2682396520000.0,,28851,0.968
2010-11-19,FAGBEARING,EQ,904.45,882.7,906.0,880.0,880.0,891.2,898.38,3146,282630805000.0,,2859,0.9087999999999999
2010-11-22,FAGBEARING,EQ,891.2,880.0,894.95,873.5,876.05,879.8,883.78,1454,128500964999.99998,,1132,0.7785
2010-11-23,FAGBEARING,EQ,879.8,873.0,882.0,863.6,873.5,874.85,875.7,3409,298527500000.0,,3236,0.9493
2010-11-24,FAGBEARING,EQ,874.85,865.0,870.0,851.05,863.0,863.5,863.02,1202,103735330000.0,,679,0.5649000000000001
2010-11-25,FAGBEARING,EQ,863.5,855.05,866.95,842.25,844.95,846.25,855.75,2217,189719890000.0,,1951,0.88
2010-11-26,FAGBEARING,EQ,846.25,874.95,874.95,802.0,815.0,817.3,820.15,2085,171000330000.0,,1387,0.6652
2010-11-29,FAGBEARING,EQ,817.3,810.0,850.0,797.3,830.0,834.25,825.19,3014,248710965000.0,,2392,0.7936
2010-11-30,FAGBEARING,EQ,834.25,830.0,890.0,830.0,871.0,873.15,864.22,6786,586462130000.0,,4151,0.6117
2010-12-01,FAGBEARING,EQ,873.15,884.0,909.9,875.5,875.5,877.7,884.74,9911,876866185000.0,,9312,0.9396
2010-12-02,FAGBEARING,EQ,877.7,870.0,893.0,860.0,860.0,864.1,872.75,8327,726734870000.0,,8039,0.9654
2010-12-03,FAGBEARING,EQ,864.1,887.85,887.85,857.0,860.0,860.0,865.72,927,80252110000.0,,690,0.7443000000000001
2010-12-06,FAGBEARING,EQ,860.0,861.15,885.0,855.0,855.55,859.1,869.66,1742,151494000000.0,,1208,0.6935
2010-12-07,FAGBEARING,EQ,859.1,861.0,861.0,847.1,848.0,848.2,853.27,502,42834385000.0,,159,0.31670000000000004
2010-12-08,FAGBEARING,EQ,848.2,860.0,874.7,816.55,822.0,833.55,843.88,2276,192068140000.0,,1840,0.8084
2010-12-09,FAGBEARING,EQ,833.55,857.4,857.4,809.95,810.0,810.8,820.02,1908,156459330000.0,,1600,0.8386
2010-12-10,FAGBEARING,EQ,810.8,815.0,852.95,802.0,821.0,821.0,821.44,489,40168415000.0,,355,0.726
