Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2012-04-03,SCHNEIDER,EQ,70.0,78.4,84.0,73.65,76.0,76.55,77.94,492926,3842066920000.0005,3437,315796,0.6406999999999999
2012-04-04,SCHNEIDER,EQ,76.55,77.0,86.9,77.0,85.0,84.65,83.05,887970,7374445084999.999,5760,393764,0.4434
2012-04-09,SCHNEIDER,EQ,84.65,84.9,86.4,80.1,80.5,80.55,82.68,335941,2777665175000.0,3520,153220,0.4561
2012-04-10,SCHNEIDER,EQ,80.55,81.8,82.5,78.0,81.25,81.45,80.82,226324,1829168530000.0,2028,127116,0.5617
2012-04-11,SCHNEIDER,EQ,81.45,81.25,85.0,80.7,82.5,82.65,83.46,510944,4264465025000.0,4664,243449,0.4765
2012-04-12,SCHNEIDER,EQ,82.65,83.9,94.0,82.85,87.65,87.85,88.84,1279034,11363531185000.0,10647,583357,0.4561
2012-04-13,SCHNEIDER,EQ,87.85,88.05,94.5,87.7,89.35,88.9,91.47,925835,8469070159999.999,9009,269876,0.2915
2012-04-16,SCHNEIDER,EQ,88.9,88.95,94.65,88.95,91.0,90.8,91.87,571702,5252430800000.0,4269,232468,0.40659999999999996
2012-04-17,SCHNEIDER,EQ,90.8,91.5,91.9,88.55,90.0,90.5,90.37,314639,2843391005000.0,3980,97871,0.3111
2012-04-18,SCHNEIDER,EQ,90.5,90.5,93.3,84.7,86.5,85.75,87.8,653395,5736555090000.0,5588,361645,0.5535
2012-04-19,SCHNEIDER,EQ,85.75,87.35,94.45,86.0,94.0,93.45,91.78,1065763,9781893955000.0,5697,408336,0.38310000000000005
2012-04-20,SCHNEIDER,EQ,93.45,95.0,100.7,93.2,94.0,94.25,96.97,2604318,25253067630000.0,22658,790092,0.3034
2012-04-23,SCHNEIDER,EQ,94.25,95.4,96.7,90.1,91.05,90.75,92.98,746923,6944842320000.0,8006,294391,0.39409999999999995
2012-04-24,SCHNEIDER,EQ,90.75,91.8,92.75,90.0,90.5,90.25,91.13,334463,3047915895000.0,2533,188374,0.5632
2012-04-25,SCHNEIDER,EQ,90.25,92.0,93.5,89.85,90.75,90.4,91.82,529977,4866050440000.0,3650,287260,0.542
2012-04-26,SCHNEIDER,EQ,90.4,91.4,92.55,88.55,90.2,89.6,90.5,314323,2844696185000.0,3065,111411,0.3544
2012-04-27,SCHNEIDER,EQ,89.6,92.0,92.0,86.1,88.05,87.9,88.49,334933,2963734865000.0,2603,134242,0.4008
2012-04-28,SCHNEIDER,EQ,87.9,88.6,88.85,86.55,88.8,88.45,87.77,48272,423672170000.0,355,31230,0.647
2012-04-30,SCHNEIDER,EQ,88.45,88.45,91.35,88.45,89.5,89.75,90.01,210453,1894279010000.0002,2148,76957,0.3657
2012-05-02,SCHNEIDER,EQ,89.75,89.9,93.7,89.4,92.65,92.6,92.06,520848,4794926985000.0,3831,183851,0.353
2012-05-03,SCHNEIDER,EQ,92.6,93.05,94.7,91.05,92.0,91.95,92.77,251281,2331241695000.0,1871,102379,0.40740000000000004
2012-05-04,SCHNEIDER,EQ,91.95,92.0,92.4,87.7,88.05,88.7,89.63,212007,1900124550000.0,1503,130686,0.6164000000000001
2012-05-07,SCHNEIDER,EQ,88.7,89.95,90.75,86.65,90.0,90.05,88.56,149572,1324681585000.0,1383,61913,0.4139
2012-05-08,SCHNEIDER,EQ,90.05,91.5,91.5,86.65,87.0,87.5,89.03,185138,1648335735000.0,1409,118451,0.6398
2012-05-09,SCHNEIDER,EQ,87.5,86.1,88.0,86.1,87.25,87.0,86.96,151063,1313595180000.0,1362,77495,0.513
2012-05-10,SCHNEIDER,EQ,87.0,87.35,88.9,83.5,84.5,84.2,85.97,251753,2164236375000.0,1680,169473,0.6731999999999999
2012-05-11,SCHNEIDER,EQ,84.2,84.9,85.4,81.75,82.0,82.05,83.13,190568,1584259020000.0,2236,123307,0.647
2012-05-14,SCHNEIDER,EQ,82.05,82.5,85.5,81.2,82.0,82.0,82.93,128494,1065655610000.0,1429,59010,0.45920000000000005
2012-05-15,SCHNEIDER,EQ,82.0,81.0,84.9,81.0,83.0,82.8,83.13,86390,718126415000.0,1043,43372,0.502
2012-05-16,SCHNEIDER,EQ,82.8,82.0,84.0,80.6,81.6,82.0,82.27,97330,800705485000.0,1029,50666,0.5206000000000001
2012-05-17,SCHNEIDER,EQ,82.0,83.0,83.8,80.6,82.4,82.0,82.14,82906,680998510000.0,839,39854,0.4807
2012-05-18,SCHNEIDER,EQ,82.0,80.8,81.85,80.4,81.0,80.9,80.89,70649,571455905000.0,585,28471,0.40299999999999997
2012-05-21,SCHNEIDER,EQ,80.9,80.2,83.35,80.2,82.6,82.6,82.31,88716,730197445000.0,758,44503,0.5015999999999999
2012-05-22,SCHNEIDER,EQ,82.6,83.05,84.0,80.6,80.85,80.9,82.03,69613,571011000000.0,815,44227,0.6353
