Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-10-04,SESHAPAPER,EQ,213.05,215.0,218.0,215.0,216.0,216.45,216.39,442,9564350000.0,,429,0.9706
2010-10-05,SESHAPAPER,EQ,216.45,214.0,219.95,212.45,213.05,213.05,213.63,67,1431345000.0,,21,0.3134
2010-10-06,SESHAPAPER,EQ,213.05,209.0,215.0,205.35,212.0,213.05,213.6,569,12153570000.0,,401,0.7047
2010-10-07,SESHAPAPER,EQ,213.05,215.0,221.0,212.8,221.0,221.0,217.9,267,5818020000.0,,213,0.7978000000000001
2010-10-08,SESHAPAPER,EQ,221.0,219.0,219.65,214.3,216.9,215.7,215.69,712,15356990000.0,,559,0.7851
2010-10-11,SESHAPAPER,EQ,215.7,208.25,219.9,208.25,214.0,214.0,214.01,281,6013655000.0,,182,0.6476999999999999
2010-10-12,SESHAPAPER,EQ,214.0,214.0,216.75,214.0,216.5,216.5,214.99,222,4772875000.0,,180,0.8108
2010-10-13,SESHAPAPER,EQ,216.5,214.0,218.0,201.05,213.0,211.4,210.05,3807,79965860000.0,,2304,0.6052000000000001
2010-10-14,SESHAPAPER,EQ,211.4,213.0,217.2,212.25,212.25,213.6,214.31,728,15601875000.0,,604,0.8297
2010-10-15,SESHAPAPER,EQ,213.6,212.0,214.45,212.0,212.15,212.15,212.25,74,1570660000.0,,74,1.0
2010-10-18,SESHAPAPER,EQ,212.15,212.0,213.0,212.0,213.0,212.95,212.66,89,1892675000.0,,89,1.0
2010-10-19,SESHAPAPER,EQ,212.95,215.0,215.9,209.1,209.3,209.75,209.87,330,6925614999.999999,,225,0.6818000000000001
2010-10-20,SESHAPAPER,EQ,209.75,212.0,216.0,211.15,212.0,212.0,214.84,1184,25437085000.0,,1003,0.8471
2010-10-21,SESHAPAPER,EQ,212.0,215.1,218.0,215.0,215.0,215.0,215.14,235,5055695000.0,,230,0.9787
2010-10-22,SESHAPAPER,EQ,215.0,213.3,219.0,210.0,219.0,216.75,214.91,795,17085385000.0,,676,0.8503000000000001
2010-10-25,SESHAPAPER,EQ,216.75,219.5,221.0,213.1,213.1,213.35,217.34,2249,48878865000.0,,1860,0.8270000000000001
2010-10-26,SESHAPAPER,EQ,213.35,215.0,220.0,215.0,216.5,218.0,217.97,2537,55299290000.0,,1750,0.6898000000000001
2010-10-27,SESHAPAPER,EQ,218.0,229.9,261.6,229.9,261.6,261.6,259.91,104727,2721910035000.0,,72585,0.6931
2010-10-28,SESHAPAPER,EQ,261.6,283.0,294.4,263.15,268.0,265.75,274.57,319256,8765728755000.0,,88215,0.2763
2010-10-29,SESHAPAPER,EQ,265.75,263.0,268.0,254.0,255.0,257.0,261.47,19137,500380800000.0,,8764,0.45799999999999996
2010-11-01,SESHAPAPER,EQ,257.0,250.0,265.0,248.0,258.0,255.2,254.15,15442,392457885000.0,,9281,0.601
2010-11-02,SESHAPAPER,EQ,255.2,257.0,257.0,250.05,252.0,252.0,251.91,4030,101521215000.0,,2498,0.6199
2010-11-03,SESHAPAPER,EQ,252.0,251.0,255.0,246.0,248.7,248.6,250.57,7185,180034085000.0,,4779,0.6651
2010-11-04,SESHAPAPER,EQ,248.6,248.05,254.7,246.2,248.5,250.25,249.05,3727,92820840000.0,,2388,0.6406999999999999
2010-11-05,SESHAPAPER,EQ,250.25,267.0,269.8,250.0,257.0,255.05,257.18,1420,36520260000.0,,1164,0.8197
2010-11-08,SESHAPAPER,EQ,255.05,259.8,260.2,253.15,260.2,258.9,257.5,5499,141598340000.0,,4276,0.7776000000000001
2010-11-09,SESHAPAPER,EQ,258.9,262.95,266.0,260.0,265.0,265.45,264.34,7314,193337470000.0,,6186,0.8458
2010-11-10,SESHAPAPER,EQ,265.45,261.1,269.95,261.1,265.2,266.35,266.03,3123,83080245000.0,,2374,0.7602
2010-11-11,SESHAPAPER,EQ,266.35,272.95,273.0,263.0,263.25,265.85,268.45,8628,231617535000.0,,6848,0.7937000000000001
2010-11-12,SESHAPAPER,EQ,265.85,262.0,274.0,258.0,258.0,261.65,261.57,4000,104628100000.0,,2560,0.64
2010-11-15,SESHAPAPER,EQ,261.65,255.0,261.4,254.0,260.3,256.15,257.22,4770,122694664999.99998,,4143,0.8686
2010-11-16,SESHAPAPER,EQ,256.15,256.0,262.95,250.0,252.5,251.8,256.64,4118,105685105000.0,,2583,0.6272
2010-11-18,SESHAPAPER,EQ,251.8,252.0,256.0,242.0,246.9,249.2,248.72,1242,30891170000.0,,1027,0.8269
2010-11-19,SESHAPAPER,EQ,249.2,264.0,264.0,239.0,240.15,242.6,244.78,3443,84278500000.0,,1801,0.5231
2010-11-22,SESHAPAPER,EQ,242.6,245.0,251.0,240.3,242.25,241.9,242.97,9236,224410360000.0,,7980,0.8640000000000001
2010-11-23,SESHAPAPER,EQ,241.9,242.25,243.0,234.25,237.0,235.55,237.39,2436,57828860000.0,,2249,0.9231999999999999
2010-11-24,SESHAPAPER,EQ,235.55,235.5,243.0,232.3,234.85,232.7,237.52,2299,54606175000.0,,1878,0.8169
2010-11-25,SESHAPAPER,EQ,232.7,235.0,236.0,225.1,228.0,228.4,232.85,10270,239134085000.0,,9035,0.8797
2010-11-26,SESHAPAPER,EQ,228.4,225.85,242.0,220.0,228.0,227.4,225.7,3606,81385910000.0,,2767,0.7673000000000001
2010-11-29,SESHAPAPER,EQ,227.4,228.0,240.0,226.35,230.95,229.9,230.71,3056,70505195000.0,,2085,0.6823
2010-11-30,SESHAPAPER,EQ,229.9,231.0,234.0,226.0,233.0,229.5,230.64,678,15637454999.999998,,560,0.826
2010-12-01,SESHAPAPER,EQ,229.5,230.3,240.0,230.3,233.5,233.85,237.33,808,19175915000.0,,522,0.6459999999999999
2010-12-02,SESHAPAPER,EQ,233.85,233.8,240.0,233.8,235.0,235.0,236.75,1123,26586959999.999996,,891,0.7934000000000001
2010-12-03,SESHAPAPER,EQ,235.0,240.0,243.95,230.0,230.0,232.1,235.19,2539,59715144999.99999,,1353,0.5329
2010-12-06,SESHAPAPER,EQ,232.1,236.45,244.7,233.3,240.0,241.2,240.48,4431,106557775000.0,,2294,0.5177
2010-12-07,SESHAPAPER,EQ,241.2,241.2,245.9,235.0,245.7,243.25,243.61,2140,52133200000.0,,1519,0.7098000000000001
2010-12-08,SESHAPAPER,EQ,243.25,240.0,245.0,239.0,239.0,239.0,240.03,1130,27123600000.0,,1130,1.0
2010-12-09,SESHAPAPER,EQ,239.0,239.95,240.0,231.0,231.0,232.55,235.6,7409,174555680000.0,,6776,0.9146
2010-12-10,SESHAPAPER,EQ,232.55,244.0,244.0,220.0,233.0,233.0,235.99,1344,31716725000.0,,837,0.6228
2010-12-13,SESHAPAPER,EQ,233.0,242.0,243.0,232.0,239.0,241.15,237.96,834,19846105000.0,,684,0.8201
2010-12-14,SESHAPAPER,EQ,241.15,236.0,245.0,223.0,244.0,243.75,243.66,1217,29653765000.000004,,952,0.7823000000000001
2010-12-15,SESHAPAPER,EQ,243.75,243.75,243.75,238.25,242.8,240.95,240.07,501,12027550000.0,,450,0.8982
2010-12-16,SESHAPAPER,EQ,240.95,238.0,240.95,238.0,238.0,239.6,240.21,692,16622270000.000002,,682,0.9855
2010-12-20,SESHAPAPER,EQ,239.6,240.0,265.0,240.0,245.9,244.9,248.91,1685,41940655000.0,,1241,0.7365
2010-12-21,SESHAPAPER,EQ,244.9,250.0,255.0,241.3,248.5,249.3,250.79,2256,56578475000.0,,1128,0.5
2010-12-22,SESHAPAPER,EQ,249.3,251.0,251.0,242.0,244.15,244.8,245.38,1730,42451330000.0,,376,0.21730000000000002
2010-12-23,SESHAPAPER,EQ,244.8,245.0,249.8,242.05,245.0,244.95,244.68,496,12136055000.0,,365,0.7359
2010-12-24,SESHAPAPER,EQ,244.95,256.25,256.25,241.1,241.1,245.1,248.46,723,17963410000.0,,450,0.6224000000000001
2010-12-27,SESHAPAPER,EQ,245.1,245.0,250.0,242.3,247.3,246.45,245.73,1861,45729700000.0,,1675,0.9001000000000001
2010-12-28,SESHAPAPER,EQ,246.45,245.1,250.0,244.0,250.0,247.85,247.13,905,22365150000.0,,439,0.4851
2010-12-29,SESHAPAPER,EQ,247.85,243.1,256.0,243.1,250.25,253.45,252.22,1407,35486730000.0,,801,0.5693
2010-12-30,SESHAPAPER,EQ,253.45,250.0,254.0,248.1,252.0,251.25,250.06,579,14478429999.999998,,478,0.8256
