Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2016-12-09,SFL,EQ,730.0,860.0,1032.0,850.1,1032.0,1032.0,969.94,4839221,469376473235000.06,88342,1815621,0.37520000000000003
2016-12-12,SFL,EQ,1032.0,1122.0,1164.0,954.0,1004.95,1007.05,1022.48,2806329,286941135165000.0,104792,298927,0.10650000000000001
2016-12-13,SFL,EQ,1007.05,988.0,1013.0,969.4,1003.0,998.15,996.8,790335,78780247720000.0,32018,83146,0.1052
2016-12-14,SFL,EQ,998.15,994.0,1052.0,947.2,964.0,961.65,1002.31,1912964,191737615120000.0,71146,140098,0.0732
2016-12-15,SFL,EQ,961.65,939.0,969.95,931.05,962.0,959.35,953.52,657598,62703039890000.0,29574,75580,0.1149
2016-12-16,SFL,EQ,959.35,960.0,978.0,952.6,956.1,959.35,964.55,241941,23336336950000.0,9613,30162,0.1247
2016-12-19,SFL,EQ,959.35,963.7,963.7,926.7,928.0,930.7,938.18,193491,18152878615000.0,9834,69903,0.3613
2016-12-20,SFL,EQ,930.7,930.0,943.0,926.2,930.5,930.45,932.13,102020,9509544650000.0,5647,37193,0.36460000000000004
2016-12-21,SFL,EQ,930.45,935.0,935.0,923.0,927.5,925.65,926.47,70668,6547164035000.0,3877,32557,0.4607
2016-12-22,SFL,EQ,925.65,925.0,956.0,914.95,956.0,946.5,935.04,190884,17848420760000.0,12686,47367,0.2481
2016-12-23,SFL,EQ,946.5,957.0,957.0,930.0,941.0,941.35,934.65,290979,27196295714999.996,7295,220483,0.7576999999999999
2016-12-26,SFL,EQ,941.35,940.9,940.9,912.6,916.0,916.0,919.79,44257,4070696010000.0,7725,21990,0.4969
2016-12-27,SFL,EQ,916.0,910.0,939.0,910.0,930.0,932.95,929.67,42610,3961319020000.0005,5189,11652,0.2735
2016-12-28,SFL,EQ,932.95,935.0,948.0,931.55,934.2,934.25,938.23,28817,2703696940000.0,2608,7334,0.2545
2016-12-29,SFL,EQ,934.25,939.75,944.5,925.0,938.5,936.4,937.96,18725,1756321970000.0,1582,3866,0.2065
2016-12-30,SFL,EQ,936.4,938.95,950.0,929.9,931.2,935.45,941.31,23976,2256896740000.0,1893,6320,0.2636
2017-01-02,SFL,EQ,935.45,930.0,952.85,930.0,950.0,949.8,946.05,35565,3364610629999.9995,2584,13928,0.39159999999999995
2017-01-03,SFL,EQ,949.8,945.0,950.0,940.0,940.0,941.25,943.74,11622,1096818110000.0,828,4016,0.3456
2017-01-04,SFL,EQ,941.25,941.05,948.0,931.5,940.0,935.85,940.68,8249,775966905000.0,506,2664,0.3229
2017-01-05,SFL,EQ,935.85,940.85,945.0,921.0,926.0,928.8,934.58,9468,884859850000.0,693,4613,0.4872
2017-01-06,SFL,EQ,928.8,934.9,989.0,934.85,965.0,966.0,958.25,335531,32152253095000.0,16230,182456,0.5438000000000001
2017-01-09,SFL,EQ,966.0,970.0,970.0,945.0,946.0,950.7,956.32,130539,12483710315000.0,2171,117772,0.9022
2017-01-10,SFL,EQ,950.7,949.95,970.0,942.0,969.0,966.8,960.2,29984,2879066460000.0,2734,11691,0.3899
2017-01-11,SFL,EQ,966.8,968.85,981.0,953.05,981.0,977.05,970.69,26325,2555351835000.0,2276,12040,0.45740000000000003
2017-01-12,SFL,EQ,977.05,971.0,998.9,966.0,993.5,992.35,984.42,26445,2603291970000.0,2507,10103,0.38200000000000006
