Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-10-04,SGL,EQ,7.5,7.35,7.5,7.35,7.35,7.35,7.4,5839,4319755000.0,,5338,0.9142
2010-10-05,SGL,EQ,7.35,7.6,7.9,7.35,7.45,7.45,7.6,4819,3661140000.0,,2390,0.49600000000000005
2010-10-06,SGL,EQ,7.45,7.25,7.5,7.25,7.35,7.35,7.43,6250,4641375000.0,,6125,0.98
2010-10-07,SGL,EQ,7.35,7.4,8.5,7.4,7.85,7.85,8.17,33465,27356720000.0,,19702,0.5887
2010-10-08,SGL,EQ,7.85,7.75,8.0,7.75,7.8,7.8,7.86,3173,2494120000.0,,1975,0.6224000000000001
2010-10-11,SGL,EQ,7.8,7.55,8.1,7.55,8.1,8.1,7.75,3453,2675585000.0,,2620,0.7587999999999999
2010-10-12,SGL,EQ,8.1,8.55,8.55,8.0,8.0,8.0,8.08,3151,2546985000.0,,2142,0.6798000000000001
2010-10-13,SGL,EQ,8.0,8.0,8.45,7.6,7.8,7.9,7.96,5313,4226805000.0000005,,2698,0.5078
2010-10-14,SGL,EQ,7.9,8.0,8.75,7.65,8.1,8.1,8.21,10118,8304485000.000001,,8197,0.8101
2010-10-15,SGL,EQ,8.1,8.0,8.35,7.75,8.15,8.0,7.99,5209,4163755000.0000005,,2744,0.5268
2010-10-18,SGL,EQ,8.0,7.6,7.7,7.0,7.5,7.5,7.45,5940,4422915000.0,,3763,0.6335000000000001
2010-10-19,SGL,EQ,7.5,8.4,8.4,7.7,7.95,7.85,8.06,23611,19035540000.0,,10588,0.4484
2010-10-20,SGL,EQ,7.85,8.0,8.1,7.45,7.55,7.6,7.66,10573,8098355000.0,,7014,0.6634000000000001
2010-10-21,SGL,EQ,7.6,7.85,7.85,7.5,7.5,7.5,7.55,2485,1875225000.0,,2480,0.998
2010-10-22,SGL,EQ,7.5,7.55,8.0,7.5,8.0,7.95,7.78,4601,3577335000.0,,2172,0.4721
2010-10-25,SGL,EQ,7.95,7.65,8.0,7.6,8.0,8.0,7.85,1979,1554250000.0,,1675,0.8464
2010-10-26,SGL,EQ,8.0,8.0,8.0,8.0,8.0,8.0,8.0,1000,800000000.0,,1000,1.0
2010-10-27,SGL,EQ,8.0,7.65,8.1,7.65,7.7,7.7,7.75,2212,1715375000.0,,2011,0.9091
2010-10-28,SGL,EQ,7.7,7.7,8.0,7.7,7.75,7.75,7.84,783,613915000.0,,782,0.9987
2010-10-29,SGL,EQ,7.75,8.8,8.8,7.65,7.65,7.7,7.85,9302,7299750000.0,,7202,0.7742
2010-11-01,SGL,EQ,7.7,8.1,8.1,7.6,7.85,7.85,7.95,5120,4072200000.0,,1550,0.3027
2010-11-02,SGL,EQ,7.85,7.9,7.9,7.9,7.9,7.9,7.9,1,790000.0,,1,1.0
2010-11-03,SGL,EQ,7.9,9.5,9.5,7.55,7.55,7.6,7.73,5799,4481785000.0,,3954,0.6818000000000001
2010-11-04,SGL,EQ,7.6,7.6,7.7,7.55,7.55,7.6,7.61,4087,3111000000.0,,2849,0.6970999999999999
2010-11-05,SGL,EQ,7.6,8.4,8.4,7.6,8.0,8.0,7.78,234,182035000.0,,232,0.9915
2010-11-08,SGL,EQ,8.0,7.75,7.95,7.55,7.8,7.8,7.78,12037,9362665000.0,,11629,0.9661000000000001
2010-11-09,SGL,EQ,7.8,8.0,9.4,8.0,8.0,8.0,8.37,29934,25060015000.0,,16700,0.5579
2010-11-10,SGL,EQ,8.0,9.6,9.6,7.9,8.4,8.35,8.28,44343,36717365000.0,,18084,0.4078
2010-11-11,SGL,EQ,8.35,10.0,10.0,8.0,8.35,8.4,8.48,13149,11153295000.0,,9262,0.7044
2010-11-12,SGL,EQ,8.4,8.1,8.8,7.75,7.75,7.95,8.17,14598,11931210000.0,,8484,0.5811999999999999
