Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2011-10-25,SHAKTIPUMP,EQ,41.2,45.0,45.0,40.25,41.95,41.85,41.82,46370,193930580000.0,38,44671,0.9634
2011-10-26,SHAKTIPUMP,EQ,41.85,49.05,49.05,42.1,42.8,42.65,46.85,7751,36313030000.0,9,7150,0.9225
2011-10-28,SHAKTIPUMP,EQ,42.65,49.4,49.4,44.15,45.0,44.9,44.94,44324,199189625000.0,130,37592,0.8481000000000001
2011-10-31,SHAKTIPUMP,EQ,44.9,45.0,46.0,39.2,45.45,45.4,44.89,23457,105309845000.0,104,21314,0.9086
2011-11-01,SHAKTIPUMP,EQ,45.4,46.25,46.25,43.0,44.0,44.4,44.85,31498,141253525000.0,47,31181,0.9899
2011-11-02,SHAKTIPUMP,EQ,44.4,43.0,43.55,42.0,42.0,42.1,42.94,1526,6551895000.0,27,845,0.5537
2011-11-03,SHAKTIPUMP,EQ,42.1,45.95,45.95,42.4,42.55,43.55,44.99,16915,76093730000.0,16,16694,0.9869
2011-11-04,SHAKTIPUMP,EQ,43.55,43.75,43.85,42.15,43.0,42.55,43.47,30229,131414255000.0,14,30163,0.9978
2011-11-08,SHAKTIPUMP,EQ,42.55,43.7,43.95,41.0,42.8,42.5,43.03,7918,34073100000.0,45,6327,0.7991
2011-11-09,SHAKTIPUMP,EQ,42.5,43.75,43.75,42.35,43.0,42.75,43.28,47770,206730055000.0,27,47665,0.9978
2011-11-11,SHAKTIPUMP,EQ,42.75,43.0,43.0,41.0,41.0,41.05,41.36,1017,4206544999.9999995,10,1016,0.9990000000000001
2011-11-14,SHAKTIPUMP,EQ,41.05,40.3,40.5,39.6,39.6,39.6,39.95,102,407510000.0,3,51,0.5
2011-11-15,SHAKTIPUMP,EQ,39.6,38.0,38.05,37.95,37.95,37.95,37.95,12211,46341895000.0,8,12160,0.9958
2011-11-16,SHAKTIPUMP,EQ,37.95,39.2,39.2,36.0,38.45,38.3,38.32,41556,159246390000.0,44,40393,0.9720000000000001
2011-11-17,SHAKTIPUMP,EQ,38.3,43.0,43.0,37.0,38.5,38.5,40.71,2151,8756785000.0,23,1260,0.5858
2011-11-18,SHAKTIPUMP,EQ,38.5,36.75,37.0,35.75,36.8,36.3,36.38,5310,19316240000.0,48,3372,0.635
2011-11-21,SHAKTIPUMP,EQ,36.3,43.5,43.5,34.1,37.0,37.0,40.32,1748,7047720000.0,15,1538,0.8799
2011-11-22,SHAKTIPUMP,EQ,37.0,35.0,37.25,35.0,36.5,36.5,36.18,2495,9026360000.0,28,1186,0.4754
2011-11-23,SHAKTIPUMP,EQ,36.5,37.0,37.0,35.0,36.05,36.05,36.26,328,1189350000.0,7,328,1.0
2011-11-24,SHAKTIPUMP,EQ,36.05,36.85,36.85,32.7,32.7,34.05,35.26,2382,8397800000.0,28,1235,0.5185000000000001
2011-11-25,SHAKTIPUMP,EQ,34.05,35.95,35.95,33.25,33.25,33.25,34.41,531,1827095000.0,12,526,0.9906
2011-11-28,SHAKTIPUMP,EQ,33.25,34.25,36.25,34.25,34.5,34.5,35.02,790,2766245000.0,16,603,0.7633
