Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2013-03-01,SHIRPUR-G,EQ,64.0,65.15,67.0,65.0,67.0,66.95,65.2,1100,7171955000.0,8,1007,0.9155
2013-03-04,SHIRPUR-G,EQ,66.95,64.0,66.2,64.0,66.2,65.75,64.96,92,597600000.0,5,82,0.8913
2013-03-05,SHIRPUR-G,EQ,65.75,66.0,67.0,66.0,66.7,66.7,66.72,1570,10474430000.0,18,1567,0.9981000000000001
2013-03-06,SHIRPUR-G,EQ,66.7,69.85,69.85,63.5,64.75,65.85,65.94,2302,15180525000.0,28,2247,0.9761
2013-03-07,SHIRPUR-G,EQ,65.85,66.0,68.5,66.0,68.5,68.45,66.83,1514,10118800000.0,3,1514,1.0
2013-03-08,SHIRPUR-G,EQ,68.45,65.0,72.45,65.0,72.45,72.35,71.22,686,4885615000.0,11,686,1.0
2013-03-11,SHIRPUR-G,EQ,72.35,70.0,78.75,70.0,73.25,73.25,73.64,319,2349250000.0,5,250,0.7837000000000001
2013-03-12,SHIRPUR-G,EQ,73.25,72.0,72.0,71.55,71.55,71.55,71.56,232,1660184999.9999998,6,232,1.0
2013-03-13,SHIRPUR-G,EQ,71.55,68.0,72.95,67.5,68.1,68.1,68.44,511,3497275000.0,12,311,0.6086
2013-03-14,SHIRPUR-G,EQ,68.1,67.0,68.45,63.8,66.0,66.0,66.18,1035,6850075000.0,20,630,0.6087
2013-03-15,SHIRPUR-G,EQ,66.0,63.0,64.95,63.0,64.9,64.9,63.69,1260,8024510000.000001,13,1147,0.9103
2013-03-18,SHIRPUR-G,EQ,64.9,63.7,63.7,59.45,60.0,60.0,61.61,1573,9691135000.0,13,1129,0.7177
2013-03-19,SHIRPUR-G,EQ,60.0,57.0,61.0,57.0,58.3,58.25,58.4,1685,9840475000.0,22,1113,0.6605
2013-03-20,SHIRPUR-G,EQ,58.25,56.0,58.5,53.25,54.5,54.55,55.3,5052,27936005000.0,19,4200,0.8314
2013-03-21,SHIRPUR-G,EQ,54.55,53.0,55.15,52.05,53.0,53.7,53.9,1841,9922125000.0,23,856,0.465
2013-03-22,SHIRPUR-G,EQ,53.7,51.0,54.0,51.0,54.0,54.0,52.15,553,2883900000.0,12,513,0.9277
2013-03-25,SHIRPUR-G,EQ,54.0,52.0,58.45,50.05,52.5,52.7,52.9,255476,1351469475000.0,51,255095,0.9984999999999999
2013-03-26,SHIRPUR-G,EQ,52.7,51.0,57.3,50.0,57.3,56.0,53.26,138369,736934485000.0,18,137802,0.9959
2013-03-28,SHIRPUR-G,EQ,56.0,59.95,59.95,55.0,56.9,56.65,56.74,1434,8136030000.0,26,1366,0.9526000000000001
2013-04-01,SHIRPUR-G,EQ,56.65,58.6,58.65,57.0,57.0,57.0,58.44,261,1525260000.0,7,219,0.8391
2013-04-02,SHIRPUR-G,EQ,57.0,59.0,60.0,57.95,60.0,59.0,59.0,130640,770791000000.0,22,130611,0.9998
2013-04-03,SHIRPUR-G,EQ,59.0,64.9,64.9,63.05,64.9,64.9,64.86,384,2490680000.0,10,191,0.4974
2013-04-04,SHIRPUR-G,EQ,64.9,70.0,70.0,63.4,70.0,67.8,66.65,1261,8404525000.0,44,626,0.4964
2013-04-05,SHIRPUR-G,EQ,67.8,65.0,72.0,65.0,67.95,67.95,67.32,1359,9148760000.0,19,982,0.7226
2013-04-08,SHIRPUR-G,EQ,67.95,65.0,69.75,62.55,67.8,68.35,67.18,1699,11414660000.0,30,1361,0.8011
2013-04-09,SHIRPUR-G,EQ,68.35,65.0,69.5,61.9,61.95,62.4,62.69,1443,9046240000.0,24,1061,0.7353000000000001
2013-04-10,SHIRPUR-G,EQ,62.4,60.0,62.95,60.0,62.5,62.25,61.62,1263,7782830000.0,20,973,0.7704000000000001
2013-04-11,SHIRPUR-G,EQ,62.25,60.1,63.0,60.0,60.0,60.45,60.8,484,2942830000.0,12,254,0.5247999999999999
2013-06-14,SHIRPUR-G,EQ,61.0,58.0,61.8,58.0,61.5,61.65,59.99,319,1913534999.9999998,8,187,0.5861999999999999
2013-06-17,SHIRPUR-G,EQ,61.65,61.5,63.0,60.0,61.95,61.85,61.65,864,5326770000.0,13,844,0.9769
2013-06-18,SHIRPUR-G,EQ,61.85,58.8,62.4,58.8,62.0,62.0,60.87,194,1180915000.0,4,111,0.5722
2013-06-19,SHIRPUR-G,EQ,62.0,60.0,60.0,59.0,59.0,59.0,59.71,100,597100000.0,2,100,1.0
2013-06-20,SHIRPUR-G,EQ,59.0,57.05,61.0,57.05,57.15,60.45,59.03,432,2550000000.0,8,302,0.6990999999999999
2013-06-21,SHIRPUR-G,EQ,60.45,58.0,58.0,58.0,58.0,58.0,58.0,61,353800000.0,4,61,1.0
2013-06-24,SHIRPUR-G,EQ,58.0,58.05,60.9,55.1,60.9,58.65,57.86,820,4744475000.0,12,290,0.35369999999999996
2013-06-25,SHIRPUR-G,EQ,58.65,56.0,59.55,55.75,55.75,55.75,57.46,623,3579615000.0,11,573,0.9197
2013-06-26,SHIRPUR-G,EQ,55.75,53.0,58.5,53.0,58.5,58.5,54.37,666,3621100000.0,4,591,0.8874
2013-06-27,SHIRPUR-G,EQ,58.5,58.5,61.0,58.5,61.0,60.9,60.9,1000,6089500000.0,6,1000,1.0
