Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-10-04,SHOPERSTOP,EQ,673.2,679.4,681.9,660.05,664.0,664.35,668.42,27098,1811290445000.0,,11913,0.4396
2010-10-05,SHOPERSTOP,EQ,664.35,663.0,677.7,655.55,660.0,661.4,663.24,76668,5084930910000.0,,25178,0.3284
2010-10-06,SHOPERSTOP,EQ,661.4,661.0,673.85,655.25,659.0,657.75,665.47,16047,1067883390000.0,,6215,0.3873
2010-10-07,SHOPERSTOP,EQ,657.75,658.4,689.95,651.0,664.2,666.2,675.52,90813,6134639205000.0,,26256,0.2891
2010-10-08,SHOPERSTOP,EQ,666.2,663.05,681.0,659.95,665.0,665.75,671.75,42198,2834650135000.0,,12008,0.2846
2010-10-11,SHOPERSTOP,EQ,665.75,667.0,680.0,652.0,680.0,666.2,660.69,102149,6748903730000.0,,54431,0.5329
2010-10-12,SHOPERSTOP,EQ,666.2,666.05,679.45,655.0,662.1,667.15,669.09,73072,4889182995000.0,,13916,0.19039999999999999
2010-10-13,SHOPERSTOP,EQ,667.15,670.0,679.45,668.0,676.0,675.15,674.85,36444,2459419170000.0,,14595,0.40049999999999997
2010-10-14,SHOPERSTOP,EQ,675.15,680.0,693.0,672.25,675.35,675.8,679.09,22054,1497654350000.0,,8853,0.40140000000000003
2010-10-15,SHOPERSTOP,EQ,675.8,670.0,676.9,665.5,670.0,670.8,671.89,19392,1302919845000.0,,15634,0.8062
2010-10-18,SHOPERSTOP,EQ,670.8,664.0,679.9,656.0,664.5,669.5,667.55,14809,988574555000.0001,,9441,0.6375000000000001
2010-10-19,SHOPERSTOP,EQ,669.5,678.4,684.0,670.1,672.0,675.9,677.76,15604,1057569425000.0,,7040,0.4512
2010-10-20,SHOPERSTOP,EQ,675.9,660.25,682.05,660.25,675.0,673.95,671.75,17933,1204646500000.0,,10715,0.5975
2010-10-21,SHOPERSTOP,EQ,673.95,678.9,683.7,666.25,675.0,676.8,675.69,9798,662036830000.0,,5188,0.5295000000000001
2010-10-22,SHOPERSTOP,EQ,676.8,670.0,698.0,670.0,681.0,685.3,687.81,25666,1765325970000.0,,8283,0.32270000000000004
2010-10-25,SHOPERSTOP,EQ,685.3,693.4,717.0,675.0,686.0,688.35,700.87,73090,5122660865000.0,,20335,0.2782
2010-10-26,SHOPERSTOP,EQ,688.35,702.0,710.0,687.0,689.0,692.55,698.9,37011,2586696650000.0,,14308,0.3866
2010-10-27,SHOPERSTOP,EQ,692.55,698.0,698.0,670.0,680.3,683.3,687.7,7587,521756070000.0,,4252,0.5604
2010-10-28,SHOPERSTOP,EQ,683.3,704.0,743.35,685.0,706.0,706.95,724.36,238575,17281479280000.002,,38940,0.1632
2010-10-29,SHOPERSTOP,EQ,706.95,710.05,728.8,667.0,711.5,694.0,696.74,123419,8599127165000.001,,19576,0.1586
2010-11-01,SHOPERSTOP,EQ,694.0,708.0,722.5,699.5,709.0,707.55,713.08,50401,3593969965000.0,,11384,0.2259
2010-11-02,SHOPERSTOP,EQ,707.55,724.95,724.95,700.0,703.5,707.75,709.22,19517,1384183945000.0,,7087,0.36310000000000003
2010-11-03,SHOPERSTOP,EQ,707.75,712.0,712.0,691.0,696.05,697.0,702.45,9593,673858750000.0,,3105,0.3237
2010-11-04,SHOPERSTOP,EQ,697.0,699.9,711.65,690.0,703.0,703.9,704.12,18239,1284237420000.0,,6690,0.3668
2010-11-05,SHOPERSTOP,EQ,703.9,714.8,714.8,700.5,705.1,708.2,708.11,5584,395410065000.0,,3332,0.5967
2010-11-08,SHOPERSTOP,EQ,708.2,701.0,722.0,693.1,704.05,714.15,712.74,48337,3445182340000.0,,21172,0.438
2010-11-09,SHOPERSTOP,EQ,714.15,712.4,718.9,708.0,710.05,710.4,715.06,42064,3007833520000.0,,34795,0.8272
2010-11-10,SHOPERSTOP,EQ,710.4,705.15,733.8,705.15,719.0,719.85,724.04,42139,3051038455000.0,,13408,0.3182
2010-11-11,SHOPERSTOP,EQ,719.85,725.0,743.9,710.1,722.0,718.7,731.66,38119,2789018455000.0,,14465,0.37950000000000006
2010-11-12,SHOPERSTOP,EQ,718.7,728.45,729.0,695.0,699.95,699.0,713.95,13656,974964135000.0,,4308,0.3155
2010-11-15,SHOPERSTOP,EQ,699.0,705.0,714.9,684.95,693.0,695.25,700.06,19703,1379336480000.0,,7087,0.3597
