Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2019-08-19,SHREDIGCEM,EQ,16.2,17.1,17.3,16.5,16.8,16.9,16.84,281821,474637040000.00006,630,202772,0.7195
2019-08-20,SHREDIGCEM,EQ,16.9,16.6,17.3,16.0,16.6,16.3,16.48,169881,279970270000.0,194,120345,0.7084
2019-08-21,SHREDIGCEM,EQ,16.3,16.35,16.7,14.05,15.9,15.75,16.09,150461,242033015000.0,313,81884,0.5442
2019-08-22,SHREDIGCEM,EQ,15.75,15.45,15.9,14.95,15.5,15.5,15.28,46913,71694820000.0,145,43474,0.9267000000000001
2019-08-23,SHREDIGCEM,EQ,15.5,15.15,15.5,15.1,15.45,15.25,15.27,31047,47405770000.0,132,25040,0.8065000000000001
2019-08-26,SHREDIGCEM,EQ,15.25,15.2,15.9,15.0,15.4,15.1,15.24,44718,68168260000.0,106,41510,0.9283
2019-08-27,SHREDIGCEM,EQ,15.1,15.45,16.0,15.4,15.95,15.95,15.86,33454,53058675000.0,80,24441,0.7306
2019-08-28,SHREDIGCEM,EQ,15.95,15.9,16.0,15.45,15.5,15.55,15.57,16932,26370790000.000004,41,16101,0.9509000000000001
2019-08-29,SHREDIGCEM,EQ,15.55,15.7,15.85,15.3,15.35,15.4,15.42,63479,97878510000.0,89,59737,0.9411
2019-08-30,SHREDIGCEM,EQ,15.4,15.55,15.8,15.45,15.75,15.65,15.51,19079,29599609999.999996,41,18731,0.9818000000000001
2019-09-03,SHREDIGCEM,EQ,15.65,15.25,15.8,15.15,15.5,15.4,15.37,75335,115809830000.0,112,72958,0.9684
2019-09-04,SHREDIGCEM,EQ,15.4,15.4,15.75,15.2,15.35,15.45,15.62,68274,106671885000.00002,92,63211,0.9258
2019-09-05,SHREDIGCEM,EQ,15.45,15.45,15.7,15.4,15.6,15.6,15.52,48663,75528750000.0,49,46077,0.9469
2019-09-06,SHREDIGCEM,EQ,15.6,15.5,16.0,15.5,15.9,15.8,15.65,25813,40387475000.0,61,24173,0.9365000000000001
2019-09-09,SHREDIGCEM,EQ,15.8,15.85,16.1,15.45,15.9,15.95,15.97,54858,87613090000.0,78,53248,0.9707
2019-09-11,SHREDIGCEM,EQ,15.95,16.1,16.75,16.05,16.7,16.65,16.6,144055,239179695000.00003,208,125729,0.8728
2019-09-12,SHREDIGCEM,EQ,16.65,16.65,17.3,16.35,16.8,16.65,16.96,109035,184959630000.0,244,89148,0.8176000000000001
2019-09-13,SHREDIGCEM,EQ,16.65,16.4,17.2,16.35,16.85,16.95,16.84,133266,224434550000.0,238,112874,0.8470000000000001
2019-09-16,SHREDIGCEM,EQ,16.95,16.9,17.2,16.35,17.2,17.0,16.97,210539,357346170000.0,517,204205,0.9699
2019-09-17,SHREDIGCEM,EQ,17.0,16.8,17.2,16.6,16.85,16.8,16.84,74811,125975095000.0,223,67458,0.9017000000000001
2019-09-18,SHREDIGCEM,EQ,16.8,17.2,17.2,16.0,17.0,16.95,16.77,27601,46286845000.0,106,24294,0.8802
2019-09-19,SHREDIGCEM,EQ,16.95,17.0,17.0,16.2,16.4,16.45,16.5,65979,108840330000.0,439,48368,0.7331000000000001
2019-09-20,SHREDIGCEM,EQ,16.45,16.45,17.7,16.25,17.1,17.15,17.29,218892,378427665000.0,1468,156341,0.7142000000000001
2019-09-23,SHREDIGCEM,EQ,17.15,17.75,17.75,16.9,17.2,17.3,17.32,169188,293063960000.0,662,151351,0.8946
2019-09-24,SHREDIGCEM,EQ,17.3,17.1,18.15,17.0,17.95,17.8,17.69,221605,391994360000.0,841,136694,0.6168
2019-09-25,SHREDIGCEM,EQ,17.8,17.8,18.1,17.35,17.55,17.4,17.57,93225,163804710000.0,330,79938,0.8575
2019-09-26,SHREDIGCEM,EQ,17.4,17.25,17.75,17.1,17.5,17.55,17.36,79642,138243150000.0,470,61787,0.7758
2019-09-27,SHREDIGCEM,EQ,17.55,17.75,17.75,16.35,17.05,17.05,17.06,102647,175107255000.0,298,70750,0.6893000000000001
2019-09-30,SHREDIGCEM,EQ,17.05,17.0,17.8,16.9,17.45,17.25,17.25,108597,187328815000.0,507,90245,0.831
2019-10-01,SHREDIGCEM,EQ,17.25,17.25,17.4,16.1,16.7,16.6,16.62,91870,152710585000.0,348,79313,0.8633
2019-10-03,SHREDIGCEM,EQ,16.6,17.15,17.15,16.1,16.5,16.5,16.49,41910,69120315000.0,121,33148,0.7909
2019-10-04,SHREDIGCEM,EQ,16.5,16.95,16.95,16.4,16.6,16.5,16.61,13989,23230500000.0,178,12091,0.8643000000000001
2019-10-07,SHREDIGCEM,EQ,16.5,16.6,16.8,16.2,16.5,16.5,16.52,64229,106093050000.0,630,63256,0.9849
2019-10-09,SHREDIGCEM,EQ,16.5,16.7,16.85,16.15,16.85,16.6,16.46,35642,58649825000.0,224,27971,0.7848
2019-10-10,SHREDIGCEM,EQ,16.6,16.85,16.85,16.3,16.3,16.4,16.52,20514,33897875000.0,135,18419,0.8979
2019-10-11,SHREDIGCEM,EQ,16.4,16.3,16.5,16.15,16.3,16.45,16.3,28556,46545685000.0,92,20996,0.7353000000000001
2019-10-14,SHREDIGCEM,EQ,16.45,16.25,16.3,14.55,15.95,16.0,15.34,43601,66887169999.99999,658,37195,0.8531000000000001
2019-10-15,SHREDIGCEM,EQ,16.0,16.35,16.55,16.0,16.5,16.5,16.24,38138,61920810000.0,117,35585,0.9331
2019-10-16,SHREDIGCEM,EQ,16.5,16.25,16.95,16.15,16.8,16.75,16.69,55230,92173525000.0,500,46061,0.8340000000000001
2019-10-17,SHREDIGCEM,EQ,16.75,16.6,17.1,16.5,16.65,16.7,16.79,56399,94722095000.0,700,46927,0.8321
2019-10-18,SHREDIGCEM,EQ,16.7,17.0,17.0,16.5,17.0,16.75,16.83,55180,92889045000.0,330,51187,0.9276000000000001
2019-10-22,SHREDIGCEM,EQ,16.75,16.4,17.4,16.4,16.8,16.7,16.87,106694,180013975000.0,455,89568,0.8395
2019-10-23,SHREDIGCEM,EQ,16.7,16.55,17.05,16.55,16.55,16.65,16.74,37340,62524815000.0,117,34872,0.9339000000000001
2019-10-24,SHREDIGCEM,EQ,16.65,16.55,18.45,16.25,17.6,17.65,17.75,446068,791957950000.0,1220,275534,0.6177
2019-10-25,SHREDIGCEM,EQ,17.65,18.0,20.15,18.0,19.6,19.45,19.23,1783412,3429915285000.0,4569,1035493,0.5806
2019-10-27,SHREDIGCEM,EQ,19.45,20.3,21.6,20.0,21.45,21.2,21.04,848093,1784562660000.0002,2212,524931,0.619
2019-10-29,SHREDIGCEM,EQ,21.2,21.65,24.5,20.6,23.65,23.7,23.06,2096702,4835783255000.0,5610,1075461,0.5129
2019-10-30,SHREDIGCEM,EQ,23.7,23.65,24.2,22.6,23.15,23.0,23.16,987724,2287865390000.0,2776,613386,0.621
2019-10-31,SHREDIGCEM,EQ,23.0,23.0,23.25,22.05,22.7,22.7,22.85,503470,1150192935000.0,1560,327748,0.6509999999999999
2019-11-01,SHREDIGCEM,EQ,22.7,22.45,23.0,21.65,21.65,21.8,22.32,489068,1091429735000.0,1363,306399,0.6265
2019-11-04,SHREDIGCEM,EQ,21.8,22.5,22.5,20.15,21.3,21.05,21.41,446129,955035335000.0,1397,242402,0.5433
2019-11-05,SHREDIGCEM,EQ,21.05,21.3,22.45,20.75,21.6,21.75,21.92,530502,1162863980000.0,1484,291608,0.5497
2019-11-06,SHREDIGCEM,EQ,21.75,21.7,22.3,21.35,22.0,21.8,21.86,237827,519898855000.0,756,129593,0.5449
2019-11-07,SHREDIGCEM,EQ,21.8,22.0,22.15,20.5,21.35,21.35,21.41,177603,380315775000.0,654,110973,0.6248
2019-11-08,SHREDIGCEM,EQ,21.35,21.75,21.8,20.4,20.55,20.65,20.96,248498,520731709999.99994,576,166207,0.6688
2019-11-11,SHREDIGCEM,EQ,20.65,21.15,21.25,20.65,21.0,20.9,20.96,189650,397419200000.0,589,108143,0.5702
2019-11-13,SHREDIGCEM,EQ,20.9,21.1,22.0,20.3,21.3,21.25,21.08,1035395,2182188500000.0,4133,682829,0.6595000000000001
2019-11-14,SHREDIGCEM,EQ,21.25,21.3,22.2,20.6,22.15,21.9,21.69,471134,1021960069999.9999,2631,345796,0.7340000000000001
2019-11-15,SHREDIGCEM,EQ,21.9,22.0,24.05,22.0,24.05,24.05,23.23,1071551,2489094840000.0,2186,686837,0.6409999999999999
2019-11-18,SHREDIGCEM,EQ,24.05,24.75,26.45,23.5,26.35,26.35,25.34,1880363,4764773045000.0,6006,1357027,0.7217
2019-11-19,SHREDIGCEM,EQ,26.35,26.7,27.05,25.05,25.1,25.05,25.87,835474,2161440889999.9998,3109,506147,0.6058
2019-11-20,SHREDIGCEM,EQ,25.05,24.35,26.0,24.35,24.9,24.75,24.87,426340,1060158060000.0,1352,335353,0.7866
2019-11-21,SHREDIGCEM,EQ,24.75,24.9,24.95,23.55,23.55,23.85,23.87,637097,1520599870000.0,2221,459009,0.7205
2019-11-22,SHREDIGCEM,EQ,23.85,23.55,24.25,23.5,23.9,23.75,23.76,200739,476959125000.0,704,172197,0.8578
2019-11-25,SHREDIGCEM,EQ,23.75,23.9,24.9,23.1,23.15,23.3,23.5,380210,893577910000.0,924,322109,0.8472
2019-11-26,SHREDIGCEM,EQ,23.3,23.65,23.85,22.75,22.95,22.95,23.19,200186,464266720000.0,509,143925,0.7190000000000001
2019-11-27,SHREDIGCEM,EQ,22.95,23.1,23.35,22.3,23.0,23.1,22.91,380260,871249219999.9999,552,216828,0.5702
2019-11-28,SHREDIGCEM,EQ,23.1,23.45,23.45,22.7,22.95,22.9,22.89,224395,513539820000.0,473,162633,0.7248
2019-11-29,SHREDIGCEM,EQ,22.9,23.25,23.25,22.3,22.6,22.45,22.75,249349,567335935000.0,647,171745,0.6888
2019-12-02,SHREDIGCEM,EQ,22.45,22.45,23.5,22.35,23.15,22.8,22.72,436459,991726350000.0,708,239595,0.549
2019-12-03,SHREDIGCEM,EQ,22.8,23.05,23.35,22.5,22.8,22.75,22.88,207613,474989280000.0,568,148949,0.7173999999999999
2019-12-04,SHREDIGCEM,EQ,22.75,22.8,23.75,22.2,23.3,23.45,23.09,471245,1088339580000.0001,860,253728,0.5384000000000001
2019-12-05,SHREDIGCEM,EQ,23.45,23.9,24.2,23.5,23.8,23.95,23.85,168049,400731240000.0,516,130521,0.7767000000000001
2019-12-06,SHREDIGCEM,EQ,23.95,24.7,24.75,23.35,23.4,23.5,23.94,177909,425902250000.0,533,141758,0.7968000000000001
