Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-10-04,SHRIRAMEPC,EQ,273.05,298.7,298.7,276.95,277.0,278.2,279.46,18557,518601015000.00006,,15438,0.8319
2010-10-05,SHRIRAMEPC,EQ,278.2,285.0,285.0,275.25,277.0,276.75,277.3,5406,149909435000.0,,3288,0.6082
2010-10-06,SHRIRAMEPC,EQ,276.75,283.35,283.35,274.0,275.65,274.6,276.45,6294,173998900000.0,,4698,0.7464000000000001
2010-10-07,SHRIRAMEPC,EQ,274.6,290.0,290.0,272.4,274.0,273.8,276.1,7184,198351415000.0,,3890,0.5415
2010-10-08,SHRIRAMEPC,EQ,273.8,288.0,288.8,274.1,275.0,276.05,279.99,33500,937982300000.0,,8846,0.2641
2010-10-11,SHRIRAMEPC,EQ,276.05,278.85,279.0,272.25,273.5,273.05,274.29,9565,262353945000.00003,,5438,0.5685
2010-10-12,SHRIRAMEPC,EQ,273.05,274.0,274.0,267.5,271.95,270.3,270.21,10866,293607630000.0,,6448,0.5934
2010-10-13,SHRIRAMEPC,EQ,270.3,271.2,271.2,256.0,260.25,261.9,264.87,15752,417225030000.0,,11220,0.7123
2010-10-14,SHRIRAMEPC,EQ,261.9,262.1,271.65,262.1,266.05,266.25,264.61,6479,171438225000.0,,3935,0.6073
2010-10-15,SHRIRAMEPC,EQ,266.25,264.45,266.0,255.35,259.8,259.95,261.76,7021,183783395000.0,,4577,0.6519
2010-10-18,SHRIRAMEPC,EQ,259.95,260.4,261.95,252.2,254.0,254.55,254.99,8154,207917845000.0,,6287,0.7709999999999999
2010-10-19,SHRIRAMEPC,EQ,254.55,255.5,259.8,250.55,253.0,254.05,254.44,5401,137420389999.99998,,4105,0.76
2010-10-20,SHRIRAMEPC,EQ,254.05,252.2,252.25,248.05,251.15,249.7,250.63,5363,134411850000.0,,3903,0.7278
2010-10-21,SHRIRAMEPC,EQ,249.7,252.0,255.0,248.5,250.0,250.7,251.52,6161,154959840000.0,,3208,0.5207
2010-10-22,SHRIRAMEPC,EQ,250.7,251.15,257.0,251.05,254.95,252.15,254.22,7229,183774390000.0,,5354,0.7406
2010-10-25,SHRIRAMEPC,EQ,252.15,252.15,256.0,252.15,255.5,254.85,254.27,3024,76892030000.0,,2464,0.8148000000000001
2010-10-26,SHRIRAMEPC,EQ,254.85,252.2,256.45,252.2,256.45,255.4,255.19,6525,166510425000.0,,5595,0.8575
2010-10-27,SHRIRAMEPC,EQ,255.4,253.2,257.9,250.35,254.95,254.1,253.26,5159,130655889999.99998,,4409,0.8545999999999999
2010-10-28,SHRIRAMEPC,EQ,254.1,252.0,253.55,250.0,251.0,251.25,251.22,3755,94332465000.0,,2476,0.6594
2010-10-29,SHRIRAMEPC,EQ,251.25,249.1,252.75,247.05,248.1,248.5,249.75,1864,46553235000.0,,1309,0.7023
2010-11-01,SHRIRAMEPC,EQ,248.5,248.35,255.75,248.2,252.0,252.1,251.67,1248,31409025000.0,,622,0.49840000000000007
2010-11-02,SHRIRAMEPC,EQ,252.1,252.1,252.1,249.25,250.9,249.75,250.11,988,24710385000.0,,722,0.7308
2010-11-03,SHRIRAMEPC,EQ,249.75,251.05,251.8,241.2,242.9,242.6,246.08,12222,300757895000.0,,7487,0.6126
2010-11-04,SHRIRAMEPC,EQ,242.6,243.0,248.0,243.0,244.0,244.2,244.94,5889,144244080000.0,,4148,0.7044
2010-11-05,SHRIRAMEPC,EQ,244.2,249.0,249.0,245.05,247.85,246.65,246.79,348,8588135000.000001,,305,0.8764000000000001
