Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-10-04,SICAL,EQ,66.8,66.3,67.5,66.0,66.2,66.3,66.61,35553,236813710000.0,,23912,0.6726000000000001
2010-10-05,SICAL,EQ,66.3,66.85,67.45,66.1,66.1,66.4,66.71,34066,227267770000.00003,,19836,0.5822999999999999
2010-10-06,SICAL,EQ,66.4,67.2,68.0,65.5,65.6,65.85,66.26,105573,699552310000.0,,64260,0.6087
2010-10-07,SICAL,EQ,65.85,66.55,67.9,65.5,66.2,65.8,66.69,138241,921909655000.0001,,56293,0.4072
2010-10-08,SICAL,EQ,65.8,66.55,67.0,65.0,65.5,65.3,66.51,260468,1732430430000.0,,221144,0.8490000000000001
2010-10-11,SICAL,EQ,65.3,66.15,66.75,65.55,65.65,65.75,66.01,32053,211569715000.0,,16617,0.5184000000000001
2010-10-12,SICAL,EQ,65.75,66.2,66.3,63.5,64.5,64.4,64.72,52763,341468225000.0,,36133,0.6848000000000001
2010-10-13,SICAL,EQ,64.4,65.4,65.9,64.6,65.4,65.3,65.23,56855,370852015000.0,,36723,0.6459
2010-10-14,SICAL,EQ,65.3,65.2,66.8,64.2,64.7,64.65,65.48,62666,410313070000.0,,35851,0.5721
2010-10-15,SICAL,EQ,64.65,65.25,66.7,64.15,64.6,64.55,65.27,147193,960775275000.0,,68148,0.46299999999999997
2010-10-18,SICAL,EQ,64.55,64.55,65.45,63.9,64.15,64.1,64.2,23242,149219760000.0,,18092,0.7784000000000001
2010-10-19,SICAL,EQ,64.1,56.8,65.0,56.8,64.0,63.65,64.17,27604,177127475000.0,,14779,0.5354
2010-10-20,SICAL,EQ,63.65,64.0,64.35,63.35,63.45,63.65,63.89,35665,227854040000.0,,25395,0.7120000000000001
2010-10-21,SICAL,EQ,63.65,63.5,64.35,63.0,63.45,63.3,63.49,39054,247953140000.0,,26834,0.6870999999999999
2010-10-22,SICAL,EQ,63.3,64.0,64.35,62.2,62.45,62.5,63.06,35249,222290340000.0,,24961,0.7081000000000001
2010-10-25,SICAL,EQ,62.5,62.6,63.45,61.7,62.25,62.05,62.48,25968,162236460000.0,,19160,0.7378
2010-10-26,SICAL,EQ,62.05,62.0,62.75,61.5,62.1,62.0,62.05,36391,225819654999.99997,,22310,0.6131000000000001
2010-10-27,SICAL,EQ,62.0,62.0,62.55,61.8,62.3,62.15,62.09,33023,205029505000.0,,26522,0.8031
2010-10-28,SICAL,EQ,62.15,62.75,63.0,61.65,61.65,61.95,62.36,24714,154114735000.0,,13132,0.5314
2010-10-29,SICAL,EQ,61.95,62.0,65.2,62.0,62.9,62.65,63.58,74726,475086659999.99994,,34913,0.4672
2010-11-01,SICAL,EQ,62.65,63.0,67.9,63.0,67.15,67.1,66.58,182729,1216574005000.0,,130803,0.7158
2010-11-02,SICAL,EQ,67.1,68.45,71.5,68.0,69.3,69.25,69.69,600114,4181894995000.0005,,181529,0.3025
2010-11-03,SICAL,EQ,69.25,69.0,70.5,66.4,67.25,67.1,68.88,132984,915996900000.0,,71703,0.5392
2010-11-04,SICAL,EQ,67.1,68.5,70.4,67.55,68.1,67.85,68.47,81295,556598155000.0,,38011,0.4676
2010-11-05,SICAL,EQ,67.85,67.5,69.75,67.5,68.5,69.05,69.03,36374,251073015000.0,,18437,0.5069
2010-11-08,SICAL,EQ,69.05,68.0,76.8,68.0,75.8,75.75,73.67,779811,5744973010000.0,,366625,0.47009999999999996
2010-11-09,SICAL,EQ,75.75,76.05,84.5,75.9,83.2,83.4,80.48,1161023,9344116340000.0,,428542,0.3691
2010-11-10,SICAL,EQ,83.4,83.4,92.8,80.5,86.8,87.55,88.68,3364860,29839781635000.004,,692752,0.2059
2010-11-11,SICAL,EQ,87.55,88.5,88.7,77.8,80.0,79.05,83.0,1264889,10498729720000.0,,591366,0.4675
