Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-10-04,SIL,EQ,46.15,47.25,47.7,45.55,45.55,46.2,46.71,27819,129934660000.00002,,14513,0.5217
2010-10-05,SIL,EQ,46.2,46.0,46.5,45.3,45.5,45.85,45.84,11113,50944900000.0,,8445,0.7599
2010-10-06,SIL,EQ,45.85,46.5,47.85,45.5,46.05,46.45,46.55,37100,172691020000.0,,21153,0.5702
2010-10-07,SIL,EQ,46.45,46.05,47.5,45.55,46.05,45.95,46.35,37816,175263815000.0,,23619,0.6246
2010-10-08,SIL,EQ,45.95,47.0,47.8,44.3,44.85,44.7,45.58,21778,99268020000.0,,14048,0.6451000000000001
2010-10-11,SIL,EQ,44.7,45.4,46.35,44.8,45.85,45.1,45.25,42444,192042250000.0,,33763,0.7955
2010-10-12,SIL,EQ,45.1,45.2,45.5,44.05,44.7,44.6,44.89,10753,48266560000.0,,8790,0.8174
2010-10-13,SIL,EQ,44.6,45.5,46.1,44.5,44.5,44.6,44.9,28079,126086895000.0,,15218,0.542
2010-10-14,SIL,EQ,44.6,44.85,48.0,44.5,46.0,46.05,46.63,87471,407857670000.0,,25055,0.2864
2010-10-15,SIL,EQ,46.05,46.5,49.5,45.9,47.3,46.85,48.13,204153,982675555000.0001,,82100,0.4021
2010-10-18,SIL,EQ,46.85,47.7,47.7,45.15,46.7,46.2,46.3,9803,45386255000.0,,5606,0.5719
2010-10-19,SIL,EQ,46.2,47.35,47.45,45.1,45.1,45.25,46.06,7813,35986100000.0,,4663,0.5968
2010-10-20,SIL,EQ,45.25,45.85,45.85,44.9,45.0,45.1,45.14,22930,103503575000.0,,13429,0.5857
2010-10-21,SIL,EQ,45.1,45.1,46.0,45.0,45.15,45.2,45.43,18227,82802870000.0,,13622,0.7474
2010-10-22,SIL,EQ,45.2,45.05,45.35,44.25,44.65,44.6,44.95,14651,65857580000.00001,,9490,0.6476999999999999
2010-10-25,SIL,EQ,44.6,44.25,46.25,44.25,44.65,44.75,45.07,35085,158121010000.0,,19420,0.5535
2010-10-26,SIL,EQ,44.75,44.7,45.5,42.2,43.0,42.95,43.75,50365,220329195000.00003,,39747,0.7892
2010-10-27,SIL,EQ,42.95,42.45,45.0,42.45,43.85,43.85,44.03,25534,112432175000.0,,17980,0.7042
2010-10-28,SIL,EQ,43.85,43.95,44.6,43.5,43.7,43.9,43.93,9954,43731265000.0,,6958,0.6990000000000001
2010-10-29,SIL,EQ,43.9,43.15,43.55,41.05,42.65,42.4,42.54,16445,69949535000.0,,13222,0.804
2010-11-01,SIL,EQ,42.4,43.3,44.1,43.0,43.7,43.2,43.4,14103,61213610000.0,,9648,0.6840999999999999
2010-11-02,SIL,EQ,43.2,42.7,43.8,42.05,42.05,42.7,42.96,9346,40152850000.0,,6201,0.6635
2010-11-03,SIL,EQ,42.7,42.35,43.2,41.8,41.9,41.95,42.69,8578,36617790000.0,,4676,0.5451
2010-11-04,SIL,EQ,41.95,42.05,43.6,42.05,43.0,43.05,43.01,6104,26255209999.999996,,3396,0.5564
2010-11-05,SIL,EQ,43.05,44.35,46.0,44.2,46.0,45.35,45.25,10174,46032625000.0,,7490,0.7362000000000001
2010-11-08,SIL,EQ,45.35,44.95,46.7,43.15,46.4,46.15,45.59,34805,158674865000.0,,20112,0.5778
2010-11-09,SIL,EQ,46.15,45.85,46.75,44.25,44.3,44.6,45.32,21682,98265615000.0,,17187,0.7927
2010-11-10,SIL,EQ,44.6,44.25,45.7,44.25,45.0,44.85,44.94,20782,93400235000.0,,12036,0.5792
2010-11-11,SIL,EQ,44.85,45.8,47.4,44.65,45.85,45.6,46.44,54234,251869304999.99997,,25054,0.462
2010-11-12,SIL,EQ,45.6,44.8,45.75,43.35,43.55,43.5,44.18,13941,61593444999.99999,,10530,0.7553000000000001
2010-11-15,SIL,EQ,43.5,43.0,43.6,42.1,42.9,42.85,43.06,9894,42607985000.0,,7559,0.7640000000000001
2010-11-16,SIL,EQ,42.85,42.05,43.35,40.0,41.0,41.05,41.28,25366,104706275000.0,,20795,0.8198000000000001
2010-11-18,SIL,EQ,41.05,41.05,41.25,38.05,40.4,40.35,40.14,34555,138700425000.0,,17424,0.5042
2010-11-19,SIL,EQ,40.35,39.55,40.65,39.1,39.2,39.55,39.83,9692,38603420000.0,,5853,0.6039
2010-11-22,SIL,EQ,39.55,39.5,41.55,38.0,41.0,40.45,39.42,26562,104696845000.0,,10996,0.414
