Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-10-04,SIMPLEXINF,EQ,488.0,488.5,488.5,477.15,483.9,483.0,481.81,1651,79546605000.0,,1252,0.7583
2010-10-05,SIMPLEXINF,EQ,483.0,480.1,485.3,478.0,480.0,480.05,480.15,12260,588667540000.0,,10900,0.8891
2010-10-06,SIMPLEXINF,EQ,480.05,480.6,487.4,474.0,475.0,474.9,478.6,145478,6962530809999.999,,133862,0.9202
2010-10-07,SIMPLEXINF,EQ,474.9,475.25,486.0,474.1,485.0,483.8,479.92,11038,529731570000.0,,8787,0.7961
2010-10-08,SIMPLEXINF,EQ,483.8,480.15,488.0,480.0,485.0,484.4,483.5,2599,125661185000.00002,,1781,0.6853
2010-10-11,SIMPLEXINF,EQ,484.4,489.0,489.0,483.15,485.0,484.45,484.79,2313,112132295000.0,,1605,0.6939000000000001
2010-10-12,SIMPLEXINF,EQ,484.45,480.05,491.8,477.0,483.0,482.7,478.35,16625,795251295000.0,,16141,0.9709000000000001
2010-10-13,SIMPLEXINF,EQ,482.7,484.75,484.75,475.05,480.0,478.25,481.17,15912,765636715000.0,,14685,0.9229
2010-10-14,SIMPLEXINF,EQ,478.25,484.5,484.5,474.0,475.0,475.1,478.9,6814,326319120000.0,,4855,0.7125
2010-10-15,SIMPLEXINF,EQ,475.1,475.05,475.5,468.5,468.5,470.65,473.86,2957,140120475000.0,,2602,0.8799
2010-10-18,SIMPLEXINF,EQ,470.65,478.5,478.75,468.0,475.6,476.95,475.14,3737,177558680000.0,,3048,0.8156
2010-10-19,SIMPLEXINF,EQ,476.95,479.0,483.0,478.0,482.95,480.25,480.33,1384,66477894999.99999,,1038,0.75
2010-10-20,SIMPLEXINF,EQ,480.25,476.95,485.0,475.0,484.3,483.35,483.5,1776,85870135000.0,,1486,0.8367
2010-10-21,SIMPLEXINF,EQ,483.35,484.2,490.0,479.05,485.0,487.85,487.01,99050,4823802215000.0,,97814,0.9875
2010-10-22,SIMPLEXINF,EQ,487.85,488.0,488.0,477.0,485.0,483.4,482.9,1899,91703360000.0,,1474,0.7762000000000001
2010-10-25,SIMPLEXINF,EQ,483.4,489.8,489.8,479.9,482.0,480.75,481.78,4947,238335310000.0,,4214,0.8518000000000001
2010-10-26,SIMPLEXINF,EQ,480.75,482.5,486.0,480.0,482.25,484.6,482.44,2583,124614375000.0,,2118,0.8200000000000001
2010-10-27,SIMPLEXINF,EQ,484.6,481.0,492.0,479.9,488.0,487.9,488.45,3516,171739660000.0,,2935,0.8348000000000001
2010-10-28,SIMPLEXINF,EQ,487.9,487.9,495.0,481.1,481.1,484.8,489.94,1226,60066315000.0,,791,0.6452
2010-10-29,SIMPLEXINF,EQ,484.8,478.1,495.95,478.1,491.2,493.95,491.99,2358,116010305000.0,,2033,0.8622
2010-11-01,SIMPLEXINF,EQ,493.95,486.1,490.0,481.3,481.3,482.85,486.72,249,12119305000.0,,211,0.8473999999999999
2010-11-02,SIMPLEXINF,EQ,482.85,481.3,491.3,481.3,485.0,485.0,487.61,523,25502140000.0,,304,0.5813
2010-11-03,SIMPLEXINF,EQ,485.0,481.0,484.4,472.0,472.0,472.65,476.44,3869,184335580000.0,,2474,0.6394
2010-11-04,SIMPLEXINF,EQ,472.65,474.3,476.5,464.0,465.55,468.45,469.02,3412,160028865000.0,,1870,0.5481
2010-11-05,SIMPLEXINF,EQ,468.45,468.25,476.75,468.25,476.75,471.35,471.33,416,19607125000.0,,335,0.8053
2010-11-08,SIMPLEXINF,EQ,471.35,478.0,478.0,467.0,467.0,468.9,469.94,13979,656927345000.0,,13592,0.9723
2010-11-09,SIMPLEXINF,EQ,468.9,475.0,475.0,467.6,469.9,468.15,469.76,918,43123815000.0,,792,0.8627
2010-11-10,SIMPLEXINF,EQ,468.15,481.0,481.0,464.0,466.95,466.2,466.86,2478,115687080000.0,,2167,0.8745
2010-11-11,SIMPLEXINF,EQ,466.2,461.6,474.2,451.0,465.0,465.45,467.2,1021,47701575000.0,,520,0.5093
2010-11-12,SIMPLEXINF,EQ,465.45,462.0,471.3,460.0,462.0,463.45,464.84,3384,157301285000.0,,1349,0.3986
2010-11-15,SIMPLEXINF,EQ,463.45,459.15,482.65,459.15,482.0,478.95,474.31,7857,372668555000.0,,4825,0.6141
2010-11-16,SIMPLEXINF,EQ,478.95,478.0,480.0,446.5,468.0,460.4,465.98,10539,491094990000.00006,,6977,0.662
2010-11-18,SIMPLEXINF,EQ,460.4,476.0,476.0,444.0,444.2,447.05,455.11,2836,129069180000.0,,2133,0.7521
2010-11-19,SIMPLEXINF,EQ,447.05,450.0,450.5,428.7,432.75,434.15,442.71,10386,459802545000.0,,8015,0.7717
2010-11-22,SIMPLEXINF,EQ,434.15,428.2,441.9,417.2,417.2,424.9,428.71,6785,290882610000.0,,4598,0.6777
2010-11-23,SIMPLEXINF,EQ,424.9,416.8,431.0,416.8,421.7,422.0,420.14,22211,933165290000.0,,22036,0.9921
2010-11-24,SIMPLEXINF,EQ,422.0,425.0,430.0,420.25,421.05,421.05,422.05,2330,98336495000.0,,1841,0.7901
2010-11-25,SIMPLEXINF,EQ,421.05,417.0,486.95,396.5,470.0,452.3,441.48,12421,548365290000.00006,,9077,0.7308
2010-11-26,SIMPLEXINF,EQ,452.3,456.0,466.0,405.25,410.0,409.7,438.26,13395,587045750000.0,,5695,0.4252
2010-11-29,SIMPLEXINF,EQ,409.7,401.15,412.0,397.0,398.15,399.3,402.17,3493,140478685000.0,,2398,0.6865000000000001
2010-11-30,SIMPLEXINF,EQ,399.3,391.25,399.95,386.0,389.0,390.55,394.82,7293,287945425000.0,,5727,0.7853
