Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-10-04,SIYSIL,EQ,346.45,354.0,354.4,338.15,339.0,339.8,344.38,3451,118847105000.0,,2585,0.7491
2010-10-05,SIYSIL,EQ,339.8,341.0,350.0,327.1,345.3,346.95,346.65,3818,132349810000.00002,,2258,0.5914
2010-10-06,SIYSIL,EQ,346.95,350.0,366.75,349.0,351.0,352.7,358.99,34379,1234176970000.0,,16412,0.47740000000000005
2010-10-07,SIYSIL,EQ,352.7,352.55,365.75,343.05,344.3,346.8,359.64,35100,1262324465000.0,,15127,0.43100000000000005
2010-10-08,SIYSIL,EQ,346.8,346.25,353.0,336.05,339.5,339.5,342.87,9319,319520785000.0,,4784,0.5134000000000001
2010-10-11,SIYSIL,EQ,339.5,340.6,346.4,336.4,339.95,340.6,342.04,2796,95633665000.0,,1682,0.6016
2010-10-12,SIYSIL,EQ,340.6,341.0,345.95,334.0,336.5,336.4,338.71,2011,68115305000.00001,,1028,0.5112
2010-10-13,SIYSIL,EQ,336.4,341.0,352.0,340.0,350.0,351.05,347.42,14012,486805625000.0,,8326,0.5942000000000001
2010-10-14,SIYSIL,EQ,351.05,350.0,361.95,350.0,355.9,354.1,354.29,6823,241734360000.0,,3941,0.5776
2010-10-15,SIYSIL,EQ,354.1,322.4,358.0,322.4,349.7,345.6,350.1,5213,182507210000.0,,3088,0.5924
2010-10-18,SIYSIL,EQ,345.6,342.0,349.85,337.0,343.0,340.6,340.76,1783,60757000000.0,,1183,0.6635
2010-10-19,SIYSIL,EQ,340.6,351.9,351.9,338.0,338.0,338.05,340.1,1400,47613560000.0,,964,0.6886
2010-10-20,SIYSIL,EQ,338.05,340.0,340.0,334.0,335.4,334.6,336.18,1561,52477715000.0,,1058,0.6778000000000001
2010-10-21,SIYSIL,EQ,334.6,335.4,352.75,325.5,350.0,350.2,346.08,4896,169440995000.0,,3063,0.6256
2010-10-22,SIYSIL,EQ,350.2,351.0,351.0,340.0,341.9,342.2,348.51,6533,227680400000.0,,5377,0.8231
2010-10-25,SIYSIL,EQ,342.2,344.0,350.0,342.2,349.0,347.95,349.85,27112,948506930000.0001,,22553,0.8318000000000001
2010-10-26,SIYSIL,EQ,347.95,344.0,351.7,341.0,341.0,343.25,346.75,3839,133115639999.99998,,2655,0.6916
2010-10-27,SIYSIL,EQ,343.25,349.75,391.0,346.0,380.0,376.85,378.45,187788,7106797405000.0,,68258,0.36350000000000005
2010-10-28,SIYSIL,EQ,376.85,379.95,388.4,367.0,378.0,379.3,381.3,36592,1395242655000.0,,16112,0.4403
2010-10-29,SIYSIL,EQ,379.3,381.45,381.95,364.0,365.0,366.95,370.7,20771,769987030000.0,,13890,0.6687000000000001
2010-11-01,SIYSIL,EQ,366.95,373.7,419.0,373.0,402.15,401.15,401.11,208864,8377660315000.001,,80606,0.3859
2010-11-02,SIYSIL,EQ,401.15,404.95,416.8,392.5,410.0,409.55,407.6,82988,3382599800000.0,,23285,0.2806
2010-11-03,SIYSIL,EQ,409.55,410.9,424.7,407.75,408.65,410.75,417.95,53483,2235303325000.0,,29043,0.543
2010-11-04,SIYSIL,EQ,410.75,418.05,418.05,408.65,410.0,410.55,413.42,13199,545671300000.0,,8468,0.6416
2010-11-05,SIYSIL,EQ,410.55,418.0,424.0,412.0,419.5,420.35,419.67,7990,335312475000.0,,5569,0.6970000000000001
2010-11-08,SIYSIL,EQ,420.35,400.0,420.0,400.0,413.35,414.75,416.78,2354,98109155000.0,,1714,0.7281000000000001
2010-11-09,SIYSIL,EQ,414.75,408.0,419.6,397.05,404.4,403.65,405.28,8630,349753480000.0,,5577,0.6462000000000001
2010-11-10,SIYSIL,EQ,403.65,409.0,409.0,392.2,399.0,400.1,400.83,5942,238171815000.0,,3968,0.6678000000000001
2010-11-11,SIYSIL,EQ,400.1,400.0,464.4,400.0,431.5,427.55,438.25,103980,4556951390000.0,,30659,0.2949
2010-11-12,SIYSIL,EQ,427.55,433.9,436.0,410.0,411.95,412.15,427.02,10344,441706325000.0,,4933,0.4769
2010-11-15,SIYSIL,EQ,412.15,419.0,419.9,401.8,411.0,410.5,411.62,5472,225239520000.00003,,3334,0.6093000000000001
2010-11-16,SIYSIL,EQ,410.5,407.0,415.0,391.0,398.95,394.15,398.09,10592,421657134999.99994,,7609,0.7184
2010-11-18,SIYSIL,EQ,394.15,408.9,408.9,383.15,394.1,396.4,389.25,11383,443079005000.0,,8134,0.7145999999999999
2010-11-19,SIYSIL,EQ,396.4,397.5,424.8,390.65,393.5,396.9,411.92,26382,1086722105000.0001,,9326,0.35350000000000004
2010-11-22,SIYSIL,EQ,396.9,400.0,414.7,397.6,400.0,400.65,400.7,10405,416926200000.0,,8791,0.8449
2010-11-23,SIYSIL,EQ,400.65,390.15,405.0,386.05,396.9,394.5,396.75,6257,248245935000.0,,4452,0.7115
2010-11-24,SIYSIL,EQ,394.5,335.0,418.0,335.0,396.15,397.75,405.88,7531,305667610000.0,,2867,0.38070000000000004
2010-11-25,SIYSIL,EQ,397.75,405.0,409.7,370.5,380.0,381.95,397.23,22239,883392990000.0,,15890,0.7145
2010-11-26,SIYSIL,EQ,381.95,389.65,389.65,351.0,363.0,361.1,363.51,14046,510588315000.00006,,9801,0.6978
2010-11-29,SIYSIL,EQ,361.1,351.15,378.0,341.55,358.5,359.8,355.87,16009,569713045000.0,,7139,0.4459
2010-11-30,SIYSIL,EQ,359.8,354.95,362.85,349.3,357.0,357.05,356.23,7642,272229725000.0,,4343,0.5683
2010-12-01,SIYSIL,EQ,357.05,365.0,372.9,361.0,369.95,370.9,368.7,5260,193938525000.0,,3641,0.6922
2010-12-02,SIYSIL,EQ,370.9,374.0,388.9,374.0,382.8,385.15,383.07,10139,388398395000.0,,8680,0.8561
2010-12-03,SIYSIL,EQ,385.15,382.0,389.0,372.0,372.0,373.1,377.54,2384,90004990000.0,,1122,0.4706
2010-12-06,SIYSIL,EQ,373.1,389.9,389.9,370.15,374.95,374.2,377.8,1699,64188175000.0,,961,0.5656
2010-12-07,SIYSIL,EQ,374.2,368.0,373.25,366.1,372.0,372.0,367.42,401,14733715000.0,,332,0.8279000000000001
