Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-10-04,SJVN,EQ,24.25,24.2,24.7,24.2,24.4,24.55,24.43,930114,2272258865000.0,,683836,0.7352
2010-10-05,SJVN,EQ,24.55,24.7,25.25,24.7,25.15,25.15,25.06,3405626,8533399980000.0,,1782435,0.5234000000000001
2010-10-06,SJVN,EQ,25.15,25.4,25.8,24.75,25.25,25.2,25.42,6923994,17597720555000.0,,2166161,0.3128
2010-10-07,SJVN,EQ,25.2,25.25,25.6,24.8,25.0,24.95,25.11,1526173,3831983765000.0,,755278,0.4949
2010-10-08,SJVN,EQ,24.95,25.0,25.3,24.6,24.8,24.75,24.82,1011719,2511318045000.0,,570839,0.5642
2010-10-11,SJVN,EQ,24.75,24.65,25.1,24.5,24.9,24.85,24.86,531913,1322299025000.0,,341032,0.6411
2010-10-12,SJVN,EQ,24.85,25.0,25.0,24.65,24.9,24.85,24.77,451744,1118911020000.0,,264105,0.5846
2010-10-13,SJVN,EQ,24.85,24.8,25.0,24.75,24.85,24.85,24.91,1010443,2516827830000.0,,691046,0.6839000000000001
2010-10-14,SJVN,EQ,24.85,24.95,25.0,24.6,24.75,24.75,24.7,1721754,4253394345000.0005,,1392250,0.8086
2010-10-15,SJVN,EQ,24.75,24.95,24.95,24.2,24.2,24.3,24.47,710169,1737996380000.0,,394515,0.5555
2010-10-18,SJVN,EQ,24.3,24.3,24.45,24.0,24.1,24.05,24.09,692504,1668527720000.0,,596420,0.8613
2010-10-19,SJVN,EQ,24.05,24.2,24.25,24.0,24.1,24.15,24.17,1117730,2701192655000.0,,905454,0.8101
2010-10-20,SJVN,EQ,24.15,24.0,24.3,23.9,23.95,23.95,24.12,1615836,3897751750000.0,,1234129,0.7637999999999999
2010-10-21,SJVN,EQ,23.95,24.2,24.45,24.05,24.45,24.35,24.28,910330,2210469090000.0,,725121,0.7965000000000001
2010-10-22,SJVN,EQ,24.35,24.45,24.55,24.3,24.45,24.45,24.49,798996,1956716050000.0,,616668,0.7718
2010-10-25,SJVN,EQ,24.45,24.7,24.75,24.2,24.2,24.45,24.55,1026760,2520924525000.0,,801034,0.7802
2010-10-26,SJVN,EQ,24.45,24.45,24.55,24.2,24.3,24.25,24.36,525493,1279898045000.0,,380590,0.7243
2010-10-27,SJVN,EQ,24.25,24.05,24.6,24.0,24.2,24.15,24.28,763414,1853689550000.0,,337524,0.4421
2010-10-28,SJVN,EQ,24.15,24.25,24.4,24.2,24.4,24.3,24.32,297893,724450640000.0,,176877,0.5938
2010-10-29,SJVN,EQ,24.3,24.4,24.55,24.0,24.0,24.05,24.33,1290928,3140318185000.0,,723204,0.5602
2010-11-01,SJVN,EQ,24.05,24.1,24.4,24.1,24.35,24.3,24.29,670677,1629075475000.0,,521159,0.7770999999999999
2010-11-02,SJVN,EQ,24.3,24.2,24.8,24.2,24.8,24.65,24.59,876593,2155408539999.9998,,684863,0.7813
2010-11-03,SJVN,EQ,24.65,24.8,24.8,24.35,24.55,24.55,24.54,908145,2228407185000.0,,798244,0.8790000000000001
2010-11-04,SJVN,EQ,24.55,24.45,24.75,24.45,24.7,24.7,24.66,825287,2035399570000.0,,492598,0.5969
2010-11-05,SJVN,EQ,24.7,24.9,24.9,24.55,24.7,24.75,24.77,236709,586358815000.0,,186344,0.7872
2010-11-08,SJVN,EQ,24.75,24.7,24.9,24.55,24.8,24.85,24.74,1285230,3180248225000.0,,1148832,0.8939
2010-11-09,SJVN,EQ,24.85,24.7,24.9,24.55,24.8,24.85,24.81,593093,1471276240000.0,,413220,0.6967
2010-11-10,SJVN,EQ,24.85,24.8,25.8,24.75,25.45,25.4,25.55,3922362,10022916295000.0,,2684797,0.6845
2010-11-11,SJVN,EQ,25.4,25.45,25.8,25.0,25.25,25.2,25.34,1554770,3939668404999.9995,,1214054,0.7809
2010-11-12,SJVN,EQ,25.2,25.0,25.25,24.45,24.5,24.65,24.77,1534258,3799680760000.0,,1196095,0.7796
2010-11-15,SJVN,EQ,24.65,24.5,24.7,24.35,24.4,24.5,24.54,1516588,3721296715000.0,,1314453,0.8667
2010-11-16,SJVN,EQ,24.5,24.7,24.8,23.95,24.0,24.05,24.16,514379,1242685070000.0,,322534,0.627
2010-11-18,SJVN,EQ,24.05,24.2,24.25,23.65,23.95,23.75,23.82,1203961,2867534060000.0,,846036,0.7027
2010-11-19,SJVN,EQ,23.75,24.1,24.1,23.55,23.55,23.75,23.77,857800,2039391100000.0,,641902,0.7483
2010-11-22,SJVN,EQ,23.75,23.9,23.95,23.6,23.9,23.9,23.82,394454,939622600000.0,,286122,0.7254
2010-11-23,SJVN,EQ,23.9,25.0,25.3,23.8,23.8,23.9,24.22,2183159,5288496180000.0,,1037683,0.4753
2010-11-24,SJVN,EQ,23.9,24.15,24.3,23.6,23.6,23.65,23.88,432305,1032473569999.9999,,299503,0.6928
2010-11-25,SJVN,EQ,23.65,23.75,23.9,23.4,23.45,23.45,23.6,391795,924647360000.0,,280706,0.7165
2010-11-26,SJVN,EQ,23.45,23.55,23.6,22.25,22.65,22.65,22.7,1072575,2435033470000.0,,758798,0.7075
2010-11-29,SJVN,EQ,22.65,22.8,22.9,22.45,22.7,22.7,22.63,470464,1064502330000.0001,,283993,0.6036
