Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-10-04,SKFINDIA,EQ,596.7,603.0,610.0,591.0,596.9,596.15,601.23,15533,933886140000.0,,8586,0.5528000000000001
2010-10-05,SKFINDIA,EQ,596.15,594.0,601.8,590.15,592.8,591.6,593.9,8677,515328925000.0,,4714,0.5433
2010-10-06,SKFINDIA,EQ,591.6,593.15,603.15,592.6,594.1,594.55,597.19,11761,702350175000.0,,8555,0.7273999999999999
2010-10-07,SKFINDIA,EQ,594.55,592.0,605.1,590.1,594.0,592.8,599.16,11705,701322545000.0,,7437,0.6354
2010-10-08,SKFINDIA,EQ,592.8,594.0,595.0,580.0,590.0,588.25,586.33,17647,1034702310000.0,,12288,0.6962999999999999
2010-10-11,SKFINDIA,EQ,588.25,591.0,599.0,585.15,588.1,589.5,590.07,20272,1196189105000.0,,16690,0.8233
2010-10-12,SKFINDIA,EQ,589.5,585.55,592.5,581.3,583.9,583.25,585.95,11360,665637560000.0,,9275,0.8165000000000001
2010-10-13,SKFINDIA,EQ,583.25,589.9,590.0,574.05,577.55,580.2,581.12,46030,2674905295000.0,,39869,0.8662000000000001
2010-10-14,SKFINDIA,EQ,580.2,578.0,584.8,575.1,576.0,576.15,579.53,10120,586483225000.0,,6817,0.6736
2010-10-15,SKFINDIA,EQ,576.15,577.1,583.8,565.15,566.0,566.9,573.74,12408,711898370000.0,,8371,0.6746
2010-10-18,SKFINDIA,EQ,566.9,567.3,569.85,564.0,564.0,566.15,567.01,13115,743629190000.0,,7146,0.5449
2010-10-19,SKFINDIA,EQ,566.15,569.95,578.9,564.0,574.0,573.3,573.11,15956,914452925000.0,,12521,0.7847
2010-10-20,SKFINDIA,EQ,573.3,577.0,587.0,577.0,583.15,583.65,583.92,20763,1212396705000.0,,11520,0.5548
2010-10-21,SKFINDIA,EQ,583.65,589.8,589.8,580.0,580.05,581.7,583.21,11984,698921800000.0,,7602,0.6343
2010-10-22,SKFINDIA,EQ,581.7,589.45,589.45,558.0,563.3,564.15,570.4,42802,2441441055000.0,,26418,0.6172
2010-10-25,SKFINDIA,EQ,564.15,568.0,570.0,547.1,552.0,549.6,551.07,27875,1536111290000.0,,18392,0.6598
2010-10-26,SKFINDIA,EQ,549.6,558.9,577.0,550.0,570.0,571.65,567.68,43538,2471544075000.0,,21018,0.4828
2010-10-27,SKFINDIA,EQ,571.65,575.0,575.95,560.0,568.0,567.8,568.71,13084,744102000000.0,,7173,0.5482
2010-10-28,SKFINDIA,EQ,567.8,573.0,574.0,563.0,568.45,565.55,568.06,7025,399060255000.0,,2919,0.4155
2010-10-29,SKFINDIA,EQ,565.55,567.0,591.0,560.0,587.0,584.25,579.52,20133,1166748510000.0,,14456,0.718
2010-11-01,SKFINDIA,EQ,584.25,590.0,603.0,570.0,573.6,576.4,584.35,14178,828495280000.0,,6323,0.446
2010-11-02,SKFINDIA,EQ,576.4,577.0,586.0,571.1,577.9,577.05,580.25,12426,721014020000.0,,7201,0.5795
2010-11-03,SKFINDIA,EQ,577.05,577.7,590.5,564.25,590.0,589.25,582.26,39616,2306698015000.0,,28590,0.7217
2010-11-04,SKFINDIA,EQ,589.25,594.8,594.8,580.0,586.0,584.2,585.34,4794,280610075000.0,,3463,0.7223999999999999
2010-11-05,SKFINDIA,EQ,584.2,582.0,595.0,571.0,586.0,583.65,584.36,2101,122774620000.0,,1432,0.6816
2010-11-08,SKFINDIA,EQ,583.65,580.2,586.0,578.75,584.95,583.0,581.73,7488,435602059999.99994,,4566,0.6098
2010-11-09,SKFINDIA,EQ,583.0,581.1,588.0,575.0,584.0,581.9,583.33,11255,656540985000.0,,7318,0.6502
2010-11-10,SKFINDIA,EQ,581.9,587.0,587.0,579.0,579.3,581.2,582.51,4001,233062245000.00003,,2510,0.6273
2010-11-11,SKFINDIA,EQ,581.2,585.0,585.0,570.6,576.0,573.3,579.54,7078,410195355000.0,,4630,0.6541
2010-11-12,SKFINDIA,EQ,573.3,572.0,584.8,562.5,570.65,576.35,573.09,13997,802150150000.0,,9254,0.6611
2010-11-15,SKFINDIA,EQ,576.35,579.2,585.0,561.4,570.0,573.1,568.12,8611,489211795000.0,,4398,0.5107
2010-11-16,SKFINDIA,EQ,573.1,570.0,574.0,545.1,569.0,563.2,560.33,14644,820549085000.0,,7607,0.5195000000000001
2010-11-18,SKFINDIA,EQ,563.2,569.0,569.0,545.0,545.0,547.7,549.73,9795,538458120000.0,,5386,0.5499
2010-11-19,SKFINDIA,EQ,547.7,551.8,554.95,540.1,542.5,546.45,547.52,13206,723059555000.0,,10828,0.8199
2010-11-22,SKFINDIA,EQ,546.45,542.5,557.9,531.25,535.5,536.5,541.93,11450,620505515000.0,,5637,0.49229999999999996
2010-11-23,SKFINDIA,EQ,536.5,531.0,548.8,529.0,547.95,542.5,533.75,9328,497886270000.0,,5771,0.6187
2010-11-24,SKFINDIA,EQ,542.5,545.0,555.5,535.05,547.95,541.7,545.67,5903,322111435000.0,,3035,0.5141
2010-11-25,SKFINDIA,EQ,541.7,540.0,561.8,531.95,538.05,541.85,550.06,20027,1101595835000.0,,8593,0.4291
2010-11-26,SKFINDIA,EQ,541.85,539.4,550.95,521.0,536.0,533.15,532.61,6753,359668415000.0,,4001,0.5925
2010-11-29,SKFINDIA,EQ,533.15,538.0,539.0,518.05,521.0,520.55,523.86,13295,696465430000.0,,7589,0.5708
2010-11-30,SKFINDIA,EQ,520.55,525.0,530.0,517.0,530.0,526.55,523.14,7772,406585150000.0,,5160,0.6639
2010-12-01,SKFINDIA,EQ,526.55,534.95,549.0,530.5,549.0,547.1,541.54,93937,5087060095000.0,,89849,0.9565000000000001
2010-12-02,SKFINDIA,EQ,547.1,548.1,565.0,548.1,564.0,562.15,559.9,15943,892652735000.0,,10790,0.6768000000000001
2010-12-03,SKFINDIA,EQ,562.15,562.0,565.0,550.5,553.15,560.75,563.17,17724,998155280000.0001,,12321,0.6951999999999999
2010-12-06,SKFINDIA,EQ,560.75,559.8,564.85,545.0,549.95,548.65,554.49,5058,280459105000.0,,2820,0.5575
2010-12-07,SKFINDIA,EQ,548.65,545.0,560.0,540.35,551.9,550.9,549.84,4333,238245595000.00003,,3534,0.8156
2010-12-08,SKFINDIA,EQ,550.9,542.65,562.0,542.65,546.3,548.25,550.62,4920,270906700000.0,,2402,0.4882
2010-12-09,SKFINDIA,EQ,548.25,549.0,553.9,516.3,525.0,526.0,539.44,11539,622456060000.0,,7205,0.6244
