Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-12-03,HORIZONINF,EQ,226.35,237.7,237.7,218.6,231.0,232.5,233.71,9456,221000404999.99997,,8733,0.9235
2010-12-06,HORIZONINF,EQ,232.5,236.95,244.15,226.0,230.0,230.65,241.64,8000,193314850000.0,,6871,0.8589
2010-12-07,HORIZONINF,EQ,230.65,230.0,242.2,219.15,219.15,219.15,231.26,9590,221776604999.99997,,9165,0.9557
2010-12-08,HORIZONINF,EQ,219.15,212.0,221.95,208.2,208.2,208.2,211.4,1258,26594325000.0,,1200,0.9539
2010-12-09,HORIZONINF,EQ,208.2,202.6,207.0,197.8,197.8,197.8,201.2,4544,91425070000.0,,4320,0.9507
2010-12-10,HORIZONINF,EQ,197.8,187.95,204.45,187.95,203.5,203.35,196.73,4944,97262310000.0,,4105,0.8303
2010-12-13,HORIZONINF,EQ,203.35,197.35,207.0,197.0,201.0,200.95,200.33,1376,27565975000.0,,1096,0.7965000000000001
2010-12-14,HORIZONINF,EQ,200.95,200.0,204.0,198.05,199.1,200.55,200.54,1191,23883900000.0,,1000,0.8395999999999999
2010-12-15,HORIZONINF,EQ,200.55,200.0,200.0,194.5,195.3,195.3,197.82,831,16439095000.000002,,398,0.4789
2010-12-16,HORIZONINF,EQ,195.3,187.3,197.9,187.3,197.9,195.3,195.73,803,15717160000.0,,663,0.8257
2010-12-20,HORIZONINF,EQ,195.3,197.9,205.1,197.9,205.1,205.1,204.21,298,6085430000.0,,293,0.9832
2010-12-21,HORIZONINF,EQ,205.1,209.0,210.0,205.0,210.0,210.0,209.37,94,1968100000.0,,93,0.9894
2010-12-22,HORIZONINF,EQ,210.0,205.1,212.85,205.0,208.0,208.0,207.9,292,6070800000.0,,272,0.9315000000000001
2010-12-23,HORIZONINF,EQ,208.0,208.0,218.4,208.0,217.85,216.25,217.13,17499,379950520000.0,,14967,0.8553000000000001
2010-12-24,HORIZONINF,EQ,216.25,220.0,227.1,213.5,225.55,225.95,221.92,16974,376691985000.0,,11561,0.6811
2010-12-27,HORIZONINF,EQ,225.95,224.7,237.25,221.15,237.25,237.25,236.03,6372,150395885000.0,,4900,0.7690000000000001
2010-12-28,HORIZONINF,EQ,237.25,232.25,249.15,232.25,248.95,247.0,246.5,15897,391861065000.0,,12726,0.8005
2010-12-29,HORIZONINF,EQ,247.0,257.95,259.35,257.95,259.35,259.35,259.25,3025,78422150000.0,,3025,1.0
2010-12-30,HORIZONINF,EQ,259.35,272.3,272.35,262.2,272.35,272.35,271.84,11469,311770385000.0,,11109,0.9686
2010-12-31,HORIZONINF,EQ,272.35,259.0,286.0,259.0,286.0,286.0,283.96,14878,422480155000.0,,11960,0.8039000000000001
2011-01-03,HORIZONINF,EQ,286.0,300.3,300.3,271.8,280.0,277.8,285.49,12762,364341840000.0,,6780,0.5313
2011-01-04,HORIZONINF,EQ,277.8,279.95,291.7,268.0,290.55,289.45,285.61,13613,388797245000.0,,9544,0.7011000000000001
2011-01-05,HORIZONINF,EQ,289.45,299.0,299.9,275.0,275.0,275.0,286.59,3434,98415880000.0,,1869,0.5443
2011-01-06,HORIZONINF,EQ,275.0,270.0,270.0,261.25,261.25,262.4,264.77,1374,36378940000.0,,1268,0.9229
2011-03-07,HORIZONINF,EQ,209.95,201.1,204.15,199.5,199.5,199.85,202.28,2080,42073350000.0,,2015,0.9688
2011-03-08,HORIZONINF,EQ,199.85,200.0,204.8,196.0,203.6,203.6,201.98,1514,30579920000.0,,732,0.48350000000000004
2011-03-09,HORIZONINF,EQ,203.6,207.35,207.4,199.0,202.0,204.3,204.5,850,17382380000.0,,850,1.0
2011-03-10,HORIZONINF,EQ,204.3,204.0,211.9,200.75,210.0,210.0,201.91,14933,301512995000.0,,14497,0.9708
2011-03-11,HORIZONINF,EQ,210.0,210.0,211.0,200.05,203.0,203.85,206.19,3476,71672505000.0,,2404,0.6916
2011-03-14,HORIZONINF,EQ,203.85,211.0,214.9,201.75,212.95,212.2,210.48,4964,104483305000.0,,4279,0.8620000000000001
2011-03-15,HORIZONINF,EQ,212.2,214.5,214.55,193.0,198.95,197.0,199.83,1143,22840070000.0,,536,0.46890000000000004
2011-03-16,HORIZONINF,EQ,197.0,195.6,209.1,195.6,200.0,196.05,205.1,1225,25125330000.0,,1193,0.9739
2011-03-17,HORIZONINF,EQ,196.05,193.5,201.7,192.6,197.0,196.1,195.57,542,10600020000.0,,458,0.845
2011-03-18,HORIZONINF,EQ,196.1,186.25,197.55,186.2,192.6,192.6,192.1,974,18710800000.0,,853,0.8758
2011-03-21,HORIZONINF,EQ,192.6,194.8,195.0,190.75,194.9,192.5,194.15,845,16405595000.000002,,800,0.9467
2011-03-22,HORIZONINF,EQ,192.5,202.3,202.3,192.3,199.0,199.0,196.27,1478,29009350000.0,,1477,0.9993000000000001
2011-03-23,HORIZONINF,EQ,199.0,209.0,209.0,198.65,199.0,199.3,200.39,496,9939515000.0,,443,0.8931
2011-03-24,HORIZONINF,EQ,199.3,207.0,207.0,196.5,197.0,200.5,203.35,14098,286683060000.0,,12080,0.8569
2011-03-25,HORIZONINF,EQ,200.5,192.1,197.9,190.0,195.0,195.0,192.1,1444,27738559999.999996,,1276,0.8837
2011-03-28,HORIZONINF,EQ,195.0,195.3,198.85,190.0,195.05,195.05,194.01,1250,24251725000.0,,777,0.6215999999999999
2011-03-29,HORIZONINF,EQ,195.05,190.3,197.65,186.0,187.0,187.3,193.13,1145,22113950000.0,,928,0.8105
2011-03-30,HORIZONINF,EQ,187.3,185.05,194.6,185.05,188.0,189.85,189.83,1190,22589515000.0,,905,0.7605
2011-03-31,HORIZONINF,EQ,189.85,191.8,192.0,187.0,187.0,190.4,190.68,685,13061295000.0,,570,0.8321
2011-04-01,HORIZONINF,EQ,190.4,197.9,197.9,188.0,193.8,193.8,192.84,1884,36331825000.0,,1776,0.9427
2011-04-04,HORIZONINF,EQ,193.8,190.45,203.0,190.0,200.0,200.6,199.02,3611,71866405000.0,,3127,0.866
2011-04-05,HORIZONINF,EQ,200.6,198.0,216.8,193.0,215.95,206.3,205.52,12196,250648010000.0,,12173,0.9981000000000001
2011-04-06,HORIZONINF,EQ,206.3,220.0,220.0,205.15,205.15,205.15,209.53,420,8800150000.0,,345,0.8214
2011-04-07,HORIZONINF,EQ,205.15,207.0,207.0,201.0,207.0,203.4,205.33,312,6406215000.0,,310,0.9936
2011-04-08,HORIZONINF,EQ,203.4,194.25,206.8,194.25,194.3,194.9,197.94,736,14568579999.999998,,659,0.8954000000000001
2011-04-11,HORIZONINF,EQ,194.9,199.1,214.4,190.1,214.4,214.4,211.37,2689,56837475000.0,,2467,0.9174
2011-04-13,HORIZONINF,EQ,214.4,221.0,235.85,221.0,234.0,231.35,232.21,9050,210151340000.0,,6299,0.696
2011-04-15,HORIZONINF,EQ,231.35,220.1,230.0,211.0,228.95,224.2,219.02,2952,64655165000.0,,2437,0.8255
2011-04-18,HORIZONINF,EQ,224.2,219.0,246.65,219.0,234.05,236.9,240.39,16045,385706125000.0,,13602,0.8477
2011-04-19,HORIZONINF,EQ,236.9,247.0,250.0,239.5,240.05,245.0,245.13,2057,50423515000.0,,1709,0.8308
2011-04-20,HORIZONINF,EQ,245.0,242.0,245.0,232.8,232.8,233.8,234.8,692,16248029999.999998,,506,0.7312000000000001
2011-04-21,HORIZONINF,EQ,233.8,232.75,241.95,232.75,239.0,238.95,238.76,963,22992125000.0,,903,0.9377
2011-04-25,HORIZONINF,EQ,238.95,230.0,240.0,227.0,240.0,236.35,232.52,981,22809950000.0,,436,0.44439999999999996
2011-04-26,HORIZONINF,EQ,236.35,229.0,235.0,224.55,235.0,234.3,229.84,2116,48634730000.0,,1377,0.6508
2011-04-27,HORIZONINF,EQ,234.3,229.65,229.65,223.0,223.0,223.2,224.38,552,12385750000.0,,538,0.9745999999999999
2011-04-28,HORIZONINF,EQ,223.2,219.1,225.0,214.0,215.2,215.2,219.32,625,13707435000.0,,600,0.96
2011-09-06,HORIZONINF,EQ,259.05,260.0,269.9,260.0,269.45,269.45,269.33,281,7568189999.999999,5,281,1.0
2011-09-07,HORIZONINF,EQ,269.45,269.95,278.8,260.35,278.8,272.1,271.35,5633,152849040000.0,83,3883,0.6893000000000001
2011-09-08,HORIZONINF,EQ,272.1,281.0,281.0,266.0,277.0,273.55,272.19,3354,91291250000.0,46,3029,0.9031
2011-09-09,HORIZONINF,EQ,273.55,282.5,300.95,275.0,298.0,296.05,293.93,17084,502156830000.0,195,15494,0.9069
2011-09-12,HORIZONINF,EQ,296.05,304.8,304.8,295.0,295.0,295.0,299.76,522,15647429999.999998,25,522,1.0
2011-09-13,HORIZONINF,EQ,295.0,313.95,313.95,282.15,302.0,302.65,299.18,6552,196024825000.0,70,6365,0.9715
2011-09-14,HORIZONINF,EQ,302.65,290.0,318.0,290.0,317.0,312.65,307.54,8879,273069170000.00003,136,8010,0.9020999999999999
2011-09-15,HORIZONINF,EQ,312.65,315.0,317.25,308.0,310.05,314.8,314.67,1450,45627390000.0,32,1299,0.8959
2011-09-16,HORIZONINF,EQ,314.8,315.0,338.0,312.5,329.9,323.9,323.83,8242,266898250000.0,174,6751,0.8190999999999999
2011-09-19,HORIZONINF,EQ,323.9,317.05,326.0,316.0,323.0,323.05,321.18,2374,76248080000.0,57,2107,0.8875000000000001
2011-09-20,HORIZONINF,EQ,323.05,315.0,333.0,315.0,333.0,330.4,324.01,3390,109839464999.99998,83,3065,0.9041
2011-09-21,HORIZONINF,EQ,330.4,338.4,338.4,320.3,324.0,325.8,327.96,2849,93437190000.0,55,2793,0.9803000000000001
2011-09-22,HORIZONINF,EQ,325.8,328.0,328.0,302.0,302.0,302.15,316.74,1141,36140565000.0,19,1130,0.9904000000000001
2011-09-23,HORIZONINF,EQ,302.15,309.9,315.0,304.25,305.0,304.9,308.91,3226,99654355000.0,43,2753,0.8534
2011-09-26,HORIZONINF,EQ,304.9,310.9,310.9,278.1,279.0,279.0,287.78,342,9841945000.0,26,329,0.9620000000000001
2011-09-27,HORIZONINF,EQ,279.0,299.9,299.9,285.2,295.7,295.7,293.97,861,25310435000.0,12,800,0.9292
2011-09-28,HORIZONINF,EQ,295.7,294.75,307.0,290.0,290.1,290.25,300.55,1782,53557750000.0,33,1722,0.9662999999999999
2011-09-29,HORIZONINF,EQ,290.25,280.1,296.0,280.0,280.45,280.45,289.0,1335,38581825000.0,6,1310,0.9813
2011-09-30,HORIZONINF,EQ,280.45,299.4,300.0,284.0,286.3,289.0,295.61,1328,39256560000.0,76,1185,0.8923000000000001
2011-10-03,HORIZONINF,EQ,289.0,280.0,284.7,275.1,280.0,283.35,283.09,355,10049520000.0,19,301,0.8479000000000001
2011-10-04,HORIZONINF,EQ,283.35,291.95,295.0,273.0,283.0,283.0,285.94,690,19729535000.0,47,517,0.7493000000000001
