Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2015-05-27,SKIPPER,EQ,173.0,175.0,178.0,170.15,172.0,172.15,175.15,3498,61266485000.0,93,1916,0.5477000000000001
2015-05-28,SKIPPER,EQ,172.15,171.9,175.0,169.9,173.05,174.15,172.4,6636,114402000000.0,116,4952,0.7462000000000001
2015-05-29,SKIPPER,EQ,174.15,173.5,174.5,167.05,168.15,168.5,170.34,2723,46384155000.0,93,2096,0.7697
2015-06-01,SKIPPER,EQ,168.5,168.0,173.0,165.0,171.0,170.65,170.33,8266,140791590000.0,128,5498,0.6651
2015-06-02,SKIPPER,EQ,170.65,174.2,174.2,167.5,168.5,169.85,170.99,5561,95090160000.0,119,3301,0.5936
2015-06-03,SKIPPER,EQ,169.85,174.0,174.0,164.1,164.25,166.15,166.54,2448,40769705000.0,58,1667,0.6809999999999999
2015-06-04,SKIPPER,EQ,166.15,166.0,172.9,165.0,166.65,168.9,168.61,4625,77983580000.0,55,3636,0.7862
2015-06-05,SKIPPER,EQ,168.9,171.9,172.0,170.5,171.7,171.5,171.65,1294,22212020000.0,40,929,0.7179000000000001
2015-06-08,SKIPPER,EQ,171.5,167.0,169.95,165.0,165.0,165.45,167.9,1875,31481709999.999996,40,1480,0.7893000000000001
2015-06-09,SKIPPER,EQ,165.45,176.0,176.0,160.0,165.0,165.0,167.96,2036,34195765000.000004,49,1589,0.7805
2015-06-10,SKIPPER,EQ,165.0,167.0,169.8,150.0,158.0,159.5,159.88,20263,323954900000.0,478,8908,0.4396
2015-06-11,SKIPPER,EQ,159.5,163.0,164.8,153.1,159.9,156.8,161.09,6234,100423790000.0,135,4565,0.7323000000000001
2015-06-12,SKIPPER,EQ,156.8,153.5,161.9,150.1,152.5,154.2,155.09,2270,35206060000.0,27,1755,0.7731
2015-06-15,SKIPPER,EQ,154.2,158.0,159.95,155.05,158.0,158.7,158.15,934,14770975000.0,34,717,0.7676999999999999
