Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-10-04,SKMEGGPROD,EQ,15.65,15.6,16.0,15.2,15.5,15.75,15.57,59104,92007415000.0,,41153,0.6962999999999999
2010-10-05,SKMEGGPROD,EQ,15.75,15.55,16.05,15.55,15.7,15.8,15.86,47213,74860680000.0,,30714,0.6505
2010-10-06,SKMEGGPROD,EQ,15.8,15.9,16.45,15.55,15.95,15.9,16.04,46516,74607020000.0,,24332,0.5231
2010-10-07,SKMEGGPROD,EQ,15.9,15.9,16.3,15.85,16.0,15.9,16.05,22849,36667385000.0,,17043,0.7459
2010-10-08,SKMEGGPROD,EQ,15.9,15.7,15.9,15.5,15.55,15.55,15.64,26896,42075255000.0,,18467,0.6866
2010-10-11,SKMEGGPROD,EQ,15.55,15.55,16.8,15.55,15.95,15.8,15.85,19105,30286830000.0,,14676,0.7682
2010-10-12,SKMEGGPROD,EQ,15.8,15.9,15.95,15.55,15.6,15.7,15.73,12537,19718740000.0,,8614,0.6870999999999999
2010-10-13,SKMEGGPROD,EQ,15.7,15.55,16.0,15.55,15.7,15.8,15.78,22093,34854250000.0,,19197,0.8689
2010-10-14,SKMEGGPROD,EQ,15.8,15.75,16.2,15.7,15.85,15.95,15.93,39476,62878644999.99999,,29678,0.7518000000000001
2010-10-15,SKMEGGPROD,EQ,15.95,15.7,16.05,15.3,15.5,15.5,15.72,30645,48187575000.0,,22032,0.7189
2010-10-18,SKMEGGPROD,EQ,15.5,15.6,15.85,15.4,15.5,15.65,15.61,10646,16619479999.999998,,8534,0.8016
2010-10-19,SKMEGGPROD,EQ,15.65,15.5,16.0,15.45,15.5,15.5,15.59,99096,154523225000.0,,85885,0.8667
2010-10-20,SKMEGGPROD,EQ,15.5,15.45,15.5,14.75,14.75,14.9,15.08,52757,79563105000.0,,45353,0.8597
2010-10-21,SKMEGGPROD,EQ,14.9,15.0,15.35,14.7,14.7,14.8,14.91,41148,61338415000.0,,35638,0.8661
2010-10-22,SKMEGGPROD,EQ,14.8,14.85,15.35,14.8,14.8,14.9,15.0,49141,73713300000.0,,39425,0.8023
2010-10-25,SKMEGGPROD,EQ,14.9,14.85,15.25,14.75,14.9,14.85,14.94,54668,81669380000.0,,48751,0.8918
2010-10-26,SKMEGGPROD,EQ,14.85,14.4,15.0,13.8,14.25,14.25,14.4,76721,110474050000.0,,64753,0.8440000000000001
2010-10-27,SKMEGGPROD,EQ,14.25,14.4,14.55,14.15,14.3,14.3,14.3,41869,59868830000.00001,,30285,0.7232999999999999
2010-10-28,SKMEGGPROD,EQ,14.3,14.6,14.7,14.3,14.55,14.45,14.49,32496,47092690000.0,,25980,0.7995000000000001
2010-10-29,SKMEGGPROD,EQ,14.45,14.8,14.85,14.5,14.55,14.55,14.66,25945,38036095000.0,,19743,0.761
2010-11-01,SKMEGGPROD,EQ,14.55,14.6,14.6,14.3,14.5,14.5,14.47,18630,26956505000.0,,12617,0.6772
2010-11-02,SKMEGGPROD,EQ,14.5,14.45,14.7,14.25,14.35,14.4,14.44,27459,39638095000.0,,16310,0.594
2010-11-03,SKMEGGPROD,EQ,14.4,14.3,14.75,14.1,14.3,14.25,14.29,27617,39461395000.0,,22661,0.8205
2010-11-04,SKMEGGPROD,EQ,14.25,14.1,14.65,14.1,14.25,14.2,14.23,15234,21675105000.0,,11983,0.7866
2010-11-05,SKMEGGPROD,EQ,14.2,14.5,14.5,14.05,14.25,14.35,14.35,7444,10680280000.0,,6142,0.8251000000000001
