Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-10-04,SMARTLINK,EQ,68.25,68.3,70.25,68.3,69.5,69.1,69.47,37175,258269604999.99997,,28427,0.7647
2010-10-05,SMARTLINK,EQ,69.1,68.0,70.7,68.0,70.4,70.2,69.91,25162,175895960000.0,,18875,0.7501000000000001
2010-10-06,SMARTLINK,EQ,70.2,70.7,71.8,69.35,71.8,71.25,70.84,39947,282984790000.0,,26486,0.663
2010-10-07,SMARTLINK,EQ,71.25,72.5,72.5,67.7,67.75,68.05,69.29,43367,300490060000.0,,30831,0.7109000000000001
2010-10-08,SMARTLINK,EQ,68.05,68.7,68.75,67.1,68.5,68.4,68.15,10035,68387890000.0,,7582,0.7556
2010-10-11,SMARTLINK,EQ,68.4,70.4,70.5,68.0,69.25,68.9,69.14,19322,133591450000.0,,12654,0.6548999999999999
2010-10-12,SMARTLINK,EQ,68.9,69.75,70.05,68.05,69.0,69.0,69.39,18559,128788420000.0,,10517,0.5667
2010-10-13,SMARTLINK,EQ,69.0,68.7,70.5,68.65,69.0,69.25,69.52,18085,125734089999.99998,,12408,0.6861
2010-10-14,SMARTLINK,EQ,69.25,69.0,70.0,68.1,68.1,68.75,69.22,19138,132466460000.00002,,15083,0.7881
2010-10-15,SMARTLINK,EQ,68.75,68.1,69.75,67.6,68.0,68.0,68.46,13296,91028560000.0,,10393,0.7817000000000001
2010-10-18,SMARTLINK,EQ,68.0,70.65,72.0,69.15,69.85,69.9,70.6,52857,373177915000.0,,34174,0.6465000000000001
2010-10-19,SMARTLINK,EQ,69.9,70.0,70.55,68.25,68.85,69.5,69.16,51745,357881965000.0,,35111,0.6785
2010-10-20,SMARTLINK,EQ,69.5,69.85,70.5,68.35,69.1,69.1,69.71,22297,155423835000.0,,13103,0.5877
2010-10-21,SMARTLINK,EQ,69.1,69.15,72.0,69.1,71.5,71.45,70.43,25766,181468330000.0,,23222,0.9013
2010-10-22,SMARTLINK,EQ,71.45,72.35,72.35,65.5,66.0,66.05,67.36,87874,591937550000.0,,57471,0.654
2010-10-25,SMARTLINK,EQ,66.05,66.25,67.8,62.4,63.95,63.6,65.07,60399,392994450000.0,,42196,0.6986
2010-10-26,SMARTLINK,EQ,63.6,62.5,66.25,62.1,65.25,65.4,64.74,56877,368247980000.0,,27650,0.48610000000000003
2010-10-27,SMARTLINK,EQ,65.4,66.95,66.95,65.2,66.2,65.8,65.89,19248,126834005000.0,,13791,0.7165
2010-10-28,SMARTLINK,EQ,65.8,65.5,66.9,63.1,63.85,63.7,65.6,15754,103350650000.0,,11960,0.7592
2010-10-29,SMARTLINK,EQ,63.7,63.3,65.0,62.2,62.95,63.0,63.2,14602,92286010000.0,,9032,0.6185
2010-11-01,SMARTLINK,EQ,63.0,63.0,63.25,62.2,62.35,62.65,62.87,11305,71080080000.0,,8257,0.7304
2010-11-02,SMARTLINK,EQ,62.65,62.4,64.5,62.05,62.6,62.95,63.37,17879,113302160000.00002,,12185,0.6815000000000001
2010-11-03,SMARTLINK,EQ,62.95,64.9,65.0,59.8,60.0,60.3,61.57,61821,380611550000.0,,53787,0.87
2010-11-04,SMARTLINK,EQ,60.3,60.0,62.0,60.0,60.15,60.3,61.21,33300,203832175000.0,,23751,0.7132
2010-11-05,SMARTLINK,EQ,60.3,62.6,62.7,61.0,61.6,61.95,61.98,7474,46326550000.0,,5937,0.7944
2010-11-08,SMARTLINK,EQ,61.95,64.0,65.5,62.5,64.0,63.65,64.08,43571,279195895000.0,,21200,0.4866
2010-11-09,SMARTLINK,EQ,63.65,65.5,65.5,63.1,64.4,63.95,64.05,32940,210973675000.0,,29642,0.8998999999999999
2010-11-10,SMARTLINK,EQ,63.95,63.95,69.55,63.7,68.25,68.3,67.94,160201,1088433815000.0,,53625,0.3347
2010-11-11,SMARTLINK,EQ,68.3,68.7,70.7,65.55,66.0,66.05,68.51,86255,590951625000.0,,40458,0.46909999999999996
2010-11-12,SMARTLINK,EQ,66.05,67.3,67.3,64.0,64.0,64.5,65.68,26621,174843160000.0,,20502,0.7701000000000001
2010-11-15,SMARTLINK,EQ,64.5,64.5,65.0,62.0,63.4,62.8,63.34,35918,227489585000.0,,24278,0.6759000000000001
2010-11-16,SMARTLINK,EQ,62.8,62.1,63.0,59.5,60.0,60.25,61.22,52079,318834020000.0,,43349,0.8323999999999999
2010-11-18,SMARTLINK,EQ,60.25,60.95,61.0,56.2,56.2,57.55,58.55,56039,328117590000.0,,39548,0.7057
2010-11-19,SMARTLINK,EQ,57.55,58.65,58.7,55.5,57.0,56.55,57.49,24910,143199275000.0,,16013,0.6428
2010-11-22,SMARTLINK,EQ,56.55,58.4,58.4,56.0,56.7,57.55,57.19,19415,111037135000.00002,,12423,0.6399
