Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-10-04,SMPL,EQ,20.75,21.0,24.9,20.9,24.9,24.85,23.73,2465555,5849690970000.0,,829963,0.33659999999999995
2010-10-05,SMPL,EQ,24.85,25.5,27.6,25.0,26.9,27.0,26.64,4023081,10718294970000.0,,1251948,0.31120000000000003
2010-10-06,SMPL,EQ,27.0,27.3,28.3,26.25,26.45,26.45,27.34,1425262,3896731065000.0,,562158,0.3944
2010-10-07,SMPL,EQ,26.45,27.0,27.3,25.2,25.75,25.75,26.33,1192778,3140859420000.0,,521432,0.4372
2010-10-08,SMPL,EQ,25.75,26.0,27.35,25.55,26.2,26.15,26.32,883092,2324256430000.0,,447485,0.5067
2010-10-11,SMPL,EQ,26.15,27.1,28.25,26.2,27.5,27.5,27.31,1131730,3090480870000.0,,441188,0.3898
2010-10-12,SMPL,EQ,27.5,27.65,28.1,26.5,27.0,26.9,27.05,2491625,6739767420000.0,,2139204,0.8586
2010-10-13,SMPL,EQ,26.9,27.1,27.25,26.4,26.6,26.7,26.96,2613155,7045308765000.001,,2390823,0.9148999999999999
2010-10-14,SMPL,EQ,26.7,27.0,30.9,26.6,29.65,29.65,29.5,3758307,11087614430000.0,,1112274,0.29600000000000004
2010-10-15,SMPL,EQ,29.65,30.0,32.5,29.7,30.85,31.35,31.5,3051653,9613418695000.0,,1027996,0.3369
2010-10-18,SMPL,EQ,31.35,31.35,31.4,28.3,30.3,30.35,29.42,2121752,6242059190000.0,,480561,0.22649999999999998
2010-10-19,SMPL,EQ,30.35,30.6,31.7,30.3,30.4,30.7,30.91,1011644,3126561415000.0,,577157,0.5705
2010-10-20,SMPL,EQ,30.7,30.4,30.7,28.5,29.05,28.85,29.49,574188,1693099560000.0002,,325001,0.5660000000000001
2010-10-21,SMPL,EQ,28.85,29.3,31.35,29.1,30.25,30.05,30.46,1062589,3236287400000.0,,466996,0.43950000000000006
2010-10-22,SMPL,EQ,30.05,30.6,30.8,29.1,29.65,29.5,29.93,500471,1498093425000.0,,342803,0.685
2010-10-25,SMPL,EQ,29.5,29.25,31.25,29.25,30.6,30.35,30.57,587657,1796316439999.9998,,337565,0.5744
2010-10-26,SMPL,EQ,30.35,30.6,31.4,30.55,30.7,30.75,30.93,511424,1581978205000.0,,303941,0.5943
2010-10-27,SMPL,EQ,30.75,30.6,31.05,29.35,29.55,29.65,30.01,345492,1036663190000.0,,264533,0.7656999999999999
2010-10-28,SMPL,EQ,29.65,30.3,31.1,29.6,30.6,30.85,30.6,855394,2617606120000.0,,556146,0.6502
2010-10-29,SMPL,EQ,30.85,31.0,31.0,29.5,29.55,29.65,30.09,344821,1037435590000.0,,224764,0.6518
2010-11-01,SMPL,EQ,29.65,30.1,32.3,29.85,31.95,31.9,31.42,1667835,5239794670000.0,,993848,0.5959000000000001
2010-11-02,SMPL,EQ,31.9,32.25,32.5,31.15,32.25,32.05,31.9,602484,1921836195000.0,,357980,0.5942000000000001
2010-11-03,SMPL,EQ,32.05,32.3,35.35,32.15,34.75,34.55,34.0,7287531,24777664710000.0,,2565958,0.3521
2010-11-04,SMPL,EQ,34.55,35.0,40.65,34.2,40.0,39.85,38.2,6759136,25818047055000.0,,2031963,0.3006
2010-11-05,SMPL,EQ,39.85,40.0,44.4,40.0,44.0,43.5,43.25,1999503,8648447665000.001,,992267,0.4963
2010-11-08,SMPL,EQ,43.5,44.0,45.25,42.0,43.45,43.55,43.79,2860823,12527920605000.0,,1062448,0.3714
2010-11-09,SMPL,EQ,43.55,43.9,45.0,42.3,43.5,43.7,43.66,2665890,11638465030000.0,,1299558,0.4875
2010-11-10,SMPL,EQ,43.7,42.6,44.75,42.6,44.25,44.05,44.14,1401213,6185326400000.0,,868905,0.6201
2010-11-11,SMPL,EQ,44.05,44.8,45.0,42.8,43.6,43.75,44.63,3137232,14000885319999.998,,2324033,0.7408
2010-11-12,SMPL,EQ,43.75,44.7,44.8,42.0,42.0,42.4,43.33,1006773,4362064185000.0,,482154,0.4789
2010-11-15,SMPL,EQ,42.4,43.2,43.2,39.55,41.75,42.1,41.64,3067563,12771801195000.0,,1789741,0.5834
2010-11-16,SMPL,EQ,42.1,41.1,43.2,39.75,40.5,40.25,41.66,3258295,13573069130000.002,,2251872,0.6911
2010-11-18,SMPL,EQ,40.25,40.8,44.3,38.2,44.3,43.65,41.94,6134795,25726656850000.0,,3811558,0.6213000000000001
2010-11-19,SMPL,EQ,43.65,45.2,46.7,42.2,43.0,43.05,44.75,4106517,18376626735000.0,,2120418,0.5164
2010-11-22,SMPL,EQ,43.05,43.4,44.0,42.2,42.8,42.6,42.93,1123956,4825554725000.0,,577040,0.5134000000000001
2010-11-23,SMPL,EQ,42.6,41.6,42.7,38.5,39.05,39.25,40.15,2084455,8368476930000.0,,1154857,0.554
2010-11-24,SMPL,EQ,39.25,40.0,41.25,37.2,38.1,38.6,39.81,1497628,5962800965000.0,,809183,0.5403
2010-11-25,SMPL,EQ,38.6,38.6,39.85,37.3,37.6,38.8,38.77,2740656,10626484455000.0,,2015548,0.7354
2010-11-26,SMPL,EQ,38.8,38.5,38.6,34.95,34.95,34.95,35.78,1373218,4913842390000.0,,878931,0.6401000000000001
2010-11-29,SMPL,EQ,34.95,31.45,32.0,31.45,31.45,31.45,31.46,1668218,5248155410000.0,,1430584,0.8576
2010-11-30,SMPL,EQ,31.45,29.9,29.9,29.9,29.9,29.9,29.9,28160,84198400000.0,,28152,0.9997
2010-12-01,SMPL,EQ,29.9,28.4,28.4,28.4,28.4,28.4,28.4,63027,178996680000.0,,63023,0.9999
2010-12-02,SMPL,EQ,28.4,27.0,27.0,27.0,27.0,27.0,27.0,41797,112851900000.0,,41795,1.0
2010-12-03,SMPL,EQ,27.0,25.65,25.65,25.65,25.65,25.65,25.65,312348,801172620000.0,,312347,1.0
2010-12-06,SMPL,EQ,25.65,24.4,24.4,24.4,24.4,24.4,24.4,9290,22667600000.0,,9290,1.0
2010-12-07,SMPL,EQ,24.4,23.2,23.2,23.2,23.2,23.2,23.2,5133,11908560000.0,,5132,0.9998
