Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-10-04,SPMLINFRA,EQ,288.7,290.0,303.6,289.0,296.25,297.9,298.82,118209,3532307765000.0,,58580,0.49560000000000004
2010-10-05,SPMLINFRA,EQ,297.9,299.8,308.5,295.2,300.95,298.4,302.66,40869,1236957215000.0,,19494,0.47700000000000004
2010-10-06,SPMLINFRA,EQ,298.4,300.0,302.7,290.5,293.0,293.6,297.62,26904,800723225000.0,,19327,0.7184
2010-10-07,SPMLINFRA,EQ,293.6,291.4,297.5,283.5,285.0,285.3,287.96,45272,1303672050000.0,,39777,0.8786
2010-10-08,SPMLINFRA,EQ,285.3,292.0,306.7,285.85,296.75,293.65,297.55,107220,3190301640000.0,,45365,0.42310000000000003
2010-10-11,SPMLINFRA,EQ,293.65,294.2,300.0,292.1,293.2,294.5,295.93,5614,166134560000.0,,2709,0.4825
2010-10-12,SPMLINFRA,EQ,294.5,290.15,298.0,289.0,290.5,291.4,291.17,7365,214445254999.99997,,3670,0.4983
2010-10-13,SPMLINFRA,EQ,291.4,293.0,294.65,287.0,288.0,288.1,291.25,14181,413016275000.0,,8500,0.5994
2010-10-14,SPMLINFRA,EQ,288.1,289.0,294.8,278.0,284.8,282.2,284.85,26120,744023860000.0,,19214,0.7356
2010-10-15,SPMLINFRA,EQ,282.2,290.0,291.0,280.5,282.0,284.65,284.6,11002,313112255000.0,,7840,0.7126
2010-10-18,SPMLINFRA,EQ,284.65,290.0,294.8,284.8,290.0,290.3,290.5,20157,585564975000.0,,9592,0.47590000000000005
2010-10-19,SPMLINFRA,EQ,290.3,293.1,305.5,293.05,299.0,300.15,301.13,52181,1571315925000.0,,26740,0.5124000000000001
2010-10-20,SPMLINFRA,EQ,300.15,302.0,305.0,295.35,300.0,299.35,301.42,9171,276434760000.0,,3326,0.3627
2010-10-21,SPMLINFRA,EQ,299.35,303.5,303.9,293.1,298.0,298.0,298.42,9735,290514120000.0,,5887,0.6047
2010-10-22,SPMLINFRA,EQ,298.0,296.0,302.95,291.5,291.55,291.65,295.29,7291,215295204999.99997,,5730,0.7859
2010-10-25,SPMLINFRA,EQ,291.65,293.0,304.0,293.0,296.4,296.15,298.84,13891,415117290000.0,,9222,0.6639
2010-10-26,SPMLINFRA,EQ,296.15,298.0,300.05,292.0,293.0,294.25,296.89,17442,517831590000.00006,,14963,0.8579000000000001
2010-10-27,SPMLINFRA,EQ,294.25,298.0,298.5,288.0,288.15,288.55,290.9,7919,230361635000.0,,6400,0.8081999999999999
2010-10-28,SPMLINFRA,EQ,288.55,292.95,292.95,287.05,289.15,290.05,289.69,4730,137021014999.99998,,2885,0.6099
2010-10-29,SPMLINFRA,EQ,290.05,294.9,294.9,287.0,289.45,287.1,287.54,2659,76455580000.0,,1818,0.6837000000000001
2010-11-01,SPMLINFRA,EQ,287.1,291.0,291.0,280.3,284.0,282.35,284.28,3401,96684135000.0,,2627,0.7724
2010-11-02,SPMLINFRA,EQ,282.35,291.95,291.95,283.25,285.0,284.4,285.2,4810,137180685000.00002,,3945,0.8201999999999999
2010-11-03,SPMLINFRA,EQ,284.4,294.0,294.0,284.0,287.9,285.2,286.63,5045,144602655000.0,,4344,0.8611
2010-11-04,SPMLINFRA,EQ,285.2,293.0,293.0,276.5,285.95,286.1,287.88,4510,129834510000.00002,,3688,0.8177
2010-11-05,SPMLINFRA,EQ,286.1,287.7,291.7,285.0,290.45,289.45,289.02,12748,368444320000.0,,10253,0.8043000000000001
2010-11-08,SPMLINFRA,EQ,289.45,292.3,292.3,285.1,290.5,289.45,288.26,5622,162058595000.0,,4372,0.7777
2010-11-09,SPMLINFRA,EQ,289.45,293.0,293.0,273.5,288.0,288.15,286.5,5842,167372320000.0,,3068,0.5252
2010-11-10,SPMLINFRA,EQ,288.15,292.0,296.8,284.0,286.0,285.55,291.33,24626,717438140000.0,,15229,0.6184000000000001
2010-11-11,SPMLINFRA,EQ,285.55,290.0,294.5,287.0,292.5,290.35,291.75,15795,460816405000.0,,10198,0.6456000000000001
2010-11-12,SPMLINFRA,EQ,290.35,295.0,295.0,278.0,278.0,282.05,285.69,4978,142214100000.0,,2745,0.5514
2010-11-15,SPMLINFRA,EQ,282.05,269.0,288.0,269.0,283.0,282.8,281.31,8405,236438920000.00003,,5756,0.6848000000000001
2010-11-16,SPMLINFRA,EQ,282.8,288.65,288.65,267.5,273.0,275.25,272.93,7716,210589790000.0,,3818,0.49479999999999996
2010-11-18,SPMLINFRA,EQ,275.25,277.0,277.0,255.0,263.0,263.9,266.05,7407,197062960000.0,,4750,0.6413
2010-11-19,SPMLINFRA,EQ,263.9,272.0,272.0,251.0,258.8,253.8,258.12,1297,33478184999.999996,,1008,0.7772
2010-11-22,SPMLINFRA,EQ,253.8,249.0,275.0,246.7,260.5,265.25,258.35,6256,161625985000.0,,2724,0.4354
2010-11-23,SPMLINFRA,EQ,265.25,266.0,270.0,255.5,266.0,259.6,260.56,3638,94791660000.0,,2189,0.6017
2010-11-24,SPMLINFRA,EQ,259.6,259.6,272.0,250.0,265.05,265.0,265.43,6689,177543500000.0,,4653,0.6956
2010-11-25,SPMLINFRA,EQ,265.0,272.0,272.0,250.05,252.0,250.95,256.46,3698,94839905000.0,,2974,0.8042
2010-11-26,SPMLINFRA,EQ,250.95,250.95,250.95,228.0,239.0,244.1,240.97,18796,452933759999.99994,,11680,0.6214000000000001
2010-11-29,SPMLINFRA,EQ,244.1,258.7,258.7,226.15,240.05,240.2,239.16,6193,148110180000.0,,2442,0.3943
2010-11-30,SPMLINFRA,EQ,240.2,251.0,251.0,233.0,237.0,243.85,243.53,6231,151741130000.0,,4321,0.6935
2010-12-01,SPMLINFRA,EQ,243.85,259.0,274.0,244.0,253.5,256.15,258.52,8973,231972550000.0,,5497,0.6126
2010-12-02,SPMLINFRA,EQ,256.15,268.6,268.6,256.0,259.0,258.75,262.02,4137,108396089999.99998,,1749,0.4228
