Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-10-04,LANCOIN,EQ,59.6,60.9,60.9,59.1,59.1,59.25,59.65,22602,134820625000.0,,12673,0.5607
2010-10-05,LANCOIN,EQ,59.25,59.0,59.65,58.6,58.8,59.0,59.08,15989,94465520000.0,,8330,0.521
2010-10-06,LANCOIN,EQ,59.0,59.5,59.6,59.0,59.2,59.1,59.22,30513,180700250000.0,,17247,0.5652
2010-10-07,LANCOIN,EQ,59.1,58.45,59.8,58.45,58.85,58.65,59.14,47069,278379525000.0,,24929,0.5296000000000001
2010-10-08,LANCOIN,EQ,58.65,58.85,59.2,58.05,58.6,58.4,58.44,42794,250101335000.0,,25822,0.6034
2010-10-11,LANCOIN,EQ,58.4,58.4,59.5,58.0,59.25,59.15,58.81,50917,299435280000.0,,34523,0.6779999999999999
2010-10-12,LANCOIN,EQ,59.15,60.1,61.85,59.2,59.45,59.5,60.24,116693,702965280000.0,,49866,0.42729999999999996
2010-10-13,LANCOIN,EQ,59.5,59.0,60.3,59.0,59.95,59.6,59.74,67670,404283290000.0,,51716,0.7642
2010-10-14,LANCOIN,EQ,59.6,59.1,59.95,58.7,59.2,59.05,59.31,27646,163976055000.0,,15722,0.5687
2010-10-15,LANCOIN,EQ,59.05,59.85,59.85,58.3,58.4,58.45,58.77,33067,194337465000.0,,17733,0.5363
2010-10-18,LANCOIN,EQ,58.45,59.7,61.4,56.6,59.2,59.55,58.36,49322,287860320000.0,,29319,0.5944
2010-10-19,LANCOIN,EQ,59.55,60.35,60.75,59.0,59.8,59.65,59.96,44231,265194554999.99997,,19678,0.4449
2010-10-20,LANCOIN,EQ,59.65,59.45,61.9,59.15,59.2,59.55,60.18,82920,499006615000.00006,,28975,0.3494
2010-10-21,LANCOIN,EQ,59.55,61.8,64.8,59.7,62.25,62.0,63.07,398280,2511781305000.0,,177730,0.4462
2010-10-22,LANCOIN,EQ,62.0,62.9,63.9,62.25,62.8,62.65,63.15,107051,676068780000.0,,62229,0.5813
2010-10-25,LANCOIN,EQ,62.65,63.5,63.8,62.6,62.95,62.85,63.3,83137,526256259999.99994,,60517,0.7279000000000001
2010-10-26,LANCOIN,EQ,62.85,63.0,63.65,61.6,62.0,61.95,62.66,53385,334500770000.0,,39658,0.7429000000000001
2010-10-27,LANCOIN,EQ,61.95,61.8,62.5,61.0,61.1,61.3,61.72,55146,340347790000.0,,42175,0.7648
2010-10-28,LANCOIN,EQ,61.3,61.95,62.4,61.05,61.2,61.25,61.62,53383,328925755000.0,,26873,0.5034000000000001
2010-10-29,LANCOIN,EQ,61.25,61.1,61.85,59.1,60.2,60.05,60.55,28880,174857180000.0,,18280,0.633
2010-11-01,LANCOIN,EQ,60.05,59.0,63.65,59.0,62.65,62.6,62.69,135338,848372860000.0,,65589,0.48460000000000003
2010-11-02,LANCOIN,EQ,62.6,63.8,63.8,61.5,62.55,62.65,62.72,59967,376106565000.0,,28541,0.47590000000000005
2010-11-03,LANCOIN,EQ,62.65,63.0,63.45,62.0,62.15,62.25,62.8,61458,385981820000.0,,33920,0.5519
2010-11-04,LANCOIN,EQ,62.25,62.05,63.3,61.9,62.2,62.15,62.26,41045,255560790000.0,,21485,0.5234000000000001
2010-11-05,LANCOIN,EQ,62.15,63.25,63.75,62.5,62.5,62.8,63.05,24022,151454300000.0,,18414,0.7665000000000001
2010-11-08,LANCOIN,EQ,62.8,63.0,63.25,60.4,62.65,62.6,62.86,63696,400362530000.0,,34944,0.5486
2010-11-09,LANCOIN,EQ,62.6,63.0,63.15,62.0,62.35,62.55,62.74,92562,580728580000.0,,29690,0.3208
2010-11-10,LANCOIN,EQ,62.55,62.9,62.9,61.4,61.5,61.65,62.12,39995,248463735000.0,,26500,0.6626000000000001
2010-11-11,LANCOIN,EQ,61.65,62.95,62.95,61.55,62.1,61.9,62.38,50476,314873480000.0,,25273,0.5007
2010-11-12,LANCOIN,EQ,61.9,62.1,62.95,59.95,60.9,60.65,61.14,134333,821291780000.0,,47047,0.3502
2010-11-15,LANCOIN,EQ,60.65,62.0,62.0,60.2,60.9,60.85,61.02,70606,430802659999.99994,,39802,0.5637
2010-11-16,LANCOIN,EQ,60.85,61.9,61.9,58.6,59.05,58.9,59.54,47186,280941615000.0,,31796,0.6738
2010-11-18,LANCOIN,EQ,58.9,60.0,60.7,56.65,58.05,58.4,58.65,55586,326005240000.0,,32677,0.5879
2010-11-19,LANCOIN,EQ,58.4,58.15,59.0,57.0,57.15,57.3,57.78,30347,175334025000.0,,16744,0.5518
2010-11-22,LANCOIN,EQ,57.3,57.3,58.45,57.0,57.35,57.4,57.44,26652,153100220000.0,,12898,0.4839
2011-02-23,LANCOIN,EQ,34.35,36.0,36.0,34.75,35.3,35.15,35.2,17557,61804925000.0,,11788,0.6714
2011-02-24,LANCOIN,EQ,35.15,35.15,36.0,33.6,33.6,34.0,34.67,33636,116604475000.0,,18278,0.5434
2011-02-25,LANCOIN,EQ,34.0,33.6,35.25,33.6,34.5,34.5,34.8,34896,121455330000.0,,19036,0.5455
2011-02-28,LANCOIN,EQ,34.5,34.0,35.95,34.0,35.3,35.1,35.53,28674,101871040000.0,,10873,0.37920000000000004
2011-03-01,LANCOIN,EQ,35.1,36.3,36.9,35.2,36.25,36.15,36.13,52715,190460945000.0,,22242,0.4219
2011-03-03,LANCOIN,EQ,36.15,36.9,37.95,35.05,35.5,35.35,36.64,50973,186756240000.0,,20307,0.39840000000000003
2011-03-04,LANCOIN,EQ,35.35,36.0,37.15,36.0,36.7,36.5,36.84,74287,273656175000.0,,26371,0.355
2011-03-07,LANCOIN,EQ,36.5,36.9,38.3,36.0,36.8,36.75,37.34,61974,231387065000.0,,18831,0.3039
2011-03-08,LANCOIN,EQ,36.75,37.1,37.85,37.0,37.1,37.15,37.39,39394,147292950000.0,,14280,0.3625
2011-03-09,LANCOIN,EQ,37.15,38.0,38.0,37.1,37.3,37.4,37.41,32043,119870255000.0,,16593,0.5178
2011-03-10,LANCOIN,EQ,37.4,37.9,38.8,37.1,37.3,37.5,37.8,44619,168664355000.0,,18926,0.4242
2011-03-11,LANCOIN,EQ,37.5,37.3,37.95,36.0,36.85,36.7,36.98,39558,146281520000.0,,21785,0.5507
2011-03-14,LANCOIN,EQ,36.7,36.5,36.7,36.05,36.35,36.35,36.34,22013,80004875000.0,,11504,0.5226
2011-03-15,LANCOIN,EQ,36.35,35.1,36.35,35.0,35.7,35.95,35.74,15550,55580030000.00001,,6863,0.4414
2011-03-16,LANCOIN,EQ,35.95,36.8,36.8,35.7,36.35,36.15,36.2,15729,56945865000.0,,9031,0.5742
2011-03-17,LANCOIN,EQ,36.15,35.7,36.8,35.7,36.25,36.15,36.28,29700,107739339999.99998,,17277,0.5817
2011-03-18,LANCOIN,EQ,36.15,36.8,36.8,35.7,35.7,35.85,36.2,21463,77685955000.0,,8534,0.3976
2011-03-21,LANCOIN,EQ,35.85,36.9,36.9,35.75,35.85,35.95,36.06,17159,61882894999.99999,,10223,0.5958
2011-03-22,LANCOIN,EQ,35.95,37.4,38.0,36.6,36.95,36.85,37.15,87637,325582505000.0,,28897,0.3297
2011-03-23,LANCOIN,EQ,36.85,37.0,39.1,37.0,37.3,37.45,37.75,71446,269679310000.0,,28394,0.39740000000000003
2011-03-24,LANCOIN,EQ,37.45,35.0,38.4,35.0,37.0,37.25,37.78,63542,240077395000.00003,,31116,0.4897
2011-03-25,LANCOIN,EQ,37.25,38.0,38.0,37.0,37.1,37.25,37.45,49749,186328205000.0,,21542,0.433
2011-03-28,LANCOIN,EQ,37.25,37.15,37.9,35.75,37.1,36.35,36.87,65407,241170170000.00003,,49547,0.7575000000000001
2011-03-29,LANCOIN,EQ,36.35,37.8,39.25,37.0,38.3,38.35,38.35,264780,1015341705000.0001,,70732,0.2671
2011-03-30,LANCOIN,EQ,38.35,38.95,41.0,38.5,38.9,38.75,39.14,133034,520670875000.0,,64446,0.4844
2011-03-31,LANCOIN,EQ,38.75,39.05,39.75,38.6,39.0,39.0,39.18,57886,226805540000.0,,26166,0.452
2011-04-01,LANCOIN,EQ,39.0,39.0,39.5,38.4,38.9,39.1,38.93,30292,117925445000.0,,14924,0.4927
2011-04-04,LANCOIN,EQ,39.1,40.0,40.85,39.0,40.5,40.6,40.13,74924,300674460000.0,,39550,0.5279
2011-04-05,LANCOIN,EQ,40.6,40.6,41.9,40.0,41.2,41.65,41.28,63602,262563690000.0,,28048,0.441
2011-04-06,LANCOIN,EQ,41.65,42.0,43.9,42.0,43.75,43.45,43.24,100734,435574670000.0,,47102,0.4676
2011-04-07,LANCOIN,EQ,43.45,44.05,47.8,44.05,46.0,46.0,46.48,257337,1196167730000.0,,81085,0.31510000000000005
2011-04-08,LANCOIN,EQ,46.0,46.8,46.8,43.0,43.1,43.15,44.37,108812,482765940000.00006,,55182,0.5071
2011-04-11,LANCOIN,EQ,43.15,43.05,43.65,41.2,41.6,41.75,42.05,53890,226630350000.0,,18915,0.35100000000000003
2011-04-13,LANCOIN,EQ,41.75,40.5,43.9,40.5,42.75,42.7,42.08,58020,244142285000.0,,21964,0.3786
2011-04-15,LANCOIN,EQ,42.7,41.1,43.6,41.1,42.75,42.6,42.64,17492,74584780000.0,,10205,0.5834
2011-04-18,LANCOIN,EQ,42.6,43.4,43.4,41.1,41.5,41.55,42.35,27662,117146880000.0,,14176,0.5125
2011-04-19,LANCOIN,EQ,41.55,41.2,42.0,41.1,41.85,41.85,41.63,16867,70219235000.0,,9192,0.545
2011-04-20,LANCOIN,EQ,41.85,41.7,42.4,41.7,42.4,42.2,42.13,26225,110492385000.00002,,14740,0.5621
2011-04-21,LANCOIN,EQ,42.2,42.9,43.0,42.05,42.25,42.3,42.49,22589,95979680000.0,,12232,0.5415
2011-04-25,LANCOIN,EQ,42.3,42.3,42.7,41.6,41.9,42.0,42.19,18746,79080855000.0,,12901,0.6881999999999999
2011-04-26,LANCOIN,EQ,42.0,42.0,42.25,41.75,41.8,41.9,41.99,16752,70342705000.0,,10784,0.6437
