Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2016-07-25,STAMPEDE,EQ,41.9,42.25,46.65,42.0,43.05,44.35,44.54,1055043,4699493040000.0,1521,699287,0.6628000000000001
2016-07-26,STAMPEDE,EQ,44.35,45.0,45.3,43.0,44.4,43.75,44.25,1572790,6959940320000.0,1187,879914,0.5595
2016-07-27,STAMPEDE,EQ,43.75,44.45,44.75,42.1,42.25,42.9,43.55,660221,2875181090000.0,451,349893,0.53
2016-07-28,STAMPEDE,EQ,42.9,43.7,44.95,42.5,43.1,43.0,43.8,1298970,5689066500000.0,637,649459,0.5
2016-07-29,STAMPEDE,EQ,43.0,43.5,43.5,41.75,41.85,42.8,42.75,1004763,4295633379999.9995,230,917015,0.9127
2016-08-01,STAMPEDE,EQ,42.8,43.45,44.0,41.7,42.25,42.25,42.77,2531034,10825203760000.0,855,1364276,0.539
2016-08-02,STAMPEDE,EQ,42.25,42.0,42.15,41.65,41.9,41.95,41.99,754574,3168658105000.0,332,490400,0.6498999999999999
2016-08-03,STAMPEDE,EQ,41.95,41.7,42.9,40.5,41.4,41.95,41.47,467064,1936885925000.0,538,332497,0.7119
2016-08-04,STAMPEDE,EQ,41.95,41.95,42.0,40.6,40.6,41.25,41.23,447395,1844513720000.0,185,430315,0.9618000000000001
2016-08-05,STAMPEDE,EQ,41.25,41.25,41.25,40.6,40.6,40.85,40.93,2383505,9755361965000.0,360,1326971,0.5567000000000001
2016-08-08,STAMPEDE,EQ,40.85,40.7,40.95,40.0,40.25,40.7,40.61,1958316,7952319050000.0,456,1166673,0.5958
2016-08-09,STAMPEDE,EQ,40.7,41.85,43.7,41.0,41.75,41.9,42.02,1025729,4310142679999.9995,865,646658,0.6304
2016-08-10,STAMPEDE,EQ,41.9,42.0,42.3,40.0,40.05,40.5,40.82,228928,934464765000.0,213,200978,0.8779000000000001
2016-08-11,STAMPEDE,EQ,40.5,40.85,40.85,39.05,39.15,40.45,40.57,1140536,4627695040000.0,586,492874,0.43210000000000004
2016-08-12,STAMPEDE,EQ,40.45,41.95,42.0,39.15,40.05,41.25,41.16,1631133,6713599690000.001,317,1020824,0.6258
2016-08-16,STAMPEDE,EQ,41.25,40.05,40.3,39.55,39.55,40.05,40.03,1889912,7566057170000.0,697,1101125,0.5826
2016-08-17,STAMPEDE,EQ,40.05,41.45,42.7,39.05,40.45,40.15,40.16,517276,2077184210000.0002,297,341959,0.6611
2016-08-18,STAMPEDE,EQ,40.15,40.25,41.5,39.7,40.0,40.35,40.62,998986,4058087120000.0005,596,461541,0.462
2016-08-19,STAMPEDE,EQ,40.35,40.35,40.35,39.4,39.8,40.0,39.95,388197,1551004760000.0,250,347250,0.8945000000000001
2016-08-22,STAMPEDE,EQ,40.0,40.0,41.45,39.6,39.9,39.9,39.92,1844130,7362024550000.0,578,806210,0.4372
2016-08-23,STAMPEDE,EQ,39.9,39.75,40.25,39.5,40.25,40.2,40.01,1419661,5680414850000.0,300,743212,0.5235000000000001
2016-08-24,STAMPEDE,EQ,40.2,40.9,40.9,39.55,40.0,39.8,39.84,893549,3560153895000.0005,290,511237,0.5721
2016-08-25,STAMPEDE,EQ,39.8,41.2,41.2,39.5,39.5,39.85,39.88,1295187,5165262055000.0,523,799785,0.6175
2016-08-26,STAMPEDE,EQ,39.85,40.0,40.0,39.4,39.8,39.75,39.75,1148950,4567634910000.0,316,607782,0.529
2016-08-29,STAMPEDE,EQ,39.75,39.85,40.1,39.0,39.5,39.75,39.79,916443,3646875375000.0,408,502809,0.5487
2016-08-30,STAMPEDE,EQ,39.75,39.75,40.05,39.25,39.65,39.8,39.66,488191,1936408485000.0002,274,404216,0.828
2016-08-31,STAMPEDE,EQ,39.8,39.75,40.45,39.35,39.8,39.85,39.83,2329535,9279570990000.0,418,1075179,0.4615
2016-09-01,STAMPEDE,EQ,39.85,40.0,40.5,39.8,40.0,40.0,40.05,630762,2526290855000.0,566,365178,0.5789
2016-09-02,STAMPEDE,EQ,40.0,40.0,40.75,39.55,39.6,39.95,40.35,593797,2395754400000.0,756,435808,0.7339
2016-09-06,STAMPEDE,EQ,39.95,40.2,43.0,40.2,41.9,41.95,41.97,1424225,5977110535000.0,1290,796911,0.5595
2016-09-07,STAMPEDE,EQ,41.95,42.0,42.0,40.1,41.0,41.7,41.68,313635,1307271085000.0,432,259879,0.8286
2016-09-08,STAMPEDE,EQ,41.7,39.75,40.9,39.75,40.05,40.2,40.22,746834,3003687280000.0,397,396074,0.5303
2016-09-09,STAMPEDE,EQ,40.2,40.25,40.95,39.95,40.25,40.4,40.44,1692633,6845631040000.001,451,1015736,0.6001
2016-09-12,STAMPEDE,EQ,40.4,40.25,41.3,39.75,40.0,40.35,40.44,1347173,5447932455000.0,1112,603294,0.44780000000000003
2016-09-14,STAMPEDE,EQ,40.35,40.0,40.25,39.4,39.5,39.65,39.8,896318,3567480410000.0,281,855298,0.9542
2016-09-15,STAMPEDE,EQ,39.65,39.7,39.9,39.1,39.1,39.6,39.59,122784,486063030000.0,212,93296,0.7598
2016-09-16,STAMPEDE,EQ,39.6,39.2,39.9,38.6,38.8,39.4,39.42,365580,1440985705000.0,443,238126,0.6514
2016-09-19,STAMPEDE,EQ,39.4,39.9,41.5,38.6,38.8,39.45,39.9,1279284,5104428875000.0,1009,695465,0.5436
2016-09-20,STAMPEDE,EQ,39.45,39.65,39.65,37.5,38.3,39.05,38.88,1491581,5799396680000.0,1148,900805,0.6039
2016-09-21,STAMPEDE,EQ,39.05,39.5,39.9,38.4,39.1,39.2,39.27,199946,785277695000.0,1193,98800,0.4941
2016-09-22,STAMPEDE,EQ,39.2,39.45,39.9,38.5,39.25,39.15,39.2,713749,2797937005000.0,344,657575,0.9213
2016-09-23,STAMPEDE,EQ,39.15,39.3,39.5,38.05,38.9,38.95,38.94,1087289,4233464454999.9995,630,535928,0.4929
2016-09-26,STAMPEDE,EQ,38.95,38.7,39.5,38.25,38.65,39.4,39.24,505971,1985320945000.0,750,371775,0.7348
2016-09-27,STAMPEDE,EQ,39.4,38.8,39.1,38.3,38.85,39.0,38.95,865997,3372788054999.9995,367,597531,0.6900000000000001
2016-09-28,STAMPEDE,EQ,39.0,38.95,39.1,37.1,37.25,38.1,38.24,1691635,6468492225000.0,362,1062490,0.6281
2016-09-29,STAMPEDE,EQ,38.1,38.05,38.5,30.5,30.5,32.25,36.87,1337260,4930270540000.0,1458,1063147,0.795
2016-09-30,STAMPEDE,EQ,32.25,32.5,32.75,29.0,30.5,30.55,30.61,1415390,4332815079999.9995,2884,1080510,0.7634000000000001
