Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-10-04,STARPAPER,EQ,36.2,36.25,37.65,36.25,36.75,36.45,36.71,8032,29486640000.000004,,6698,0.8339
2010-10-05,STARPAPER,EQ,36.45,37.0,37.65,36.3,36.45,36.45,36.46,3506,12782650000.0,,3108,0.8865000000000001
2010-10-06,STARPAPER,EQ,36.45,36.45,38.7,36.45,37.25,37.3,37.26,17265,64330330000.00001,,14228,0.8240999999999999
2010-10-07,STARPAPER,EQ,37.3,37.3,37.7,36.75,37.0,36.8,37.19,9909,36855190000.0,,7832,0.7904000000000001
2010-10-08,STARPAPER,EQ,36.8,36.5,37.1,36.3,37.0,36.6,36.88,16043,59160585000.0,,14105,0.8792
2010-10-11,STARPAPER,EQ,36.6,37.4,37.9,36.35,36.35,36.35,36.65,1846,6765800000.0,,1772,0.9599
2010-10-12,STARPAPER,EQ,36.35,37.0,37.75,37.0,37.3,37.25,37.45,13509,50586995000.0,,10502,0.7774
2010-10-13,STARPAPER,EQ,37.25,37.0,37.3,36.75,37.3,37.05,36.93,8853,32693140000.000004,,8615,0.9731000000000001
2010-10-14,STARPAPER,EQ,37.05,36.55,37.4,36.5,37.0,37.1,37.1,8474,31435334999.999996,,6509,0.7681
2010-10-15,STARPAPER,EQ,37.1,36.9,36.9,36.2,36.45,36.35,36.62,15558,56968490000.0,,13136,0.8443
2010-10-18,STARPAPER,EQ,36.35,36.05,37.5,35.55,35.9,35.95,36.07,6742,24320225000.0,,5412,0.8027
2010-10-19,STARPAPER,EQ,35.95,35.95,37.35,35.95,36.25,36.25,36.34,6619,24055455000.0,,6595,0.9964000000000001
2010-10-20,STARPAPER,EQ,36.25,36.3,36.65,36.05,36.1,36.15,36.46,6463,23562725000.0,,4386,0.6786
2010-10-21,STARPAPER,EQ,36.15,37.5,37.5,36.25,36.55,36.45,36.41,1627,5923515000.0,,1487,0.914
2010-10-22,STARPAPER,EQ,36.45,36.55,36.6,36.05,36.2,36.2,36.22,7195,26061000000.0,,5750,0.7992
2010-10-25,STARPAPER,EQ,36.2,36.8,37.0,35.8,36.0,35.9,36.27,9106,33028559999.999996,,8400,0.9225
2010-10-26,STARPAPER,EQ,35.9,36.5,37.8,36.25,36.45,36.45,36.68,6292,23081600000.0,,5982,0.9507
2010-10-27,STARPAPER,EQ,36.45,36.9,38.5,35.3,37.25,36.9,37.5,37436,140369470000.0,,16735,0.44700000000000006
2010-10-28,STARPAPER,EQ,36.9,37.75,38.0,37.0,37.0,37.1,37.62,17064,64198875000.0,,12906,0.7563
2010-10-29,STARPAPER,EQ,37.1,37.4,39.25,36.8,39.15,39.0,38.5,50583,194732335000.0,,44271,0.8752
2010-11-01,STARPAPER,EQ,39.0,40.0,40.4,38.4,38.6,38.65,39.56,25768,101927295000.0,,18326,0.7112
2010-11-02,STARPAPER,EQ,38.65,38.9,39.05,37.95,38.15,38.9,38.65,12094,46746960000.0,,10214,0.8445999999999999
2010-11-03,STARPAPER,EQ,38.9,40.2,40.5,38.5,39.6,39.1,39.29,20577,80845740000.0,,13997,0.6802
2010-11-04,STARPAPER,EQ,39.1,38.55,39.8,38.55,39.0,38.95,39.08,4794,18737025000.0,,3497,0.7295
2010-11-05,STARPAPER,EQ,38.95,40.5,40.5,38.75,39.0,39.0,39.06,1058,4132235000.0,,992,0.9376000000000001
2010-11-08,STARPAPER,EQ,39.0,39.2,39.4,38.5,39.2,38.95,39.04,7590,29628240000.000004,,6201,0.8170000000000001
2010-11-09,STARPAPER,EQ,38.95,39.9,39.9,38.4,38.9,38.75,38.77,21487,83311075000.0,,18745,0.8724
2010-11-10,STARPAPER,EQ,38.75,39.4,39.9,38.8,39.0,38.95,39.04,7942,31009345000.0,,6714,0.8454
2010-11-11,STARPAPER,EQ,38.95,38.8,38.8,37.1,37.2,37.3,37.75,61835,233437729999.99997,,45188,0.7308
2010-11-12,STARPAPER,EQ,37.3,37.3,38.0,36.0,36.0,36.25,36.94,17461,64496725000.0,,10902,0.6244
2010-11-15,STARPAPER,EQ,36.25,37.3,37.5,36.0,37.2,37.0,36.57,14035,51323865000.0,,10992,0.7831999999999999
2010-11-16,STARPAPER,EQ,37.0,37.3,37.6,36.15,36.35,36.35,36.44,3543,12910080000.0,,3113,0.8786
2010-11-18,STARPAPER,EQ,36.35,36.45,37.6,35.25,35.25,35.35,35.76,5913,21144120000.0,,5084,0.8598
2010-11-19,STARPAPER,EQ,35.35,35.9,35.95,34.05,34.2,34.65,35.01,17558,61465580000.00001,,15315,0.8723000000000001
2010-11-22,STARPAPER,EQ,34.65,34.65,35.8,34.15,34.55,34.45,34.7,7321,25407425000.0,,5992,0.8185
2010-11-23,STARPAPER,EQ,34.45,34.65,35.0,33.6,34.15,33.85,33.98,4412,14993875000.0,,4315,0.978
