Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-10-04,STCINDIA,EQ,402.8,404.0,409.0,402.0,403.5,403.2,405.55,127082,5153826005000.0,,22367,0.17600000000000002
2010-10-05,STCINDIA,EQ,403.2,400.3,407.15,400.05,403.2,403.45,403.95,88926,3592162679999.9995,,24881,0.2798
2010-10-06,STCINDIA,EQ,403.45,406.0,428.7,405.7,415.5,415.3,419.73,877170,36817439830000.0,,176094,0.20079999999999998
2010-10-07,STCINDIA,EQ,415.3,424.05,431.1,405.0,405.75,406.2,414.98,212626,8823466270000.0,,62542,0.29410000000000003
2010-10-08,STCINDIA,EQ,406.2,407.0,411.9,404.1,406.0,406.05,407.09,116116,4726947845000.0,,34648,0.2984
2010-10-11,STCINDIA,EQ,406.05,409.0,414.7,406.05,409.5,408.5,410.15,162550,6666965960000.0,,26033,0.1602
2010-10-12,STCINDIA,EQ,408.5,410.5,410.5,402.0,403.8,404.0,405.0,92092,3729719704999.9995,,30253,0.3285
2010-10-13,STCINDIA,EQ,404.0,407.0,412.0,405.0,405.05,405.75,407.59,122926,5010401140000.0,,29007,0.23600000000000002
2010-10-14,STCINDIA,EQ,405.75,407.0,414.8,402.1,403.0,403.55,408.34,210729,8604985595000.0,,47742,0.2266
2010-10-15,STCINDIA,EQ,403.55,406.7,409.5,397.0,400.55,398.9,403.9,93615,3781133225000.0,,26408,0.2821
2010-10-18,STCINDIA,EQ,398.9,401.0,402.7,385.05,393.65,393.0,392.26,99955,3920867175000.0,,32622,0.3264
2010-10-19,STCINDIA,EQ,393.0,396.6,404.4,394.05,396.5,395.6,399.11,137311,5480214215000.0,,25039,0.18239999999999998
2010-10-20,STCINDIA,EQ,395.6,396.0,399.1,390.1,395.1,393.2,394.06,80450,3170184565000.0,,18534,0.2304
2010-10-21,STCINDIA,EQ,393.2,396.0,397.0,390.1,390.4,391.15,392.31,102106,4005767295000.0005,,34087,0.33380000000000004
2010-10-22,STCINDIA,EQ,391.15,393.9,395.65,386.0,390.2,389.3,391.5,78222,3062399010000.0,,17196,0.2198
2010-10-25,STCINDIA,EQ,389.3,393.0,397.8,384.15,388.15,386.15,390.88,117883,4607849380000.0,,30160,0.25579999999999997
2010-10-26,STCINDIA,EQ,386.15,389.3,394.7,386.45,388.15,388.95,390.32,138767,5416313715000.0,,29644,0.2136
2010-10-27,STCINDIA,EQ,388.95,389.5,393.4,383.0,383.1,384.7,388.08,100163,3887076070000.0005,,26737,0.2669
2010-10-28,STCINDIA,EQ,384.7,386.0,392.0,376.0,381.25,379.9,384.22,117227,4504102610000.0,,32303,0.2756
2010-10-29,STCINDIA,EQ,379.9,382.0,384.9,372.0,374.4,374.9,377.6,108272,4088326475000.0,,34962,0.3229
2010-11-01,STCINDIA,EQ,374.9,378.5,384.0,376.0,383.9,381.4,378.94,87611,3319969715000.0,,26701,0.3048
2010-11-02,STCINDIA,EQ,381.4,383.9,390.0,379.55,389.25,387.3,384.15,96565,3709518304999.9995,,29391,0.3044
2010-11-03,STCINDIA,EQ,387.3,390.9,422.0,387.35,403.35,402.75,410.09,1141855,46826733205000.0,,133086,0.11660000000000001
2010-11-04,STCINDIA,EQ,402.75,406.7,412.4,397.0,404.4,405.2,406.86,326555,13286142165000.0,,50397,0.1543
2010-11-05,STCINDIA,EQ,405.2,406.95,407.05,403.0,403.2,403.9,404.35,35489,1435015020000.0,,14881,0.4193
2010-11-08,STCINDIA,EQ,403.9,405.0,406.6,398.0,399.5,399.25,401.78,124385,4997556350000.0,,34320,0.2759
2010-11-09,STCINDIA,EQ,399.25,400.0,405.0,399.5,400.55,400.5,402.05,121727,4894082920000.0,,38301,0.3146
2010-11-10,STCINDIA,EQ,400.5,391.15,415.0,391.15,401.9,402.25,408.49,416585,17017220250000.0,,50694,0.1217
2010-11-11,STCINDIA,EQ,402.25,404.4,406.9,395.75,397.25,398.15,401.11,104285,4182951695000.0005,,26055,0.24980000000000002
2010-11-12,STCINDIA,EQ,398.15,395.0,399.15,378.0,386.0,386.75,390.23,225351,8793826255000.0,,38240,0.1697
2010-11-15,STCINDIA,EQ,386.75,388.95,389.0,376.75,383.0,382.3,381.42,88169,3362905575000.0,,22986,0.2607
2010-11-16,STCINDIA,EQ,382.3,382.3,387.0,370.55,373.4,372.85,377.37,93566,3530941275000.0,,26187,0.2799
2010-11-18,STCINDIA,EQ,372.85,379.0,379.0,361.05,363.1,367.05,368.26,76491,2816826675000.0,,21627,0.2827
2010-11-19,STCINDIA,EQ,367.05,361.0,368.05,354.8,355.95,358.7,362.47,71371,2586972110000.0,,28232,0.3956
2010-11-22,STCINDIA,EQ,358.7,360.85,378.9,356.15,366.25,366.0,369.26,204214,7540875659999.999,,25432,0.1245
2010-11-23,STCINDIA,EQ,366.0,366.0,366.0,348.8,356.0,354.75,355.35,112587,4000826845000.0005,,22085,0.1962
2010-11-24,STCINDIA,EQ,354.75,356.2,370.0,355.0,358.5,356.65,361.96,120426,4358885454999.9995,,17129,0.14220000000000002
2010-11-25,STCINDIA,EQ,356.65,358.5,360.5,339.5,340.1,343.7,349.74,95034,3323710555000.0,,36179,0.38070000000000004
2010-11-26,STCINDIA,EQ,343.7,345.2,348.0,295.0,311.7,310.1,315.36,163181,5146107155000.0,,41007,0.25129999999999997
2010-11-29,STCINDIA,EQ,310.1,316.4,319.45,298.0,308.1,308.75,308.27,67714,2087415585000.0002,,18595,0.2746
2010-11-30,STCINDIA,EQ,308.75,309.9,324.0,292.6,318.7,316.25,313.79,132229,4149276835000.0,,23193,0.1754
2010-12-01,STCINDIA,EQ,316.25,319.2,363.9,316.25,347.0,344.35,348.62,658070,22941539125000.0,,55562,0.0844
2010-12-02,STCINDIA,EQ,344.35,360.0,364.4,348.15,353.0,351.55,355.04,272987,9692230075000.0,,41100,0.1506
2010-12-03,STCINDIA,EQ,351.55,350.5,358.4,341.2,346.1,345.2,348.99,184292,6431603145000.0,,27434,0.1489
2010-12-06,STCINDIA,EQ,345.2,348.8,354.75,328.0,342.0,339.4,345.58,140277,4847659280000.0,,24157,0.1722
2010-12-07,STCINDIA,EQ,339.4,340.0,341.0,327.9,334.0,333.15,334.64,60666,2030115445000.0,,13561,0.22350000000000003
2010-12-08,STCINDIA,EQ,333.15,331.95,332.0,321.0,323.65,325.85,326.27,71488,2332455590000.0,,19121,0.2675
2010-12-09,STCINDIA,EQ,325.85,325.0,325.0,301.0,304.0,303.55,311.31,85757,2669725105000.0,,28789,0.3357
2010-12-10,STCINDIA,EQ,303.55,303.6,314.9,292.0,310.15,311.1,307.53,112643,3464066160000.0,,21552,0.1913
2010-12-13,STCINDIA,EQ,311.1,314.4,326.9,307.25,315.75,315.6,316.46,123937,3922076254999.9995,,18064,0.1458
2010-12-14,STCINDIA,EQ,315.6,325.0,354.85,316.55,320.0,320.45,321.39,97280,3126439105000.0,,18274,0.18780000000000002
2010-12-15,STCINDIA,EQ,320.45,325.65,325.65,311.0,315.0,313.15,317.54,63763,2024757900000.0,,17437,0.2735
2010-12-16,STCINDIA,EQ,313.15,318.0,318.0,310.0,313.0,313.15,313.27,45491,1425089605000.0,,14353,0.3155
2010-12-20,STCINDIA,EQ,313.15,315.0,325.5,310.1,319.75,317.45,319.85,107296,3431861185000.0,,17076,0.1591
2010-12-21,STCINDIA,EQ,317.45,318.0,325.0,317.05,318.0,319.05,321.49,116802,3755093425000.0,,24858,0.21280000000000002
2010-12-22,STCINDIA,EQ,319.05,321.9,327.0,318.0,320.0,320.35,322.55,123865,3995305129999.9995,,19640,0.1586
2010-12-23,STCINDIA,EQ,320.35,321.0,325.9,318.1,319.5,319.15,321.48,73682,2368745155000.0,,11450,0.15539999999999998
2010-12-24,STCINDIA,EQ,319.15,320.5,320.5,315.05,316.3,316.9,317.44,36060,1144686215000.0,,11368,0.3153
2010-12-27,STCINDIA,EQ,316.9,319.25,325.5,314.9,315.15,316.0,320.02,82321,2634477570000.0,,14824,0.1801
2010-12-28,STCINDIA,EQ,316.0,318.5,331.85,316.5,321.5,321.7,325.27,277570,9028523985000.0,,25334,0.0913
2010-12-29,STCINDIA,EQ,321.7,323.2,327.3,321.0,322.0,322.15,323.83,58333,1888975914999.9998,,14341,0.2458
2010-12-30,STCINDIA,EQ,322.15,326.0,346.8,325.3,335.5,335.7,339.22,1137565,38588341510000.0,,70490,0.062000000000000006
2010-12-31,STCINDIA,EQ,335.7,337.05,340.55,328.0,333.55,333.0,335.18,215384,7219297470000.0,,31753,0.1474
2011-01-03,STCINDIA,EQ,333.0,335.8,344.0,335.65,338.85,338.45,339.71,174319,5921846405000.0,,28529,0.1637
2011-01-04,STCINDIA,EQ,338.45,341.95,342.35,333.5,334.65,334.85,337.35,61863,2086965610000.0002,,16566,0.26780000000000004
2011-01-05,STCINDIA,EQ,334.85,334.0,342.0,327.95,332.5,333.2,334.72,225566,7550224625000.0,,15871,0.0704
2011-01-06,STCINDIA,EQ,333.2,336.8,336.8,322.6,328.0,327.35,328.4,84584,2777743525000.0,,18442,0.218
2011-01-07,STCINDIA,EQ,327.35,329.0,329.0,315.0,316.0,316.45,320.68,65889,2112923260000.0002,,18151,0.2755
2011-01-10,STCINDIA,EQ,316.45,318.9,318.9,302.0,302.1,304.25,308.19,64927,2000960380000.0,,16825,0.2591
2011-01-11,STCINDIA,EQ,304.25,292.25,307.45,289.0,291.35,291.1,296.99,85745,2546541880000.0,,34333,0.4004
2011-01-12,STCINDIA,EQ,291.1,285.35,298.8,285.35,297.0,296.85,293.94,94634,2781643170000.0,,20727,0.219
2011-01-13,STCINDIA,EQ,296.85,298.8,305.0,293.0,298.9,296.95,298.0,68160,2031135925000.0,,16143,0.2368
2011-01-14,STCINDIA,EQ,296.95,281.25,298.95,281.25,290.0,290.7,292.73,49987,1463276635000.0,,16400,0.3281
2011-01-17,STCINDIA,EQ,290.7,282.5,291.5,277.25,278.7,279.25,282.49,42916,1212345865000.0,,17972,0.41880000000000006
2011-01-18,STCINDIA,EQ,279.25,271.25,286.0,271.25,284.0,283.6,282.22,46013,1298556660000.0,,13380,0.2908
2011-01-19,STCINDIA,EQ,283.6,284.0,296.5,281.7,284.5,284.3,290.12,157260,4562372505000.0,,23405,0.14880000000000002
2011-01-20,STCINDIA,EQ,284.3,283.0,292.0,279.0,286.8,288.45,285.65,90358,2581039805000.0,,12556,0.139
2011-01-21,STCINDIA,EQ,288.45,289.8,291.95,281.0,283.1,285.45,286.62,94321,2703464555000.0,,17197,0.18230000000000002
