Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-10-04,SUJANAUNI,EQ,9.35,9.55,11.0,9.3,10.55,10.75,10.44,1085644,1133005185000.0,,404505,0.3726
2010-10-05,SUJANAUNI,EQ,10.75,10.8,11.75,10.35,10.4,10.45,10.99,2030489,2231778415000.0,,790100,0.3891
2010-10-06,SUJANAUNI,EQ,10.45,10.9,10.9,10.35,10.4,10.4,10.51,371588,390579635000.0,,256179,0.6894
2010-10-07,SUJANAUNI,EQ,10.4,10.85,10.85,9.9,10.1,10.0,10.42,917427,956382305000.0001,,471667,0.5141
2010-10-08,SUJANAUNI,EQ,10.0,10.3,10.8,9.5,9.85,9.65,10.07,1619128,1630326915000.0,,581176,0.3589
2010-10-11,SUJANAUNI,EQ,9.65,11.4,11.4,9.8,9.8,9.9,10.05,431792,433936825000.0,,295074,0.6834
2010-10-12,SUJANAUNI,EQ,9.9,9.95,10.05,9.8,9.8,9.9,9.92,443495,439874384999.99994,,370315,0.835
2010-10-13,SUJANAUNI,EQ,9.9,10.0,10.05,9.7,9.75,9.7,9.87,253909,250633450000.0,,202369,0.797
2010-10-14,SUJANAUNI,EQ,9.7,9.95,10.4,9.65,9.7,9.7,9.97,573137,571368975000.0,,286060,0.4991
2010-10-15,SUJANAUNI,EQ,9.7,9.5,10.0,9.5,9.7,9.75,9.86,343846,339198040000.0,,246930,0.7181000000000001
2010-10-18,SUJANAUNI,EQ,9.75,9.95,9.95,9.65,9.75,9.7,9.78,207167,202560390000.0,,122729,0.5924
2010-10-19,SUJANAUNI,EQ,9.7,9.95,9.95,9.5,9.6,9.6,9.74,161845,157665985000.0,,83460,0.5157
2010-10-20,SUJANAUNI,EQ,9.6,9.6,9.7,9.3,9.35,9.4,9.52,111912,106503120000.0,,91360,0.8164
2010-10-21,SUJANAUNI,EQ,9.4,9.8,10.75,9.35,10.1,10.25,10.21,828191,845947960000.0,,421932,0.5095000000000001
2010-10-22,SUJANAUNI,EQ,10.25,10.35,10.5,10.0,10.05,10.05,10.2,428758,437369980000.0,,225955,0.527
2010-10-25,SUJANAUNI,EQ,10.05,10.2,10.45,10.05,10.1,10.1,10.23,353769,361958180000.0,,244402,0.6909000000000001
2010-10-26,SUJANAUNI,EQ,10.1,10.4,10.45,9.9,9.95,9.95,10.09,190336,192061990000.0,,170342,0.895
2010-10-27,SUJANAUNI,EQ,9.95,10.35,10.35,9.75,10.0,9.95,10.08,364929,367676060000.0,,273431,0.7493000000000001
2010-10-28,SUJANAUNI,EQ,9.95,10.3,10.3,9.8,9.9,9.85,10.0,170023,170103860000.0,,97159,0.5714
