Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-10-04,SUNDRMBRAK,EQ,220.3,220.7,224.7,217.55,221.75,218.55,219.43,981,21526535000.0,,331,0.33740000000000003
2010-10-05,SUNDRMBRAK,EQ,218.55,210.0,226.0,210.0,224.6,224.05,222.6,1636,36417475000.0,,1350,0.8251999999999999
2010-10-06,SUNDRMBRAK,EQ,224.05,218.65,224.05,218.65,221.1,221.2,221.96,696,15448640000.0,,611,0.8779000000000001
2010-10-07,SUNDRMBRAK,EQ,221.2,221.0,223.95,218.5,220.0,219.85,220.49,936,20637750000.0,,843,0.9006000000000001
2010-10-08,SUNDRMBRAK,EQ,219.85,219.05,221.0,217.0,218.0,217.25,217.95,2188,47688310000.0,,1364,0.6234000000000001
2010-10-11,SUNDRMBRAK,EQ,217.25,218.15,218.95,216.0,216.1,216.2,217.12,1552,33696909999.999996,,1210,0.7796
2010-10-12,SUNDRMBRAK,EQ,216.2,217.0,219.8,216.2,218.5,218.5,218.35,1260,27512159999.999996,,1022,0.8111
2010-10-13,SUNDRMBRAK,EQ,218.5,220.0,221.0,218.55,220.0,220.0,220.31,1513,33332700000.0,,1310,0.8658
2010-10-14,SUNDRMBRAK,EQ,220.0,221.0,224.8,218.2,218.2,219.05,222.02,1423,31593425000.0,,1080,0.7590000000000001
2010-10-15,SUNDRMBRAK,EQ,219.05,218.1,222.65,217.0,222.65,218.5,218.17,886,19329560000.0,,755,0.8521
2010-10-18,SUNDRMBRAK,EQ,218.5,217.0,219.85,215.0,215.0,215.3,215.93,932,20124880000.0,,768,0.8240000000000001
2010-10-19,SUNDRMBRAK,EQ,215.3,219.95,224.0,219.95,223.0,222.4,222.15,1626,36121140000.0,,1491,0.917
2010-10-20,SUNDRMBRAK,EQ,222.4,219.0,223.95,216.3,221.0,221.25,221.8,1837,40744820000.0,,1286,0.7001000000000001
