Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-10-04,SUNDRMFAST,EQ,65.75,66.45,66.45,64.2,65.0,65.0,65.03,56259,365866770000.0,,38581,0.6858
2010-10-05,SUNDRMFAST,EQ,65.0,65.0,66.6,62.5,64.5,64.5,64.44,207196,1335073615000.0,,120710,0.5826
2010-10-06,SUNDRMFAST,EQ,64.5,61.05,66.25,61.05,66.15,66.05,65.39,98777,645946635000.0,,77864,0.7883
2010-10-07,SUNDRMFAST,EQ,66.05,65.0,67.0,63.5,64.65,64.85,65.62,92370,606174100000.0,,57986,0.6278
2010-10-08,SUNDRMFAST,EQ,64.85,65.45,65.5,63.5,64.2,63.9,64.27,71694,460781115000.00006,,53508,0.7463
2010-10-11,SUNDRMFAST,EQ,63.9,64.1,65.1,63.15,63.55,63.9,64.01,30987,198342850000.0,,19733,0.6368
2010-10-12,SUNDRMFAST,EQ,63.9,64.3,64.6,63.1,64.5,64.4,64.0,78379,501653759999.99994,,68855,0.8785
2010-10-13,SUNDRMFAST,EQ,64.4,64.0,65.25,63.6,65.0,64.3,64.08,173329,1110691790000.0,,146928,0.8477
2010-10-14,SUNDRMFAST,EQ,64.3,65.9,70.0,63.75,65.8,65.75,67.51,630035,4253221150000.0,,280180,0.4447
2010-10-15,SUNDRMFAST,EQ,65.75,67.8,70.0,65.25,68.3,67.5,68.78,459411,3159963490000.0,,223810,0.4872
2010-10-18,SUNDRMFAST,EQ,67.5,67.1,68.75,66.05,67.0,67.3,67.35,78258,527077805000.0,,47604,0.6083
2010-10-19,SUNDRMFAST,EQ,67.3,68.6,68.6,66.0,66.3,66.85,67.58,307100,2075300395000.0,,254602,0.8291
2010-10-20,SUNDRMFAST,EQ,66.85,66.0,67.1,65.4,65.5,65.8,66.08,143371,947413075000.0,,124042,0.8652
2010-10-21,SUNDRMFAST,EQ,65.8,65.5,68.4,62.2,66.1,66.15,67.06,137599,922755405000.0001,,98788,0.7179000000000001
2010-10-22,SUNDRMFAST,EQ,66.15,67.2,68.25,65.5,68.0,66.5,66.31,168106,1114730310000.0,,138978,0.8267
2010-10-25,SUNDRMFAST,EQ,66.5,67.5,68.8,65.1,66.8,67.2,67.3,146278,984484890000.0,,110121,0.7528
2010-10-26,SUNDRMFAST,EQ,67.2,67.9,67.9,65.35,65.35,65.55,66.28,94384,625578105000.0,,74862,0.7931999999999999
2010-10-27,SUNDRMFAST,EQ,65.55,65.5,66.45,64.0,65.4,65.4,65.36,99330,649241195000.0,,76970,0.7748999999999999
2010-10-28,SUNDRMFAST,EQ,65.4,65.85,67.5,64.25,66.1,66.1,66.04,262469,1733263095000.0,,131089,0.4994
2010-10-29,SUNDRMFAST,EQ,66.1,67.9,68.0,62.0,63.25,63.1,63.73,216802,1381613260000.0,,151143,0.6970999999999999
2010-11-01,SUNDRMFAST,EQ,63.1,64.9,65.9,63.0,63.75,63.35,63.93,126515,808785810000.0,,84106,0.6648000000000001
2010-11-02,SUNDRMFAST,EQ,63.35,63.5,64.85,62.6,64.3,64.25,63.57,169225,1075733019999.9999,,109714,0.6483
2010-11-03,SUNDRMFAST,EQ,64.25,64.9,65.9,63.7,64.25,64.0,64.28,120799,776478630000.0,,91929,0.761
2010-11-04,SUNDRMFAST,EQ,64.0,63.5,66.6,63.5,66.0,65.8,65.77,265934,1749169285000.0002,,205323,0.7721
2010-11-05,SUNDRMFAST,EQ,65.8,66.0,67.35,66.0,67.0,66.8,66.85,57903,387063315000.0,,50253,0.8679000000000001
2010-11-08,SUNDRMFAST,EQ,66.8,67.0,68.0,65.55,67.55,67.05,67.0,246838,1653874540000.0,,199953,0.8101
2010-11-09,SUNDRMFAST,EQ,67.05,68.0,72.25,66.05,69.35,69.5,70.11,1980899,13888950965000.0,,865269,0.4368
2010-11-10,SUNDRMFAST,EQ,69.5,70.0,74.95,68.0,74.0,73.85,73.04,1335122,9751106635000.0,,691167,0.5177
2010-11-11,SUNDRMFAST,EQ,73.85,73.1,75.0,71.25,71.6,71.75,73.08,393017,2872141565000.0,,275785,0.7017
2010-11-12,SUNDRMFAST,EQ,71.75,71.6,76.4,70.9,71.25,71.85,74.24,1551969,11521915880000.0,,622802,0.40130000000000005
2010-11-15,SUNDRMFAST,EQ,71.85,73.0,74.9,72.0,72.55,72.2,73.26,307031,2249355110000.0,,133632,0.43520000000000003
2010-11-16,SUNDRMFAST,EQ,72.2,71.3,72.9,68.0,68.8,69.05,70.89,219396,1555326525000.0,,131067,0.5974
2010-11-18,SUNDRMFAST,EQ,69.05,69.5,70.7,65.0,67.6,67.35,66.63,282047,1879162450000.0,,143060,0.5072
2010-11-19,SUNDRMFAST,EQ,67.35,65.2,68.95,65.0,66.15,66.35,67.02,288739,1935141710000.0002,,154700,0.5357999999999999
2010-11-22,SUNDRMFAST,EQ,66.35,67.0,69.25,66.0,66.8,66.7,67.44,353728,2385708810000.0,,161868,0.4576
