Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2014-09-26,SUPERHOUSE,EQ,241.1,258.0,274.4,231.0,256.0,252.9,249.85,11847,296001860000.0,171,3657,0.30870000000000003
2014-09-29,SUPERHOUSE,EQ,252.9,273.15,277.7,264.0,272.0,273.65,271.14,32930,892875669999.9999,569,19758,0.6
2014-09-30,SUPERHOUSE,EQ,273.65,275.9,284.3,272.85,278.1,278.95,279.48,19543,546184459999.99994,278,11539,0.5904
2014-10-01,SUPERHOUSE,EQ,278.95,304.0,304.0,281.1,286.25,289.45,288.08,21008,605206585000.0,379,12417,0.5911
2014-10-07,SUPERHOUSE,EQ,289.45,291.0,296.0,276.05,280.0,280.6,289.28,15021,434522155000.0,350,11002,0.7323999999999999
2014-10-08,SUPERHOUSE,EQ,280.6,280.0,282.0,267.0,269.95,268.45,271.99,9196,250125229999.99997,200,7195,0.7824
2014-10-09,SUPERHOUSE,EQ,268.45,265.1,281.9,265.1,277.0,279.0,276.47,13432,371351825000.0,305,10761,0.8011
2014-10-10,SUPERHOUSE,EQ,279.0,277.85,277.85,267.0,271.05,270.6,271.81,15281,415350105000.0,242,11489,0.7518000000000001
2014-10-13,SUPERHOUSE,EQ,270.6,273.7,277.0,270.9,273.25,274.6,274.74,6689,183772735000.0,144,4370,0.6533
2014-10-14,SUPERHOUSE,EQ,274.6,275.0,277.65,267.0,270.0,269.55,270.76,16537,447748295000.0,142,13175,0.7967000000000001
2014-10-16,SUPERHOUSE,EQ,269.55,269.55,274.0,243.0,244.0,246.35,258.02,17481,451043980000.0,338,13336,0.7629000000000001
2014-10-17,SUPERHOUSE,EQ,246.35,245.0,249.8,230.0,233.0,236.0,239.39,18931,453190309999.99994,370,15285,0.8074
2014-10-20,SUPERHOUSE,EQ,236.0,239.0,247.0,234.0,244.7,244.25,241.82,11501,278113940000.0,371,7053,0.6133
2014-10-21,SUPERHOUSE,EQ,244.25,245.0,247.5,241.0,246.8,245.3,245.25,6644,162941390000.0,159,4163,0.6265999999999999
2014-10-22,SUPERHOUSE,EQ,245.3,240.1,253.65,240.1,249.0,251.95,249.72,2744,68522980000.00001,117,2120,0.7726000000000001
2014-10-23,SUPERHOUSE,EQ,251.95,255.0,258.7,254.0,255.0,255.4,255.97,2677,68523169999.99999,82,1949,0.7281000000000001
2014-10-27,SUPERHOUSE,EQ,255.4,257.0,262.0,253.6,257.0,257.1,257.08,4418,113578660000.00002,91,3919,0.8871
2014-10-28,SUPERHOUSE,EQ,257.1,254.05,257.0,246.1,249.0,249.85,249.45,7759,193551920000.0,212,5284,0.6809999999999999
2014-10-29,SUPERHOUSE,EQ,249.85,258.0,258.0,246.25,248.05,249.45,249.48,6203,154753975000.0,160,4389,0.7076000000000001
2014-10-30,SUPERHOUSE,EQ,249.45,246.0,253.7,246.0,250.0,250.35,250.03,19401,485076420000.0,129,18430,0.9500000000000001
2014-10-31,SUPERHOUSE,EQ,250.35,251.85,252.95,241.1,249.95,246.65,249.07,5766,143612190000.0,109,4840,0.8394
2014-11-03,SUPERHOUSE,EQ,246.65,250.0,250.8,238.1,249.95,250.1,248.94,11226,279458375000.0,197,9103,0.8109000000000001
2014-11-05,SUPERHOUSE,EQ,250.1,253.5,253.5,242.1,253.2,252.15,250.14,20600,515287765000.00006,231,19851,0.9636
2014-11-07,SUPERHOUSE,EQ,252.15,253.0,264.3,250.05,264.0,262.85,260.25,17230,448414355000.0,274,15565,0.9034000000000001
2014-11-10,SUPERHOUSE,EQ,262.85,264.9,273.0,264.9,272.5,270.7,269.73,17557,473564920000.0,421,13267,0.7556999999999999
2014-11-11,SUPERHOUSE,EQ,270.7,274.0,277.0,265.0,271.0,270.3,271.41,8079,219269065000.0,230,6591,0.8158
2014-11-12,SUPERHOUSE,EQ,270.3,263.1,274.0,230.0,258.0,259.4,266.21,15625,415957325000.0,305,11949,0.7647
