Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-10-04,SUPERSPIN,EQ,16.85,16.8,17.05,16.55,16.55,16.65,16.71,34116,57017035000.0,,25828,0.7571
2010-10-05,SUPERSPIN,EQ,16.65,16.7,17.25,16.65,16.65,16.8,16.94,26488,44882820000.0,,16426,0.6201
2010-10-06,SUPERSPIN,EQ,16.8,16.9,16.95,16.7,16.7,16.75,16.8,39719,66719385000.0,,32401,0.8158
2010-10-07,SUPERSPIN,EQ,16.75,16.6,17.1,16.4,16.5,16.5,16.77,72294,121247580000.0,,56820,0.7859999999999999
2010-10-08,SUPERSPIN,EQ,16.5,16.8,17.2,16.45,16.8,16.85,16.85,55769,93996515000.0,,44694,0.8014
2010-10-11,SUPERSPIN,EQ,16.85,16.8,17.0,16.5,16.6,16.6,16.75,44642,74782240000.0,,37860,0.8481000000000001
2010-10-12,SUPERSPIN,EQ,16.6,16.7,17.0,16.6,16.9,16.85,16.7,18357,30649500000.0,,12264,0.6681
2010-10-13,SUPERSPIN,EQ,16.85,16.1,19.15,16.1,17.95,17.9,18.16,340627,618419405000.0,,155674,0.457
2010-10-14,SUPERSPIN,EQ,17.9,18.4,18.4,17.35,17.4,17.45,17.74,61587,109247239999.99998,,39228,0.637
2010-10-15,SUPERSPIN,EQ,17.45,17.25,17.75,16.8,16.95,16.9,17.26,39989,69019790000.0,,27856,0.6966
2010-10-18,SUPERSPIN,EQ,16.9,16.75,17.7,16.6,17.2,17.1,17.0,36762,62482465000.0,,24218,0.6587999999999999
2010-10-19,SUPERSPIN,EQ,17.1,17.2,18.9,17.15,17.8,17.8,17.88,134659,240807845000.00003,,80072,0.5946
2010-10-20,SUPERSPIN,EQ,17.8,17.9,17.95,17.3,17.45,17.45,17.61,21650,38117840000.0,,13736,0.6345000000000001
2010-10-21,SUPERSPIN,EQ,17.45,17.8,18.0,17.3,17.5,17.4,17.81,46199,82264230000.0,,35823,0.7754000000000001
2010-10-22,SUPERSPIN,EQ,17.4,18.3,18.3,17.5,17.95,17.7,17.83,38583,68787905000.0,,28696,0.7437
2010-10-25,SUPERSPIN,EQ,17.7,18.1,18.45,17.5,18.05,18.2,18.16,153062,277984130000.0,,81647,0.5334000000000001
2010-10-26,SUPERSPIN,EQ,18.2,18.1,19.15,17.8,18.5,18.45,18.6,147061,273514804999.99997,,76487,0.5201
2010-10-27,SUPERSPIN,EQ,18.45,19.15,19.15,17.95,18.3,18.05,18.4,69726,128280989999.99998,,48307,0.6928
2010-10-28,SUPERSPIN,EQ,18.05,18.1,20.4,18.1,19.2,19.05,19.5,428842,836181900000.0,,192289,0.4484
2010-10-29,SUPERSPIN,EQ,19.05,19.1,19.6,17.8,18.35,18.15,18.68,128805,240655890000.0,,66093,0.5131
2010-11-01,SUPERSPIN,EQ,18.15,18.5,18.95,18.4,18.4,18.45,18.66,27725,51734645000.0,,25270,0.9115000000000001
2010-11-02,SUPERSPIN,EQ,18.45,18.75,19.45,18.5,18.9,18.7,18.98,43097,81789995000.0,,25379,0.5889
2010-11-03,SUPERSPIN,EQ,18.7,18.6,19.5,18.6,19.0,18.95,19.07,114165,217763220000.00003,,90891,0.7961
2010-11-04,SUPERSPIN,EQ,18.95,19.45,19.45,17.85,18.1,18.1,18.56,134893,250315090000.0,,89073,0.6603
2010-11-05,SUPERSPIN,EQ,18.1,18.95,18.95,16.95,17.25,17.3,17.44,151540,264253470000.00003,,109360,0.7217
2010-11-08,SUPERSPIN,EQ,17.3,17.65,18.25,17.2,17.85,17.85,17.85,123559,220564554999.99997,,93036,0.753
2010-11-09,SUPERSPIN,EQ,17.85,18.4,18.4,17.7,18.0,18.05,18.03,77782,140233790000.0,,61154,0.7862
2010-11-10,SUPERSPIN,EQ,18.05,18.45,18.45,17.5,17.8,17.6,18.02,96618,174113935000.0,,77920,0.8065000000000001
2010-11-11,SUPERSPIN,EQ,17.6,18.1,18.7,17.8,17.8,17.95,18.29,190793,349010705000.0,,100858,0.5286
2010-11-12,SUPERSPIN,EQ,17.95,18.35,18.35,17.15,17.3,17.5,17.58,81742,143733120000.0,,52809,0.6459999999999999
2010-11-15,SUPERSPIN,EQ,17.5,17.05,18.0,17.0,17.15,17.1,17.27,23482,40554590000.0,,17557,0.7477
2010-11-16,SUPERSPIN,EQ,17.1,16.5,17.9,15.65,15.85,15.95,16.14,116347,187737505000.0,,89384,0.7683
2010-11-18,SUPERSPIN,EQ,15.95,16.0,16.5,15.0,15.6,15.55,15.51,71932,111582835000.00002,,33316,0.4632
2010-11-19,SUPERSPIN,EQ,15.55,14.8,16.4,14.8,15.0,15.1,15.27,34235,52279185000.0,,23311,0.6809000000000001
2010-11-22,SUPERSPIN,EQ,15.1,14.75,15.8,14.75,15.45,15.35,15.43,11163,17226705000.0,,4727,0.42350000000000004
2010-11-23,SUPERSPIN,EQ,15.35,14.6,15.8,14.6,14.95,15.0,15.16,54007,81879185000.0,,40201,0.7444
2010-11-24,SUPERSPIN,EQ,15.0,15.0,15.6,14.95,15.0,15.05,15.13,11517,17423835000.0,,8035,0.6977
2010-11-25,SUPERSPIN,EQ,15.05,14.2,15.4,14.2,15.1,15.1,15.05,19424,29239380000.0,,15740,0.8103
2010-11-26,SUPERSPIN,EQ,15.1,14.2,14.55,12.5,13.65,13.8,13.87,48016,66603200000.0,,37148,0.7737
2010-11-29,SUPERSPIN,EQ,13.8,12.5,14.45,12.5,14.45,14.25,14.06,17898,25171980000.0,,15005,0.8384
2010-11-30,SUPERSPIN,EQ,14.25,13.0,14.6,13.0,14.3,14.4,14.18,45654,64753090000.0,,15009,0.32880000000000004
2010-12-01,SUPERSPIN,EQ,14.4,13.55,15.5,13.55,15.0,15.0,15.01,29053,43616635000.0,,19116,0.658
2010-12-02,SUPERSPIN,EQ,15.0,15.0,15.45,14.7,14.75,14.75,15.01,23929,35920065000.0,,19564,0.8176000000000001
