Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-10-04,SUPRAJIT,EQ,21.85,22.6,22.6,21.85,21.9,21.95,22.16,54239,120197625000.0,,36500,0.6729
2010-10-05,SUPRAJIT,EQ,21.95,22.6,22.6,21.35,22.0,22.0,22.03,37282,82132820000.0,,27947,0.7495999999999999
2010-10-06,SUPRAJIT,EQ,22.0,22.35,22.5,22.0,22.1,22.1,22.21,41376,91891400000.0,,36306,0.8775000000000001
2010-10-07,SUPRAJIT,EQ,22.1,20.25,22.4,20.25,21.65,21.8,21.94,99025,217297770000.00003,,95009,0.9594
2010-10-08,SUPRAJIT,EQ,21.8,20.0,22.25,20.0,22.0,21.8,21.8,45343,98846915000.0,,39159,0.8636
2010-10-11,SUPRAJIT,EQ,21.8,22.3,22.3,21.65,21.75,21.75,21.96,42683,93751710000.0,,27819,0.6518
2010-10-12,SUPRAJIT,EQ,21.75,22.0,22.95,21.6,21.75,21.9,21.88,36287,79408385000.0,,25546,0.7040000000000001
2010-10-13,SUPRAJIT,EQ,21.9,23.95,23.95,21.5,21.9,21.8,21.78,29815,64936590000.0,,18240,0.6118
2010-10-14,SUPRAJIT,EQ,21.8,22.4,22.4,21.5,21.95,21.85,21.95,25538,56054760000.0,,21230,0.8312999999999999
2010-10-15,SUPRAJIT,EQ,21.85,22.45,22.45,21.4,21.4,21.45,21.56,20371,43929485000.0,,15352,0.7536
2010-10-18,SUPRAJIT,EQ,21.45,21.05,21.85,21.05,21.1,21.25,21.35,13330,28456720000.0,,9615,0.7212999999999999
2010-10-19,SUPRAJIT,EQ,21.25,23.95,23.95,21.15,21.5,21.5,21.49,33161,71274910000.0,,26471,0.7983
2010-10-20,SUPRAJIT,EQ,21.5,22.2,22.2,21.3,21.55,21.4,21.56,15012,32368615000.000004,,10218,0.6807
2010-10-21,SUPRAJIT,EQ,21.4,22.5,22.5,21.3,21.4,21.5,21.6,21465,46360025000.0,,20040,0.9336
2010-10-22,SUPRAJIT,EQ,21.5,22.7,23.5,21.5,21.9,21.9,22.19,185861,412460605000.0,,106564,0.5734
2010-10-25,SUPRAJIT,EQ,21.9,20.5,23.4,20.5,23.0,22.9,22.82,207752,474128950000.0,,124134,0.5975
2010-10-26,SUPRAJIT,EQ,22.9,23.95,23.95,22.65,23.1,23.1,23.02,154609,355975325000.0,,96767,0.6259
2010-10-27,SUPRAJIT,EQ,23.1,24.45,24.45,22.7,22.85,22.95,23.02,87331,201067725000.0,,55034,0.6302000000000001
2010-10-28,SUPRAJIT,EQ,22.95,24.45,24.45,22.6,22.8,22.7,23.0,123141,283276640000.0,,76659,0.6225
2010-10-29,SUPRAJIT,EQ,22.7,23.2,23.2,21.85,22.0,22.15,22.44,42874,96189015000.0,,32419,0.7561
2010-11-01,SUPRAJIT,EQ,22.15,22.95,22.95,22.3,22.3,22.55,22.51,44716,100638155000.0,,31803,0.7112
2010-11-02,SUPRAJIT,EQ,22.55,22.3,22.95,22.0,22.4,22.35,22.38,43227,96756315000.0,,32659,0.7555
2010-11-03,SUPRAJIT,EQ,22.35,22.4,22.75,22.0,22.4,22.15,22.48,41430,93128060000.0,,33477,0.8079999999999999
2010-11-04,SUPRAJIT,EQ,22.15,22.35,22.75,22.0,22.15,22.25,22.28,19890,44321035000.0,,17177,0.8636
2010-11-05,SUPRAJIT,EQ,22.25,22.6,23.0,22.0,22.2,22.2,22.48,42497,95533800000.0,,31924,0.7512000000000001
2010-11-08,SUPRAJIT,EQ,22.2,22.7,22.7,22.15,22.2,22.3,22.42,28048,62883869999.99999,,22136,0.7892
2010-11-09,SUPRAJIT,EQ,22.3,22.5,22.5,21.95,22.2,22.05,22.18,46061,102173765000.0,,37106,0.8056000000000001
2010-11-10,SUPRAJIT,EQ,22.05,22.0,22.35,22.0,22.05,22.15,22.15,38788,85918065000.0,,29191,0.7526
2010-11-11,SUPRAJIT,EQ,22.15,22.25,23.7,22.2,23.5,22.95,23.01,160078,368327170000.0,,98958,0.6182
2010-11-12,SUPRAJIT,EQ,22.95,24.1,26.4,24.0,24.95,24.85,25.38,887118,2251848300000.0,,510367,0.5753
2010-11-15,SUPRAJIT,EQ,24.85,26.0,27.75,24.0,24.8,24.6,25.15,193458,486517525000.0,,116710,0.6033
2010-11-16,SUPRAJIT,EQ,24.6,25.05,25.2,23.55,23.85,23.9,24.36,78865,192125725000.0,,55282,0.701
2010-11-18,SUPRAJIT,EQ,23.9,25.2,25.2,21.9,23.2,23.3,23.15,63604,147263895000.0,,39497,0.621
2010-11-19,SUPRAJIT,EQ,23.3,23.9,23.9,22.75,22.75,23.05,23.34,63987,149339670000.0,,47599,0.7439
