Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-10-04,SUPREMEIND,EQ,795.3,810.0,825.0,803.25,808.35,808.9,814.84,119365,9726390485000.0,,41104,0.3444
2010-10-05,SUPREMEIND,EQ,808.9,814.9,814.9,790.15,798.6,795.85,799.14,52620,4205096654999.9995,,25330,0.4814
2010-10-06,SUPREMEIND,EQ,795.85,805.25,808.0,795.8,805.0,803.85,800.9,34214,2740215910000.0,,19666,0.5748
2010-10-07,SUPREMEIND,EQ,803.85,809.95,836.0,797.25,813.15,811.75,822.61,109467,9004911785000.0,,47600,0.43479999999999996
2010-10-08,SUPREMEIND,EQ,811.75,819.4,828.65,809.05,820.0,818.15,817.25,32137,2626405655000.0,,15004,0.4669
2010-10-11,SUPREMEIND,EQ,818.15,828.0,840.0,823.0,827.1,826.5,828.35,31233,2587194160000.0,,19830,0.6349
2010-10-12,SUPREMEIND,EQ,826.5,826.25,838.0,803.2,814.8,813.95,818.5,43608,3569332465000.0,,28270,0.6483
2010-10-13,SUPREMEIND,EQ,813.95,825.0,825.0,801.0,811.0,809.25,811.48,24607,1996816730000.0,,14827,0.6026
2010-10-14,SUPREMEIND,EQ,809.25,807.05,817.95,796.2,799.0,800.5,806.79,26602,2146221489999.9998,,10104,0.37979999999999997
2010-10-15,SUPREMEIND,EQ,800.5,815.0,820.0,800.1,806.0,804.65,807.97,29255,2363704445000.0,,13711,0.4687
2010-10-18,SUPREMEIND,EQ,804.65,164.0,165.0,155.0,160.15,159.6,159.44,81774,1303801260000.0,,39629,0.48460000000000003
2010-10-19,SUPREMEIND,EQ,159.6,163.45,169.2,157.0,161.8,161.45,164.42,409641,6735188320000.0,,120691,0.29460000000000003
2010-10-20,SUPREMEIND,EQ,161.45,164.4,165.0,158.1,158.5,159.35,162.17,138766,2250331655000.0,,79867,0.5756
2010-10-21,SUPREMEIND,EQ,159.35,160.0,160.0,155.0,156.0,155.65,156.79,64964,1018564660000.0,,40564,0.6244
2010-10-22,SUPREMEIND,EQ,155.65,158.0,158.0,150.5,152.6,153.1,153.74,65610,1008691315000.0,,44873,0.6839000000000001
2010-10-25,SUPREMEIND,EQ,153.1,158.0,158.0,150.5,151.0,151.4,153.05,66691,1020706210000.0,,45713,0.6854000000000001
2010-10-26,SUPREMEIND,EQ,151.4,153.8,153.8,146.5,149.5,149.85,149.47,56692,847395110000.0,,35808,0.6315999999999999
2010-10-27,SUPREMEIND,EQ,149.85,148.2,150.5,142.5,143.5,143.55,145.33,66700,969320100000.0,,46147,0.6919
2010-10-28,SUPREMEIND,EQ,143.55,144.0,147.45,142.1,144.0,143.2,144.65,40344,583583730000.0,,25405,0.6297
2010-10-29,SUPREMEIND,EQ,143.2,143.7,151.9,142.0,144.4,145.05,146.88,79602,1169168600000.0,,35856,0.4504
2010-11-01,SUPREMEIND,EQ,145.05,147.9,159.35,147.9,152.9,152.3,152.31,98480,1499932810000.0,,60240,0.6117
2010-11-02,SUPREMEIND,EQ,152.3,153.25,153.25,148.25,148.5,148.9,150.25,29428,442144625000.0,,18169,0.6174000000000001
2010-11-03,SUPREMEIND,EQ,148.9,150.9,151.95,149.0,150.65,150.3,150.06,28592,429041784999.99994,,21676,0.7581
2010-11-04,SUPREMEIND,EQ,150.3,150.5,152.0,146.0,147.95,147.9,148.32,40492,600586300000.0,,25229,0.6231
2010-11-05,SUPREMEIND,EQ,147.9,155.2,155.2,151.0,153.75,153.6,153.73,35863,551330520000.0,,25056,0.6987000000000001
2010-11-08,SUPREMEIND,EQ,153.6,155.0,155.0,149.1,153.85,153.75,153.44,46789,717920600000.0,,28127,0.6011
2010-11-09,SUPREMEIND,EQ,153.75,153.85,155.0,148.95,152.5,150.45,151.71,71566,1085731765000.0,,45786,0.6398
2010-11-10,SUPREMEIND,EQ,150.45,151.0,154.0,148.9,153.0,152.5,150.96,42812,646301960000.0,,26499,0.619
2010-11-11,SUPREMEIND,EQ,152.5,153.0,153.0,149.7,150.0,150.1,150.98,37934,572718415000.0,,25994,0.6851999999999999
2010-11-12,SUPREMEIND,EQ,150.1,150.0,151.0,146.0,146.4,146.75,147.97,34801,514955130000.0,,24264,0.6972
2010-11-15,SUPREMEIND,EQ,146.75,148.0,149.95,143.0,148.95,148.3,147.68,26683,394056365000.0,,18920,0.7091
2010-11-16,SUPREMEIND,EQ,148.3,149.2,150.4,146.45,150.0,149.3,148.46,83864,1245062930000.0,,69837,0.8327
2010-11-18,SUPREMEIND,EQ,149.3,150.0,150.9,145.5,149.0,148.2,147.81,46317,684625305000.0,,36036,0.778
2010-11-19,SUPREMEIND,EQ,148.2,149.05,149.05,146.45,148.0,147.4,147.78,49611,733130560000.0,,42019,0.8470000000000001
2010-11-22,SUPREMEIND,EQ,147.4,147.2,152.0,146.0,150.25,151.1,148.48,37529,557244225000.0,,32097,0.8553000000000001
2010-11-23,SUPREMEIND,EQ,151.1,151.0,151.0,146.6,148.0,148.0,148.41,62399,926083315000.0,,48753,0.7813
2010-11-24,SUPREMEIND,EQ,148.0,146.95,149.95,145.2,149.0,148.2,148.02,76300,1129363095000.0,,62213,0.8154000000000001
2010-11-25,SUPREMEIND,EQ,148.2,147.7,149.4,146.2,148.5,148.0,148.0,41629,616102615000.0,,37829,0.9087000000000001
2010-11-26,SUPREMEIND,EQ,148.0,146.75,153.2,141.1,150.35,151.65,147.68,173800,2566719110000.0,,125107,0.7198000000000001
2010-11-29,SUPREMEIND,EQ,151.65,153.75,155.0,148.0,148.1,148.85,150.74,30058,453098530000.0,,12287,0.40880000000000005
2010-11-30,SUPREMEIND,EQ,148.85,147.95,155.0,147.0,154.35,154.3,151.68,61659,935231315000.0,,51506,0.8353
2010-12-01,SUPREMEIND,EQ,154.3,154.6,156.0,150.1,150.1,151.85,153.98,27200,418838860000.0,,19287,0.7091
2010-12-02,SUPREMEIND,EQ,151.85,153.95,154.0,151.0,151.5,151.55,152.54,17004,259375125000.0,,12828,0.7544
2010-12-03,SUPREMEIND,EQ,151.55,152.0,153.2,150.0,153.0,151.6,151.35,17067,258309960000.0,,14565,0.8534
2010-12-06,SUPREMEIND,EQ,151.6,152.1,153.0,148.6,151.0,150.9,151.28,40961,619646910000.0,,33292,0.8128000000000001
2010-12-07,SUPREMEIND,EQ,150.9,152.95,153.0,150.3,150.55,151.1,151.48,30272,458569305000.0,,22182,0.7328
2010-12-08,SUPREMEIND,EQ,151.1,150.0,151.0,147.65,148.0,148.05,149.69,49359,738874050000.0,,45204,0.9158
2010-12-09,SUPREMEIND,EQ,148.05,148.0,149.9,140.5,144.0,143.05,143.28,76526,1096488700000.0,,61290,0.8009000000000001
2010-12-10,SUPREMEIND,EQ,143.05,142.0,154.0,136.25,152.35,152.55,146.77,140178,2057410305000.0,,108823,0.7763
2010-12-13,SUPREMEIND,EQ,152.55,152.0,154.45,146.0,151.3,152.05,151.29,25668,388334255000.0,,18007,0.7015000000000001
2010-12-14,SUPREMEIND,EQ,152.05,152.5,154.95,150.5,152.0,152.15,151.82,23124,351072715000.0,,18896,0.8172
2010-12-15,SUPREMEIND,EQ,152.15,151.1,151.95,150.0,151.0,150.55,150.81,12454,187816015000.0,,8989,0.7218000000000001
2010-12-16,SUPREMEIND,EQ,150.55,146.55,152.5,146.0,147.0,146.9,149.92,206267,3092286960000.0,,199414,0.9668000000000001
2010-12-20,SUPREMEIND,EQ,146.9,149.85,149.85,144.1,147.7,148.0,146.69,20478,300388725000.0,,15335,0.7489
2010-12-21,SUPREMEIND,EQ,148.0,146.8,149.0,141.0,146.5,145.8,145.37,35683,518728305000.0,,29200,0.8183
2010-12-22,SUPREMEIND,EQ,145.8,146.95,148.9,145.15,146.15,145.95,146.61,12045,176595915000.0,,8423,0.6993
2010-12-23,SUPREMEIND,EQ,145.95,146.95,147.0,143.1,144.85,144.15,145.15,12045,174835095000.0,,8100,0.6725
2010-12-24,SUPREMEIND,EQ,144.15,143.0,148.3,143.0,147.95,145.75,145.15,22681,329217495000.0,,16336,0.7203
2010-12-27,SUPREMEIND,EQ,145.75,147.85,147.85,144.6,145.1,145.55,146.48,12843,188124250000.0,,10379,0.8081
2010-12-28,SUPREMEIND,EQ,145.55,146.65,147.0,141.0,143.0,142.3,144.49,19316,279105785000.0,,14821,0.7673000000000001
2010-12-29,SUPREMEIND,EQ,142.3,143.5,146.6,142.0,144.0,144.0,144.94,11120,161170605000.0,,5382,0.484
2010-12-30,SUPREMEIND,EQ,144.0,143.5,146.9,143.1,143.1,144.2,145.17,11839,171868350000.0,,7040,0.5946
2010-12-31,SUPREMEIND,EQ,144.2,146.3,146.5,143.2,144.0,144.3,144.75,28753,416213370000.0,,23415,0.8143000000000001
2011-01-03,SUPREMEIND,EQ,144.3,145.0,149.4,145.0,147.3,147.65,147.78,42468,627609275000.0,,24731,0.5822999999999999
2011-01-04,SUPREMEIND,EQ,147.65,147.5,151.75,145.0,146.0,146.3,150.0,209824,3147308415000.0,,67046,0.3195
2011-01-05,SUPREMEIND,EQ,146.3,144.1,149.8,144.1,146.65,147.15,148.01,24837,367618740000.0,,11020,0.4437
2011-01-06,SUPREMEIND,EQ,147.15,147.0,150.45,147.0,150.0,149.95,149.25,50302,750771575000.0,,43693,0.8686
2011-01-07,SUPREMEIND,EQ,149.95,150.0,151.5,148.5,150.85,150.05,149.92,94206,1412338025000.0,,88192,0.9362
2011-01-10,SUPREMEIND,EQ,150.05,150.85,151.0,148.5,150.6,150.05,150.01,164947,2474295490000.0,,160289,0.9718000000000001
2011-01-11,SUPREMEIND,EQ,150.05,151.0,152.5,149.05,151.0,149.95,150.01,48332,725011725000.0,,38519,0.797
2011-01-12,SUPREMEIND,EQ,149.95,154.0,154.0,149.1,152.0,150.9,151.02,18950,286188055000.0,,9213,0.48619999999999997
