Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-10-04,SUTLEJTEX,EQ,247.25,249.0,256.0,248.65,251.5,250.95,252.24,7572,190998485000.0,,6511,0.8599
2010-10-05,SUTLEJTEX,EQ,250.95,246.6,254.0,246.6,250.4,251.15,251.7,2297,57815915000.0,,1745,0.7597
2010-10-06,SUTLEJTEX,EQ,251.15,250.05,261.0,250.05,260.85,258.8,257.21,24332,625851030000.0,,15173,0.6236
2010-10-07,SUTLEJTEX,EQ,258.8,257.0,263.85,256.05,260.95,259.85,260.24,12642,328999090000.0,,9285,0.7345
2010-10-08,SUTLEJTEX,EQ,259.85,262.9,262.9,257.25,260.0,259.0,259.62,11359,294900660000.0,,9825,0.865
2010-10-11,SUTLEJTEX,EQ,259.0,261.05,274.8,261.05,272.0,270.6,268.09,12555,336583460000.0,,9656,0.7691
2010-10-12,SUTLEJTEX,EQ,270.6,274.5,286.0,271.0,275.0,274.5,279.03,48349,1349100740000.0,,23848,0.4932
2010-10-13,SUTLEJTEX,EQ,274.5,273.1,283.95,273.1,277.3,278.3,279.57,27626,772341715000.0,,16562,0.5995
2010-10-14,SUTLEJTEX,EQ,278.3,283.9,289.5,280.0,282.8,281.85,284.96,31937,910078005000.0001,,18369,0.5752
2010-10-15,SUTLEJTEX,EQ,281.85,288.0,288.0,275.0,276.75,276.35,280.37,14423,404375250000.0,,10214,0.7081999999999999
2010-10-18,SUTLEJTEX,EQ,276.35,283.0,283.0,270.0,273.85,274.4,274.61,5599,153756230000.0,,3185,0.5689000000000001
2010-10-19,SUTLEJTEX,EQ,274.4,280.4,298.85,275.0,289.0,288.5,289.13,29481,852374069999.9999,,14087,0.4778
2010-10-20,SUTLEJTEX,EQ,288.5,292.0,295.0,284.0,285.0,285.1,289.77,10728,310865730000.0,,7442,0.6937000000000001
2010-10-21,SUTLEJTEX,EQ,285.1,289.9,298.0,287.2,293.85,293.1,292.9,27158,795471335000.0,,19035,0.7009000000000001
2010-10-22,SUTLEJTEX,EQ,293.1,298.0,299.0,285.05,288.95,290.9,291.69,8116,236731760000.0,,4768,0.5875
2010-10-25,SUTLEJTEX,EQ,290.9,294.0,349.1,290.15,349.1,349.1,338.08,293396,9919209560000.0,,89260,0.3042
2010-10-26,SUTLEJTEX,EQ,349.1,367.0,372.5,340.25,346.0,347.3,356.2,346645,12347454200000.0,,35875,0.1035
2010-10-27,SUTLEJTEX,EQ,347.3,350.0,350.0,321.55,341.9,339.05,339.02,22126,750109300000.0,,8265,0.3735
2010-10-28,SUTLEJTEX,EQ,339.05,339.05,349.0,338.25,347.0,344.85,343.41,12597,432595450000.0,,7921,0.6288
2010-10-29,SUTLEJTEX,EQ,344.85,362.0,378.0,327.0,332.0,330.35,345.82,35428,1225174785000.0,,22680,0.6402
2010-11-01,SUTLEJTEX,EQ,330.35,338.0,342.0,328.2,330.1,333.55,334.74,14050,470304409999.99994,,9701,0.6905
2010-11-02,SUTLEJTEX,EQ,333.55,334.0,337.8,320.2,330.55,332.45,332.3,6317,209911290000.0,,3786,0.5993
2010-11-03,SUTLEJTEX,EQ,332.45,334.95,334.95,327.0,330.0,330.4,331.75,2101,69701720000.0,,1573,0.7487
2010-11-04,SUTLEJTEX,EQ,330.4,328.0,357.0,325.25,336.1,336.65,344.46,30675,1056633835000.0,,10559,0.3442
2010-11-05,SUTLEJTEX,EQ,336.65,356.5,356.5,334.0,342.7,341.95,342.1,2624,89767010000.0,,2066,0.7873000000000001
2010-11-08,SUTLEJTEX,EQ,341.95,341.95,341.95,331.25,335.0,335.35,335.7,2890,97016305000.0,,1813,0.6273
2010-11-09,SUTLEJTEX,EQ,335.35,337.0,338.9,332.75,334.05,334.25,334.76,8093,270919035000.0,,6808,0.8412000000000001
2010-11-10,SUTLEJTEX,EQ,334.25,331.7,346.0,316.2,341.5,341.6,341.65,10656,364063975000.0,,6972,0.6543000000000001
2010-11-11,SUTLEJTEX,EQ,341.6,342.0,360.9,336.1,344.25,345.8,354.23,42978,1522423330000.0,,23049,0.5363
2010-11-12,SUTLEJTEX,EQ,345.8,342.6,355.5,332.1,334.0,334.75,343.22,7441,255390900000.0,,4213,0.5662
2010-11-15,SUTLEJTEX,EQ,334.75,331.6,336.8,323.0,329.0,328.65,329.52,3229,106400825000.0,,2306,0.7142000000000001
2010-11-16,SUTLEJTEX,EQ,328.65,320.0,331.45,310.25,314.0,313.8,319.45,5257,167935200000.0,,4114,0.7826000000000001
2010-11-18,SUTLEJTEX,EQ,313.8,306.1,323.95,301.6,320.0,315.2,311.74,4804,149760245000.0,,3259,0.6784
2010-11-19,SUTLEJTEX,EQ,315.2,307.65,317.0,302.0,305.0,305.0,308.18,2233,68816590000.0,,1504,0.6735
2010-11-22,SUTLEJTEX,EQ,305.0,303.2,310.85,298.6,308.0,306.8,304.36,6210,189005690000.0,,3354,0.5401
2010-11-23,SUTLEJTEX,EQ,306.8,306.0,313.85,298.9,313.85,305.8,303.16,3227,97828620000.0,,1875,0.5810000000000001
2010-11-24,SUTLEJTEX,EQ,305.8,301.5,314.0,300.1,300.1,302.95,305.3,2269,69273325000.0,,1405,0.6192000000000001
2010-11-25,SUTLEJTEX,EQ,302.95,305.95,309.0,292.05,292.05,295.35,300.83,5460,164254120000.0,,3473,0.6361
2010-11-26,SUTLEJTEX,EQ,295.35,295.35,299.6,264.25,282.9,280.35,279.47,6038,168742940000.0,,4005,0.6633
2010-11-29,SUTLEJTEX,EQ,280.35,270.25,289.95,261.0,278.0,276.85,272.44,6116,166621640000.0,,3852,0.6298
2010-11-30,SUTLEJTEX,EQ,276.85,268.15,288.3,268.15,284.0,284.05,282.87,2306,65230625000.0,,1567,0.6795
2010-12-01,SUTLEJTEX,EQ,284.05,280.1,299.95,280.1,299.95,292.65,292.17,4587,134019000000.0,,1963,0.4279
2010-12-02,SUTLEJTEX,EQ,292.65,295.1,315.0,295.1,300.5,304.7,306.44,6337,194189695000.0,,4455,0.703
2010-12-03,SUTLEJTEX,EQ,304.7,302.0,307.95,283.3,288.0,289.15,294.41,2267,66743640000.0,,1594,0.7031000000000001
2010-12-06,SUTLEJTEX,EQ,289.15,292.0,296.0,287.15,287.15,289.15,291.24,3732,108690410000.00002,,2859,0.7661
